日期,guava_平均價,guava_交易量,emperorguava_平均價,banana_平均價,guava_前日平均價,guava_5日平均價
2011-01-01,43.4,34632.0,55.1,26.9,43.4,45.1
2011-01-02,48.2,25303.0,66.8,28.9,43.4,45.1
2011-01-03,45.9,31061.5,67.3,29.8,48.2,45.1
2011-01-04,43.6,36820.0,67.8,30.7,45.9,45.1
2011-01-05,44.4,25043.0,62.9,31.0,43.6,45.1
2011-01-06,43.5,27892.0,43.8,30.2,44.4,45.1
2011-01-07,39.5,31283.0,45.7,30.5,43.5,43.4
2011-01-08,37.9,39061.0,54.0,32.6,39.5,41.8
2011-01-09,38.0,28473.0,51.7,34.4,37.9,40.7
2011-01-10,38.7,29802.0,51.2,33.9,38.0,39.5
2011-01-11,39.4,31131.0,50.7,33.4,38.7,38.7
2011-01-12,39.1,23706.0,51.1,30.9,39.4,38.6
2011-01-13,44.7,15556.0,52.2,32.2,39.1,40.0
2011-01-14,47.9,21603.0,59.7,33.0,44.7,42.0
2011-01-15,42.2,47197.0,50.5,32.9,47.9,42.7
2011-01-16,35.4,39980.0,64.5,35.5,42.2,41.9
2011-01-17,34.0,38313.5,55.3,36.1,35.4,40.8
2011-01-18,32.5,36647.0,46.1,36.8,34.0,38.4
2011-01-19,31.2,29608.0,46.1,38.7,32.5,35.1
2011-01-20,29.5,26434.0,32.8,38.8,31.2,32.5
2011-01-21,29.0,28961.0,33.1,36.4,29.5,31.2
2011-01-22,30.8,29600.0,36.7,37.3,29.0,30.6
2011-01-23,29.9,32435.0,48.7,38.1,30.8,30.1
2011-01-24,26.9,36522.0,46.5,38.2,29.9,29.2
2011-01-25,23.8,40609.0,44.2,38.2,26.9,28.1
2011-01-26,20.6,31248.0,44.3,38.5,23.8,26.4
2011-01-27,18.8,27138.0,33.3,35.8,20.6,24.0
2011-01-28,19.4,23730.0,39.0,34.0,18.8,21.9
2011-01-29,18.8,30082.0,33.3,36.7,19.4,20.3
2011-01-30,22.2,24176.0,28.7,37.6,18.8,20.0
2011-01-31,37.4,13502.0,43.0,38.8,22.2,23.3
2011-02-01,37.0,24684.0,39.0,39.3,37.4,27.0
2011-02-02,20.1,21833.0,41.9,40.7,37.0,27.1
2011-02-03,19.9,28068.3,39.1,41.1,20.1,27.3
2011-02-04,19.7,34303.7,36.3,41.4,19.9,26.8
2011-02-05,19.5,40539.0,33.5,41.8,19.7,23.2
2011-02-06,19.2,46774.3,30.6,42.2,19.5,19.7
2011-02-07,19.0,53009.7,27.8,42.5,19.2,19.5
2011-02-08,18.8,59245.0,25.0,42.9,19.0,19.2
2011-02-09,14.1,54622.0,20.8,42.0,18.8,18.1
2011-02-10,12.5,35311.0,20.5,42.8,14.1,16.7
2011-02-11,15.2,24561.0,27.7,42.0,12.5,15.9
2011-02-12,21.9,25883.0,27.5,41.1,15.2,16.5
2011-02-13,22.7,34993.0,38.2,41.3,21.9,17.3
2011-02-14,22.1,37840.0,39.1,41.1,22.7,18.9
2011-02-15,21.5,40687.0,40.0,40.9,22.1,20.7
2011-02-16,22.3,35933.0,33.4,36.5,21.5,22.1
2011-02-17,23.5,45483.0,36.5,36.9,22.3,22.4
2011-02-18,22.6,53740.3,35.7,36.1,23.5,22.4
2011-02-19,21.6,61997.7,34.8,35.3,22.6,22.3
2011-02-20,20.7,70255.0,34.0,34.5,21.6,22.1
2011-02-21,19.8,69920.5,32.2,34.9,20.7,21.6
2011-02-22,18.9,69586.0,30.4,35.3,19.8,20.7
2011-02-23,17.1,60582.0,26.3,35.1,18.9,19.6
2011-02-24,18.4,50434.0,23.4,32.2,17.1,19.0
2011-02-25,19.4,46580.0,30.4,32.7,18.4,18.7
2011-02-26,21.6,50157.0,42.3,32.4,19.4,19.1
2011-02-27,25.0,48758.0,45.4,32.8,21.6,20.3
2011-02-28,26.2,49258.0,52.5,32.7,25.0,22.1
2011-03-01,27.5,49758.0,59.6,32.6,26.2,23.9
2011-03-02,27.2,44801.0,44.7,31.7,27.5,25.5
2011-03-03,28.0,43868.0,44.7,31.7,27.2,26.8
2011-03-04,27.1,44588.0,38.6,32.2,28.0,27.2
2011-03-05,27.3,46239.0,39.8,34.0,27.1,27.4
2011-03-06,31.9,39217.0,59.1,35.9,27.3,28.3
2011-03-07,34.8,36592.0,64.1,35.5,31.9,29.8
2011-03-08,37.6,33967.0,69.1,35.0,34.8,31.7
2011-03-09,35.5,37026.0,49.0,36.5,37.6,33.4
2011-03-10,34.7,43470.0,58.5,35.4,35.5,34.9
2011-03-11,31.3,42277.0,50.3,33.6,34.7,34.8
2011-03-12,32.6,42635.0,42.4,34.4,31.3,34.3
2011-03-13,36.0,38891.0,57.6,34.1,32.6,34.0
2011-03-14,36.9,39845.5,60.0,34.0,36.0,34.3
2011-03-15,37.7,40800.0,62.4,34.0,36.9,34.9
2011-03-16,39.6,40557.0,54.7,35.6,37.7,36.6
2011-03-17,43.0,28166.0,70.6,40.4,39.6,38.6
2011-03-18,47.0,25815.0,83.2,40.6,43.0,40.8
2011-03-19,50.5,30380.0,77.3,40.6,47.0,43.6
2011-03-20,51.6,35039.0,63.3,40.5,50.5,46.3
2011-03-21,46.2,41637.5,69.3,41.4,51.6,47.7
2011-03-22,40.9,48236.0,75.3,42.2,46.2,47.2
2011-03-23,34.5,39553.0,59.1,40.8,40.9,44.7
2011-03-24,32.0,31515.0,51.7,39.7,34.5,41.0
2011-03-25,35.7,25594.0,69.4,39.5,32.0,37.9
2011-03-26,39.6,34325.0,64.9,39.7,35.7,36.5
2011-03-27,34.8,35562.0,46.7,39.4,39.6,35.3
2011-03-28,39.8,28556.5,57.1,39.5,34.8,36.4
2011-03-29,44.7,21551.0,67.5,39.5,39.8,38.9
2011-03-30,44.2,29109.0,59.2,41.2,44.7,40.6
2011-03-31,38.0,37179.0,51.8,39.4,44.2,40.3
2011-04-01,32.8,34502.0,68.8,38.7,38.0,39.9
2011-04-02,29.7,45856.0,47.5,40.0,32.8,37.9
2011-04-03,26.3,46323.0,42.1,40.3,29.7,34.2
2011-04-04,36.0,25584.0,48.2,39.6,26.3,32.6
2011-04-05,33.6,32104.0,47.7,39.7,36.0,31.7
2011-04-06,31.2,38624.0,47.3,39.8,33.6,31.4
2011-04-07,28.8,45144.0,46.8,39.9,31.2,31.2
2011-04-08,21.1,59264.0,37.0,38.3,28.8,30.1
2011-04-09,19.3,63784.0,23.2,38.3,21.1,26.8
2011-04-10,17.1,66095.0,24.6,39.2,19.3,23.5
2011-04-11,17.0,65915.0,26.2,39.5,17.1,20.7
2011-04-12,16.8,65735.0,27.9,39.9,17.0,18.3
2011-04-13,15.9,55531.0,21.6,39.6,16.8,17.2
2011-04-14,16.7,46824.0,34.0,38.3,15.9,16.7
2011-04-15,16.6,53446.0,36.1,38.3,16.7,16.6
2011-04-16,14.9,65417.0,31.6,40.5,16.6,16.2
2011-04-17,14.5,72794.0,24.7,39.9,14.9,15.7
2011-04-18,14.8,66865.0,26.4,39.9,14.5,15.5
2011-04-19,15.2,60936.0,28.0,39.9,14.8,15.2
2011-04-20,14.4,58368.0,26.1,39.2,15.2,14.8
2011-04-21,13.4,63769.0,27.1,37.4,14.4,14.5
2011-04-22,12.4,69036.0,26.4,36.2,13.4,14.0
2011-04-23,11.3,76481.0,24.3,37.7,12.4,13.3
2011-04-24,12.7,69913.0,23.0,36.5,11.3,12.8
2011-04-25,12.4,71238.0,22.9,35.7,12.7,12.4
2011-04-26,12.1,72563.0,22.8,34.9,12.4,12.2
2011-04-27,12.7,58775.0,22.2,35.5,12.1,12.2
2011-04-28,14.0,57190.0,21.9,33.4,12.7,12.8
2011-04-29,15.8,52894.0,22.4,32.1,14.0,13.4
2011-04-30,15.8,60557.0,26.4,32.4,15.8,14.1
2011-05-01,17.8,59447.0,33.5,34.0,15.8,15.2
2011-05-02,16.9,62962.0,30.6,35.0,17.8,16.1
2011-05-03,15.9,66477.0,27.7,36.0,16.9,16.4
2011-05-04,14.3,61062.0,30.7,36.1,15.9,16.1
2011-05-05,13.0,58171.0,27.2,35.4,14.3,15.6
2011-05-06,12.9,58263.0,27.8,31.4,13.0,14.6
