日期,guava_平均價,guava_交易量,emperorguava_平均價,banana_平均價,guava_前日平均價,guava_5日平均價
2011-01-01,45.0,13878.0,25.3,31.4,45.0,46.7
2011-01-02,47.5,13510.0,25.3,32.0,45.0,46.7
2011-01-03,47.5,12620.0,25.3,32.2,47.5,46.7
2011-01-04,47.5,11730.0,25.3,32.4,47.5,46.7
2011-01-05,45.8,10658.0,25.3,33.2,47.5,46.7
2011-01-06,43.1,12238.0,25.3,34.7,45.8,46.3
2011-01-07,41.2,10003.0,25.3,35.5,43.1,45.0
2011-01-08,44.4,13299.0,30.4,36.2,41.2,44.4
2011-01-09,46.0,12021.0,28.7,35.4,44.4,44.1
2011-01-10,44.4,12164.0,26.9,35.4,46.0,43.8
2011-01-11,42.7,12307.0,25.2,35.4,44.4,43.7
2011-01-12,39.7,10526.0,23.5,35.7,42.7,43.4
2011-01-13,50.1,3835.0,21.7,38.2,39.7,44.6
2011-01-14,47.9,8288.0,20.0,37.0,50.1,45.0
2011-01-15,45.8,14451.0,25.0,37.8,47.9,45.2
2011-01-16,42.3,13956.0,23.8,38.0,45.8,45.2
2011-01-17,42.0,12827.0,22.6,38.5,42.3,45.6
2011-01-18,41.8,11698.0,21.4,39.1,42.0,44.0
2011-01-19,36.3,11619.0,15.0,40.4,41.8,41.6
2011-01-20,31.1,9198.0,11.0,41.8,36.3,38.7
2011-01-21,31.1,9485.0,7.0,43.9,31.1,36.5
2011-01-22,39.5,8709.0,41.5,43.3,31.1,36.0
2011-01-23,36.1,14190.0,76.0,42.4,39.5,34.8
2011-01-24,33.3,13092.0,42.0,41.7,36.1,34.2
2011-01-25,30.5,11994.0,8.0,41.0,33.3,34.1
2011-01-26,31.7,10966.0,6.5,41.5,30.5,34.2
2011-01-27,27.2,10890.0,5.0,41.3,31.7,31.8
2011-01-28,23.2,9971.0,9.4,41.2,27.2,29.2
2011-01-29,22.8,13329.0,13.8,41.3,23.2,27.1
2011-01-30,24.6,8546.0,13.4,42.9,22.8,25.9
2011-01-31,29.6,5980.0,13.1,44.0,24.6,25.5
2011-02-01,30.0,9967.0,12.7,42.9,29.6,26.0
2011-02-02,30.1,7264.0,12.3,44.0,30.0,27.4
2011-02-03,28.1,11374.8,12.0,44.2,30.1,28.5
2011-02-04,26.2,15485.7,11.6,44.4,28.1,28.8
2011-02-05,24.2,19596.5,11.3,44.6,26.2,27.7
2011-02-06,22.2,23707.3,10.9,44.8,24.2,26.2
2011-02-07,20.3,27818.2,10.5,45.0,22.2,24.2
2011-02-08,18.3,31929.0,10.2,45.2,20.3,22.2
2011-02-09,16.8,25365.0,9.8,45.4,18.3,20.4
2011-02-10,17.8,16776.0,8.0,46.8,16.8,19.1
2011-02-11,19.6,11943.0,18.0,47.3,17.8,18.6
2011-02-12,23.1,12604.0,11.4,46.8,19.6,19.1
2011-02-13,21.6,18312.0,15.0,45.7,23.1,19.8
2011-02-14,22.6,17210.5,12.7,45.7,21.6,20.9
2011-02-15,23.7,16109.0,10.4,45.7,22.6,22.1
2011-02-16,22.3,20515.0,65.0,44.4,23.7,22.7
2011-02-17,25.7,20764.0,51.0,44.0,22.3,23.2
2011-02-18,23.1,25623.3,36.9,43.8,25.7,23.5
2011-02-19,20.6,30482.7,22.8,43.7,23.1,23.1
2011-02-20,18.0,35342.0,8.8,43.5,20.6,21.9
2011-02-21,19.8,31972.5,7.4,41.9,18.0,21.4
2011-02-22,21.5,28603.0,6.0,40.3,19.8,20.6
2011-02-23,20.1,27455.0,8.0,38.7,21.5,20.0
2011-02-24,22.4,21580.0,14.4,39.6,20.1,20.4
2011-02-25,23.0,20336.0,6.0,38.4,22.4,21.4
2011-02-26,25.7,22763.0,9.9,37.3,23.0,22.5
2011-02-27,25.6,28508.0,13.8,37.2,25.7,23.4
