ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
01,905.3 ,1547.9 ,906.4 ,2019-12-01 08:45 ,903.7 ,2019-12-01 14:39 ,17.4 ,24.2 ,2019-12-01 12:04 ,13.0 ,2019-12-01 04:59 ,9.9 ,63 ,43 ,2019-12-01 13:19 ,1.3 ,330 ,5.9 ,340 ,2019-12-01 10:18 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,6.3 ,58.8 ,13.59 ,25.0 ,2.3 ,7 ,2019-12-01 12:00 ,2.3 
02,904.7 ,1540.9 ,906.0 ,2019-12-02 09:11 ,903.7 ,2019-12-02 14:31 ,15.8 ,22.1 ,2019-12-02 12:10 ,11.4 ,2019-12-02 22:43 ,9.9 ,69 ,56 ,2019-12-02 09:35 ,1.1 ,180 ,3.9 ,280 ,2019-12-02 12:15 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,9.2 ,86.0 ,16.38 ,30.0 ,3.0 ,6 ,2019-12-02 13:00 ,1.3 
03,905.4 ,1542.2 ,906.7 ,2019-12-03 21:06 ,904.1 ,2019-12-03 01:45 ,13.4 ,19.2 ,2019-12-03 13:52 ,10.4 ,2019-12-03 04:55 ,9.1 ,76 ,61 ,2019-12-03 15:13 ,1.2 ,360 ,5.2 ,360 ,2019-12-03 05:13 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,2.0 ,18.7 ,9.26 ,15.8 ,1.6 ,4 ,2019-12-03 11:00 ,6.7 
04,906.3 ,1552.9 ,907.3 ,2019-12-04 09:16 ,904.9 ,2019-12-04 14:26 ,14.7 ,20.2 ,2019-12-04 11:22 ,11.9 ,2019-12-04 01:29 ,10.2 ,75 ,56 ,2019-12-04 08:32 ,1.0 ,190 ,5.5 ,120 ,2019-12-04 19:18 ,5.0 ,8.5 ,1.0 ,2019-12-04 17:41 ,2.5 ,2019-12-04 16:52 ,0.0 ,0.0 ,6.40 ,18.0 ,-0.3 ,4 ,2019-12-04 12:00 ,9.8 
05,905.9 ,1546.6 ,907.1 ,2019-12-05 11:00 ,904.3 ,2019-12-05 15:17 ,13.0 ,16.0 ,2019-12-05 11:33 ,11.5 ,2019-12-05 18:06 ,11.3 ,90 ,83 ,2019-12-05 09:35 ,0.9 ,190 ,4.3 ,210 ,2019-12-05 17:54 ,7.0 ,5.8 ,1.0 ,2019-12-05 16:02 ,2.5 ,2019-12-05 15:19 ,0.0 ,0.0 ,4.85 ,7.2 ,-0.2 ,4 ,2019-12-05 12:00 ,10.0 
06,905.0 ,1536.8 ,906.3 ,2019-12-06 00:01 ,903.5 ,2019-12-06 02:48 ,12.6 ,15.3 ,2019-12-06 10:27 ,11.2 ,2019-12-06 04:53 ,11.2 ,91 ,86 ,2019-12-06 11:27 ,1.4 ,350 ,5.2 ,350 ,2019-12-06 02:48 ,12.0 ,17.2 ,1.0 ,2019-12-06 00:09 ,2.0 ,2019-12-06 16:22 ,0.1 ,0.9 ,4.00 ,7.6 ,-0.1 ,3 ,2019-12-06 12:00 ,10.0 
07,905.6 ,1541.6 ,907.4 ,2019-12-07 23:41 ,903.8 ,2019-12-07 02:52 ,11.9 ,15.6 ,2019-12-07 11:12 ,10.3 ,2019-12-07 18:01 ,10.4 ,91 ,86 ,2019-12-07 12:27 ,0.9 ,350 ,3.5 ,180 ,2019-12-07 17:56 ,2.0 ,3.6 ,1.0 ,2019-12-07 04:56 ,1.5 ,2019-12-07 05:00 ,0.0 ,0.0 ,4.64 ,0.7 ,-0.2 ,3 ,2019-12-07 12:00 ,10.0 
08,907.2 ,1556.3 ,908.5 ,2019-12-08 09:05 ,906.0 ,2019-12-08 14:09 ,12.8 ,19.2 ,2019-12-08 12:11 ,9.3 ,2019-12-08 04:37 ,8.4 ,76 ,55 ,2019-12-08 12:03 ,1.3 ,330 ,4.8 ,190 ,2019-12-08 18:43 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,6.8 ,63.8 ,13.66 ,20.0 ,0.2 ,6 ,2019-12-08 12:00 ,4.7 
09,906.1 ,1547.0 ,907.6 ,2019-12-09 00:01 ,904.4 ,2019-12-09 17:23 ,12.7 ,19.8 ,2019-12-09 12:51 ,9.5 ,2019-12-09 03:57 ,7.7 ,72 ,54 ,2019-12-09 12:25 ,1.1 ,280 ,5.3 ,280 ,2019-12-09 13:10 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,6.2 ,58.2 ,15.49 ,20.8 ,1.3 ,6 ,2019-12-09 13:00 ,6.7 
10,904.4 ,1532.9 ,906.4 ,2019-12-10 09:19 ,902.7 ,2019-12-10 14:40 ,13.9 ,20.8 ,2019-12-10 12:58 ,10.5 ,2019-12-10 00:01 ,7.7 ,68 ,41 ,2019-12-10 13:50 ,1.7 ,160 ,4.9 ,300 ,2019-12-10 15:29 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,9.5 ,89.3 ,17.02 ,24.2 ,2.0 ,6 ,2019-12-10 12:00 ,3.2 
11,903.8 ,1529.6 ,905.5 ,2019-12-11 23:56 ,902.1 ,2019-12-11 12:50 ,15.2 ,22.7 ,2019-12-11 12:05 ,10.3 ,2019-12-11 01:00 ,8.9 ,67 ,45 ,2019-12-11 10:55 ,1.4 ,280 ,6.3 ,280 ,2019-12-11 14:11 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,9.4 ,88.4 ,17.08 ,24.2 ,2.8 ,7 ,2019-12-11 12:00 ,0.2 
