ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
01,1011.8 ,1014.8 ,1014.2 ,2013-04-01 00:01 ,1009.6 ,2013-04-01 16:49 ,20.8 ,23.5 ,2013-04-01 16:09 ,19.2 ,2013-04-01 01:41 ,19.4 ,92 ,83 ,2013-04-01 17:53 ,1.3 ,250 ,9.1 ,350 ,2013-04-01 10:39 ,8.4 ,13.6 ,0.7 ,2013-04-01 01:08 ,2.3 ,2013-04-01 01:01 ,1.2 ,9.7 ,4.61 ,11.4 ,-1.1 ,... ,... ,8.2 
02,1012.5 ,1015.5 ,1015.6 ,2013-04-02 21:27 ,1009.6 ,2013-04-02 03:45 ,20.5 ,23.2 ,2013-04-02 08:11 ,19.0 ,2013-04-02 23:35 ,16.6 ,79 ,65 ,2013-04-02 16:38 ,2.8 ,250 ,16.6 ,50 ,2013-04-02 12:26 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,1.5 ,12.1 ,4.01 ,8.3 ,-2.9 ,... ,... ,7.8 
03,1012.0 ,1015.1 ,1015.1 ,2013-04-03 01:35 ,1009.1 ,2013-04-03 14:52 ,18.1 ,20.6 ,2013-04-03 14:25 ,14.5 ,2013-04-03 06:00 ,14.6 ,81 ,65 ,2013-04-03 00:57 ,2.0 ,250 ,9.7 ,280 ,2013-04-03 01:25 ,8.0 ,5.6 ,1.2 ,2013-04-03 01:38 ,4.4 ,2013-04-03 01:25 ,0.0 ,0.0 ,5.11 ,8.7 ,-0.8 ,... ,... ,9.7 
04,1006.6 ,1009.6 ,1010.6 ,2013-04-04 00:01 ,1004.3 ,2013-04-04 15:57 ,21.4 ,25.8 ,2013-04-04 11:17 ,17.6 ,2013-04-04 05:38 ,18.4 ,84 ,67 ,2013-04-04 10:20 ,1.8 ,240 ,8.1 ,130 ,2013-04-04 10:02 ,1.3 ,2.5 ,0.4 ,2013-04-04 00:18 ,1.2 ,2013-04-04 00:15 ,3.0 ,24.2 ,11.78 ,10.0 ,-1.5 ,... ,... ,9.2 
05,1001.4 ,1004.4 ,1005.0 ,2013-04-05 00:01 ,998.2 ,2013-04-05 15:10 ,22.4 ,24.5 ,2013-04-05 09:54 ,20.5 ,2013-04-05 01:48 ,20.2 ,88 ,77 ,2013-04-05 10:26 ,1.3 ,260 ,7.1 ,180 ,2013-04-05 23:48 ,4.9 ,9.6 ,0.5 ,2013-04-05 22:53 ,1.2 ,2013-04-05 22:20 ,0.5 ,4.0 ,5.80 ,9.7 ,-0.8 ,... ,... ,9.8 
06,1003.5 ,1006.5 ,1011.6 ,2013-04-06 23:41 ,997.2 ,2013-04-06 03:42 ,19.4 ,25.6 ,2013-04-06 08:15 ,15.3 ,2013-04-06 23:50 ,15.8 ,80 ,64 ,2013-04-06 22:12 ,3.8 ,260 ,19.6 ,60 ,2013-04-06 12:58 ,0.2 ,0.9 ,0.1 ,2013-04-06 00:01 ,0.1 ,2013-04-06 00:01 ,1.8 ,14.5 ,4.48 ,10.3 ,-3.0 ,... ,... ,8.8 
07,1012.4 ,1015.5 ,1014.0 ,2013-04-07 20:51 ,1010.1 ,2013-04-07 02:56 ,15.9 ,17.0 ,2013-04-07 12:59 ,15.2 ,2013-04-07 00:43 ,8.9 ,64 ,54 ,2013-04-07 06:01 ,2.3 ,270 ,12.2 ,270 ,2013-04-07 04:53 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,0.0 ,0.0 ,3.69 ,8.7 ,1.4 ,... ,... ,10.0 
08,1011.6 ,1014.6 ,1013.3 ,2013-04-08 09:07 ,1009.6 ,2013-04-08 15:23 ,19.3 ,22.3 ,2013-04-08 11:49 ,15.2 ,2013-04-08 00:17 ,14.5 ,74 ,62 ,2013-04-08 11:10 ,2.8 ,170 ,10.2 ,150 ,2013-04-08 12:43 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,4.0 ,32.0 ,15.38 ,9.8 ,-2.5 ,... ,... ,9.3 
09,1013.4 ,1016.4 ,1016.7 ,2013-04-09 21:47 ,1011.1 ,2013-04-09 03:31 ,19.7 ,22.6 ,2013-04-09 09:28 ,18.0 ,2013-04-09 23:59 ,16.6 ,83 ,73 ,2013-04-09 13:18 ,2.3 ,260 ,10.6 ,10 ,2013-04-09 16:26 ,12.3 ,9.1 ,1.4 ,2013-04-09 18:01 ,4.9 ,2013-04-09 18:01 ,1.2 ,9.6 ,4.94 ,10.0 ,-1.2 ,... ,... ,10.0 
10,1016.8 ,1019.9 ,1018.3 ,2013-04-10 09:24 ,1015.2 ,2013-04-10 01:40 ,17.5 ,18.7 ,2013-04-10 07:40 ,16.1 ,2013-04-10 23:15 ,14.3 ,82 ,71 ,2013-04-10 16:42 ,3.1 ,280 ,8.7 ,310 ,2013-04-10 09:16 ,7.5 ,9.2 ,1.2 ,2013-04-10 03:58 ,3.8 ,2013-04-10 03:25 ,0.0 ,0.0 ,0.01 ,7.8 ,-0.5 ,... ,... ,10.0 
