日期,banana_平均價,banana_交易量,scarletbanana_平均價,guava_平均價,banana_前日平均價,banana_5日平均價
2011-01-01,31.4,9645.0,36.5,45.0,31.4,32.2
2011-01-02,32.0,12230.0,50.0,47.5,31.4,32.2
2011-01-03,32.2,12103.0,46.2,47.5,32.0,32.2
2011-01-04,32.4,11976.0,42.5,47.5,32.2,32.2
2011-01-05,33.2,7520.0,34.8,45.8,32.4,32.2
2011-01-06,34.7,8160.0,34.1,43.1,33.2,32.9
2011-01-07,35.5,7152.0,35.4,41.2,34.7,33.6
2011-01-08,36.2,5850.0,34.6,44.4,35.5,34.4
2011-01-09,35.4,8235.0,34.9,46.0,36.2,35.0
2011-01-10,35.4,7777.5,33.5,44.4,35.4,35.4
2011-01-11,35.4,7320.0,32.2,42.7,35.4,35.6
2011-01-12,35.7,5730.0,32.4,39.7,35.4,35.6
2011-01-13,38.2,4419.0,29.3,50.1,35.7,36.0
2011-01-14,37.0,7477.0,33.4,47.9,38.2,36.3
2011-01-15,37.8,7689.0,33.5,45.8,37.0,36.8
2011-01-16,38.0,7638.0,45.7,42.3,37.8,37.3
2011-01-17,38.5,9604.5,40.4,42.0,38.0,37.9
2011-01-18,39.1,11571.0,35.0,41.8,38.5,38.1
2011-01-19,40.4,6440.0,29.7,36.3,39.1,38.8
2011-01-20,41.8,4545.0,42.5,31.1,40.4,39.6
2011-01-21,43.9,4062.0,33.0,31.1,41.8,40.7
2011-01-22,43.3,5090.0,36.0,39.5,43.9,41.7
2011-01-23,42.4,5357.0,35.4,36.1,43.3,42.4
2011-01-24,41.7,5996.0,33.8,33.3,42.4,42.6
2011-01-25,41.0,6635.0,32.2,30.5,41.7,42.5
2011-01-26,41.5,5460.0,28.7,31.7,41.0,42.0
2011-01-27,41.3,5050.0,29.5,27.2,41.5,41.6
2011-01-28,41.2,4863.0,35.7,23.2,41.3,41.3
2011-01-29,41.3,6214.0,31.5,22.8,41.2,41.3
2011-01-30,42.9,4635.0,37.5,24.6,41.3,41.6
2011-01-31,44.0,3705.0,48.7,29.6,42.9,42.1
2011-02-01,42.9,5250.0,38.4,30.0,44.0,42.5
2011-02-02,44.0,3945.0,36.3,30.1,42.9,43.0
2011-02-03,44.2,4480.0,39.4,28.1,44.0,43.6
2011-02-04,44.4,5015.0,42.4,26.2,44.2,43.9
2011-02-05,44.6,5550.0,45.5,24.2,44.4,44.0
2011-02-06,44.8,6085.0,48.6,22.2,44.6,44.4
2011-02-07,45.0,6620.0,51.6,20.3,44.8,44.6
2011-02-08,45.2,7155.0,54.7,18.3,45.0,44.8
2011-02-09,45.4,6480.0,46.9,16.8,45.2,45.0
2011-02-10,46.8,7971.0,45.0,17.8,45.4,45.4
2011-02-11,47.3,6720.0,40.1,19.6,46.8,45.9
2011-02-12,46.8,5775.0,36.1,23.1,47.3,46.3
2011-02-13,45.7,6885.0,38.2,21.6,46.8,46.4
2011-02-14,45.7,6817.5,39.5,22.6,45.7,46.5
2011-02-15,45.7,6750.0,40.7,23.7,45.7,46.2
2011-02-16,44.4,12314.0,44.9,22.3,45.7,45.7
2011-02-17,44.0,11451.0,45.2,25.7,44.4,45.1
2011-02-18,43.8,11885.0,43.6,23.1,44.0,44.7
2011-02-19,43.7,12319.0,41.9,20.6,43.8,44.3
2011-02-20,43.5,12753.0,40.3,18.0,43.7,43.9
2011-02-21,41.9,12769.0,42.5,19.8,43.5,43.4
2011-02-22,40.3,12785.0,44.7,21.5,41.9,42.6
2011-02-23,38.7,10998.0,38.2,20.1,40.3,41.6
2011-02-24,39.6,8100.0,34.4,22.4,38.7,40.8
2011-02-25,38.4,8181.0,37.5,23.0,39.6,39.8
2011-02-26,37.3,9960.0,36.0,25.7,38.4,38.9
2011-02-27,37.2,10864.0,38.6,25.6,37.3,38.2
2011-02-28,36.8,10329.5,41.0,26.6,37.2,37.9
2011-03-01,36.4,9795.0,43.3,27.7,36.8,37.2
2011-03-02,35.2,8931.0,39.4,25.8,36.4,36.6
2011-03-03,37.9,5573.0,42.0,28.7,35.2,36.7
2011-03-04,38.1,13054.0,42.4,31.5,37.9,36.9
2011-03-05,40.2,8291.0,46.5,33.2,38.1,37.6
2011-03-06,40.5,10758.0,45.5,34.5,40.2,38.4
2011-03-07,40.8,9069.0,45.2,35.1,40.5,39.5
2011-03-08,41.1,7380.0,45.0,35.8,40.8,40.1
2011-03-09,40.0,8049.0,40.0,35.4,41.1,40.5
2011-03-10,40.5,5984.0,37.1,35.2,40.0,40.6
2011-03-11,38.2,8319.0,33.8,35.5,40.5,40.1
2011-03-12,38.1,7054.0,35.0,37.1,38.2,39.6
2011-03-13,38.7,9506.0,41.3,43.8,38.1,39.1
2011-03-14,39.5,9385.5,38.6,43.8,38.7,39.0
2011-03-15,40.4,9265.0,35.9,43.9,39.5,39.0
2011-03-16,39.4,7251.0,38.6,42.4,40.4,39.2
2011-03-17,40.5,7435.0,35.7,45.3,39.4,39.7
2011-03-18,44.2,11919.0,42.4,49.7,40.5,40.8
2011-03-19,44.8,9595.0,40.6,53.2,44.2,41.9
2011-03-20,45.2,8544.0,46.8,50.4,44.8,42.8
2011-03-21,45.0,8628.0,43.5,47.9,45.2,43.9
2011-03-22,44.7,8712.0,40.3,45.4,45.0,44.8
2011-03-23,44.9,8724.0,43.7,41.9,44.7,44.9
2011-03-24,43.4,6987.0,46.2,37.7,44.9,44.6
2011-03-25,43.1,8982.0,42.1,39.6,43.4,44.2
2011-03-26,44.0,9345.0,38.6,40.3,43.1,44.0
2011-03-27,42.9,10422.0,38.1,36.9,44.0,43.7
2011-03-28,42.8,10471.0,41.1,38.8,42.9,43.2
2011-03-29,42.7,10520.0,44.1,40.7,42.8,43.1
2011-03-30,43.4,7977.0,37.8,38.7,42.7,43.2
2011-03-31,44.9,7300.0,40.6,39.3,43.4,43.3
2011-04-01,45.8,8292.0,39.4,40.2,44.9,43.9
2011-04-02,45.4,14632.0,39.5,35.5,45.8,44.4
2011-04-03,45.1,14207.0,48.1,30.1,45.4,44.9
2011-04-04,44.0,13828.0,52.5,30.4,45.1,45.0
2011-04-05,43.9,12362.7,49.2,28.9,44.0,44.8
2011-04-06,43.9,10897.3,45.8,27.4,43.9,44.5
2011-04-07,43.8,9432.0,42.5,25.9,43.9,44.1
2011-04-08,42.1,10925.0,41.0,20.0,43.8,43.5
2011-04-09,42.7,10328.0,41.2,21.0,42.1,43.3
2011-04-10,44.1,8367.0,40.8,20.7,42.7,43.3
2011-04-11,43.5,9551.0,40.4,20.2,44.1,43.2
2011-04-12,42.8,10735.0,40.0,19.7,43.5,43.0
2011-04-13,44.2,8245.0,40.6,17.3,42.8,43.5
2011-04-14,43.7,10356.0,39.4,16.3,44.2,43.7
2011-04-15,42.0,9855.0,38.0,15.9,43.7,43.2
2011-04-16,41.3,16323.0,37.8,14.9,42.0,42.8
2011-04-17,43.1,13002.0,45.3,15.0,41.3,42.9
2011-04-18,44.2,11671.5,44.6,15.0,43.1,42.9
2011-04-19,45.2,10341.0,44.0,15.0,44.2,43.2
2011-04-20,43.7,10603.0,37.9,13.9,45.2,43.5
2011-04-21,40.6,9016.0,43.0,12.4,43.7,43.4
2011-04-22,39.2,9411.0,39.5,11.6,40.6,42.6
2011-04-23,43.7,8910.0,40.0,11.4,39.2,42.5
2011-04-24,42.8,11128.0,43.7,13.4,43.7,42.0
2011-04-25,42.4,11294.0,42.9,13.4,42.8,41.7
2011-04-26,42.0,11460.0,42.0,13.4,42.4,42.0
2011-04-27,37.7,10026.0,38.5,14.0,42.0,41.7
2011-04-28,36.5,14692.0,37.6,14.7,37.7,40.3
2011-04-29,35.3,10999.0,38.6,16.0,36.5,38.8
2011-04-30,35.2,12753.0,39.9,15.8,35.3,37.3
2011-05-01,38.0,10581.0,39.4,16.8,35.2,36.5
2011-05-02,37.8,12714.0,40.3,16.2,38.0,36.6
2011-05-03,37.6,14847.0,41.3,15.7,37.8,36.8
2011-05-04,41.7,7755.0,44.3,14.5,37.6,38.1
2011-05-05,41.0,12842.0,40.7,12.4,41.7,39.2
2011-05-06,38.4,8824.0,39.2,13.5,41.0,39.3
2011-05-07,38.3,10337.0,39.6,14.7,38.4,39.4
2011-05-08,35.8,10425.0,38.0,17.1,38.3,39.0
2011-05-09,35.2,10339.0,37.4,16.3,35.8,37.7
2011-05-10,34.7,10253.0,36.8,15.5,35.2,36.5
2011-05-11,34.0,9765.0,35.1,14.9,34.7,35.6
2011-05-12,33.7,8750.0,30.6,14.0,34.0,34.7
2011-05-13,31.0,10936.0,32.8,15.0,33.7,33.7
2011-05-14,31.4,9600.0,31.6,21.2,31.0,33.0
2011-05-15,31.0,12251.0,32.8,19.6,31.4,32.2
2011-05-16,30.6,14977.0,32.6,19.6,31.0,31.5
2011-05-17,30.2,17703.0,32.4,19.6,30.6,30.8
2011-05-18,31.3,13080.0,37.5,25.0,30.2,30.9
2011-05-19,32.0,10057.0,41.6,30.4,31.3,31.0
