市場,產品,香蕉_平均價,香蕉_交易量,香蕉_5日平均價格,香蕉_前1日平均價格,芭蕉_前1日平均價,芭樂_前1日平均價格
109 台北一,A1 香蕉,42.8,14406,41.540000000000006,42.0,52.4,14.1
109 台北一,A1 香蕉,42.0,15841,42.080000000000005,42.8,46.2,12.5
109 台北一,A1 香蕉,41.1,11250,42.160000000000004,42.0,43.1,15.2
109 台北一,A1 香蕉,41.3,8185,41.84,41.1,47.6,21.9
109 台北一,A1 香蕉,40.9,10693,41.620000000000005,41.3,46.0,22.7
109 台北一,A1 香蕉,36.5,21354,40.36,40.9,45.4,21.5
109 台北一,A1 香蕉,36.9,25305,39.34,36.5,41.6,22.3
109 台北一,A1 香蕉,34.5,24825,38.02,36.9,46.4,23.5
109 台北一,A1 香蕉,35.3,20838,36.82000000000001,34.5,43.8,20.7
109 台北一,A1 香蕉,35.1,20430,35.660000000000004,35.3,43.5,18.9
109 台北一,A1 香蕉,32.2,19635,34.8,35.1,39.8,17.1
109 台北一,A1 香蕉,32.7,13609,33.959999999999994,32.2,43.0,18.4
109 台北一,A1 香蕉,32.4,13530,33.54,32.7,42.2,19.4
109 台北一,A1 香蕉,32.8,16035,33.04,32.4,38.3,21.6
109 台北一,A1 香蕉,32.6,17003,32.54,32.8,40.1,25.0
109 台北一,A1 香蕉,31.7,16489,32.44,32.6,36.2,27.5
109 台北一,A1 香蕉,31.7,14023,32.239999999999995,31.7,40.5,27.2
109 台北一,A1 香蕉,32.2,18430,32.199999999999996,31.7,42.1,28.0
109 台北一,A1 香蕉,34.0,23713,32.44,32.2,41.2,27.1
109 台北一,A1 香蕉,35.9,21345,33.1,34.0,37.9,27.3
109 台北一,A1 香蕉,35.0,17595,33.760000000000005,35.9,39.5,31.9
109 台北一,A1 香蕉,36.5,15756,34.720000000000006,35.0,40.3,37.6
109 台北一,A1 香蕉,35.4,16485,35.36,36.5,38.0,35.5
109 台北一,A1 香蕉,33.6,14505,35.28,35.4,39.7,34.7
109 台北一,A1 香蕉,34.4,11250,34.980000000000004,33.6,37.3,31.3
109 台北一,A1 香蕉,34.1,15863,34.8,34.4,35.6,32.6
109 台北一,A1 香蕉,34.0,15363,34.3,34.1,34.7,36.0
109 台北一,A1 香蕉,35.6,18610,34.339999999999996,34.0,35.3,37.7
109 台北一,A1 香蕉,40.4,15780,35.7,35.6,37.2,39.6
109 台北一,A1 香蕉,40.6,18555,36.94,40.4,38.9,43.0
109 台北一,A1 香蕉,40.6,24152,38.239999999999995,40.6,38.7,47.0
109 台北一,A1 香蕉,40.5,19035,39.54,40.6,38.7,50.5
109 台北一,A1 香蕉,42.2,19750,40.86,40.5,38.6,51.6
109 台北一,A1 香蕉,40.8,15967,40.93999999999999,42.2,38.8,40.9
109 台北一,A1 香蕉,39.7,16333,40.76,40.8,37.8,34.5
109 台北一,A1 香蕉,39.5,16485,40.54,39.7,40.6,32.0
109 台北一,A1 香蕉,39.7,15825,40.379999999999995,39.5,39.2,35.7
109 台北一,A1 香蕉,39.4,14562,39.81999999999999,39.7,41.9,39.6
109 台北一,A1 香蕉,39.5,16197,39.55999999999999,39.4,37.7,34.8
109 台北一,A1 香蕉,41.2,16227,39.85999999999999,39.5,46.5,44.7
109 台北一,A1 香蕉,39.4,17020,39.83999999999999,41.2,42.9,44.2
109 台北一,A1 香蕉,38.7,23029,39.64,39.4,39.8,38.0
109 台北一,A1 香蕉,40.0,18907,39.76,38.7,40.1,32.8
109 台北一,A1 香蕉,40.3,23583,39.919999999999995,40.0,37.7,29.7
109 台北一,A1 香蕉,39.6,20325,39.59999999999999,40.3,38.8,26.3
109 台北一,A1 香蕉,39.9,24466,39.69999999999999,39.6,43.0,36.0
109 台北一,A1 香蕉,38.3,23460,39.61999999999999,39.9,42.0,28.8
109 台北一,A1 香蕉,38.3,17205,39.279999999999994,38.3,40.8,21.1
109 台北一,A1 香蕉,39.2,19338,39.05999999999999,38.3,43.1,19.3
109 台北一,A1 香蕉,39.9,19305,39.11999999999999,39.2,45.0,17.1
109 台北一,A1 香蕉,39.6,20280,39.05999999999999,39.9,42.1,16.8
109 台北一,A1 香蕉,38.3,19225,39.05999999999999,39.6,47.1,15.9
109 台北一,A1 香蕉,38.3,19018,39.05999999999999,38.3,42.6,16.7
109 台北一,A1 香蕉,40.5,19410,39.31999999999999,38.3,38.7,16.6
109 台北一,A1 香蕉,39.9,29175,39.31999999999999,40.5,40.8,14.9
109 台北一,A1 香蕉,39.9,21281,39.379999999999995,39.9,40.7,14.5
109 台北一,A1 香蕉,39.2,20601,39.55999999999999,39.9,41.2,15.2
109 台北一,A1 香蕉,37.4,18234,39.379999999999995,39.2,41.5,14.4
109 台北一,A1 香蕉,36.2,19754,38.519999999999996,37.4,43.9,13.4
109 台北一,A1 香蕉,37.7,15425,38.07999999999999,36.2,38.9,12.4
109 台北一,A1 香蕉,36.5,20545,37.39999999999999,37.7,37.9,11.3
109 台北一,A1 香蕉,34.9,24493,36.539999999999985,36.5,39.6,12.7
109 台北一,A1 香蕉,35.5,17505,36.15999999999998,34.9,39.3,12.1
109 台北一,A1 香蕉,33.4,18906,35.59999999999999,35.5,40.9,12.7
109 台北一,A1 香蕉,32.1,18761,34.47999999999998,33.4,38.7,14.0
109 台北一,A1 香蕉,32.4,15560,33.65999999999998,32.1,40.2,15.8
109 台北一,A1 香蕉,34.0,20935,33.47999999999998,32.4,39.4,15.8
109 台北一,A1 香蕉,36.0,24153,33.579999999999984,34.0,43.5,17.8
109 台北一,A1 香蕉,36.1,24453,34.11999999999998,36.0,43.7,15.9
109 台北一,A1 香蕉,35.4,23366,34.77999999999999,36.1,41.3,14.3
