日期,市場,產品,上價,中價,下價,平均價(元/公斤),價格跟前一交易日比較%,交易量(公斤),交易量跟前一交易日比較%
100/01/06,241 三重區,P1 番石榴 珍珠芭 ,61.5,37.2,28.8,40.4, +  2,23758, +  1
100/01/06,109 台北一,P1 番石榴 珍珠芭 ,68.0,42.0,23.3,43.5, -   ,27892, - 24
100/01/06,930 台東市,P1 番石榴 珍珠芭 ,45.0,40.0,20.0,40.5, + 15,155, - 55
100/01/06,400 台中市,P1 番石榴 珍珠芭 ,46.4,27.6,18.8,35.9, -  1,16378, - 27
100/01/06,600 嘉義市,P1 番石榴 珍珠芭 ,56.0,30.0,18.0,30.0, -  9,510, - 53
100/01/07,800 高雄市,P1 番石榴 珍珠芭 ,39.3,31.7,25.0,31.9, -   ,844, -   
100/01/07,109 台北一,P1 番石榴 珍珠芭 ,64.8,37.0,21.6,39.5, -  9,31283, + 12
100/01/07,930 台東市,P1 番石榴 珍珠芭 ,45.0,40.0,20.0,40.6, -   ,241, + 55
100/01/07,600 嘉義市,P1 番石榴 珍珠芭 ,52.0,31.0,17.0,31.0, +  3,660, + 29
100/01/07,241 三重區,P1 番石榴 珍珠芭 ,54.2,33.7,28.0,36.6, -  9,28553, + 20
100/01/07,104 台北二,P1 番石榴 珍珠芭 ,63.9,40.6,20.4,41.2, -  4,10003, - 18
100/01/07,400 台中市,P1 番石榴 珍珠芭 ,44.9,27.3,16.0,35.4, -  1,15396, -  6
100/01/08,109 台北一,P1 番石榴 珍珠芭 ,63.2,35.3,20.0,37.9, -  4,39061, + 25
100/01/08,800 高雄市,P1 番石榴 珍珠芭 ,35.0,27.5,20.0,27.5, - 14,425, - 50
100/01/08,600 嘉義市,P1 番石榴 珍珠芭 ,50.0,30.0,16.0,30.0, -  3,810, + 23
100/01/08,930 台東市,P1 番石榴 珍珠芭 ,45.0,40.0,20.0,40.5, -   ,209, - 13
100/01/08,241 三重區,P1 番石榴 珍珠芭 ,54.5,33.8,28.4,36.9, +  1,37217, + 30
100/01/08,400 台中市,P1 番石榴 珍珠芭 ,42.1,28.0,19.1,33.7, -  5,26539, + 72
100/01/08,104 台北二,P1 番石榴 珍珠芭 ,69.3,42.8,24.4,44.4, +  8,13299, + 33
100/01/09,600 嘉義市,P1 番石榴 珍珠芭 ,50.0,30.0,16.0,30.0, -   ,600, - 26
100/01/09,109 台北一,P1 番石榴 珍珠芭 ,62.7,35.9,19.9,38.0, -   ,28473, - 27
100/01/09,104 台北二,P1 番石榴 珍珠芭 ,69.7,44.4,27.0,46.0, +  4,12021, - 10
100/01/09,930 台東市,P1 番石榴 珍珠芭 ,45.0,40.0,20.0,40.4, -   ,214, +  2
100/01/09,241 三重區,P1 番石榴 珍珠芭 ,52.0,31.7,27.1,34.8, -  6,41087, + 10
100/01/09,400 台中市,P1 番石榴 珍珠芭 ,56.8,29.3,18.9,33.3, -  1,26134, -  2
100/01/09,800 高雄市,P1 番石榴 珍珠芭 ,35.0,25.0,20.0,26.0, -  5,125, - 71
100/01/10,600 嘉義市,P1 番石榴 珍珠芭 ,50.0,28.0,16.0,28.0, -  7,600, -   
100/01/11,600 嘉義市,P1 番石榴 珍珠芭 ,52.0,30.0,15.0,30.0, +  7,660, + 10
100/01/11,930 台東市,P1 番石榴 珍珠芭 ,45.0,40.0,20.0,40.3, -   ,261, -   
100/01/11,241 三重區,P1 番石榴 珍珠芭 ,56.2,31.8,26.5,35.6, -   ,26581, -   
100/01/11,400 台中市,P1 番石榴 珍珠芭 ,41.2,29.0,18.4,33.6, +  1,23507, - 10
100/01/11,104 台北二,P1 番石榴 珍珠芭 ,65.9,40.6,25.5,42.7, -   ,12307, -   
100/01/11,109 台北一,P1 番石榴 珍珠芭 ,64.8,37.5,19.7,39.4, -   ,31131, -   
