日期,市場,產品,上價,中價,下價,平均價(元/公斤),價格跟前一交易日比較%,交易量(公斤),交易量跟前一交易日比較%
103/01/09,260 宜蘭市,P1 番石榴 珍珠芭 ,40.0,30.0,15.0,28.3, - 10,6120, +  2
103/01/09,930 台東市,P1 番石榴 珍珠芭 ,40.0,31.0,21.0,32.0, -  9,300, - 25
103/01/09,338 桃　農,P1 番石榴 珍珠芭 ,25.0,23.0,20.0,23.0, + 67,275, + 45
103/01/09,104 台北二,P1 番石榴 珍珠芭 ,52.0,35.1,19.2,35.3, -  9,14684, - 31
103/01/09,800 高雄市,P1 番石榴 珍珠芭 ,40.0,32.2,22.0,31.7, - 26,1597, +999
103/01/09,109 台北一,P1 番石榴 珍珠芭 ,58.4,34.3,15.7,35.4, -  4,29952, - 14
103/01/09,400 台中市,P1 番石榴 珍珠芭 ,41.3,27.8,17.2,32.0, -  3,25966, -  4
103/01/09,830 鳳山區,P1 番石榴 珍珠芭 ,43.4,41.8,40.0,41.8, + 19,4970, - 27
103/01/09,241 三重區,P1 番石榴 珍珠芭 ,49.2,23.7,18.9,27.8, -  9,43848, +  5
103/01/09,600 嘉義市,P1 番石榴 珍珠芭 ,44.0,32.0,24.0,32.0, -  3,2300, +  5
103/01/10,260 宜蘭市,P1 番石榴 珍珠芭 ,40.0,30.0,15.0,28.3,    0,6210, +  1
103/01/10,109 台北一,P1 番石榴 珍珠芭 ,62.2,36.5,15.1,37.4, +  6,25263, - 16
103/01/10,930 台東市,P1 番石榴 珍珠芭 ,40.0,31.0,21.0,32.0,    0,400, + 33
103/01/10,104 台北二,P1 番石榴 珍珠芭 ,52.7,32.5,15.6,33.2, -  6,15848, +  8
103/01/10,600 嘉義市,P1 番石榴 珍珠芭 ,43.0,32.0,25.0,32.0,    0,2300,    0
103/01/10,241 三重區,P1 番石榴 珍珠芭 ,52.7,28.0,20.1,31.3, + 13,42284, -  4
103/01/10,400 台中市,P1 番石榴 珍珠芭 ,41.1,27.1,17.2,32.2, +  1,21620, - 17
103/01/10,800 高雄市,P1 番石榴 珍珠芭 ,41.1,35.0,30.0,35.2, + 11,998, - 38
103/01/11,600 嘉義市,P1 番石榴 珍珠芭 ,42.0,32.0,25.0,32.0,    0,2400, +  4
103/01/11,241 三重區,P1 番石榴 珍珠芭 ,51.2,24.9,18.5,28.9, -  8,47116, + 11
103/01/11,104 台北二,P1 番石榴 珍珠芭 ,57.3,37.8,20.1,38.2, + 15,17852, + 13
103/01/11,338 桃　農,P1 番石榴 珍珠芭 ,28.0,24.0,20.0,24.0,  -  ,100,  -  
103/01/11,400 台中市,P1 番石榴 珍珠芭 ,42.9,27.5,16.6,32.0, -  1,39333, + 82
103/01/11,800 高雄市,P1 番石榴 珍珠芭 ,39.3,31.9,25.0,32.0, -  9,1151, + 15
103/01/11,260 宜蘭市,P1 番石榴 珍珠芭 ,40.0,30.0,15.0,28.3,    0,6320, +  2
103/01/11,109 台北一,P1 番石榴 珍珠芭 ,60.7,38.8,21.3,39.7, +  6,38827, + 54
103/01/11,830 鳳山區,P1 番石榴 珍珠芭 ,40.0,33.5,29.2,33.5,  -  ,3220,  -  
103/01/11,930 台東市,P1 番石榴 珍珠芭 ,40.0,31.0,22.0,32.0,    0,310, - 23
103/01/12,241 三重區,P1 番石榴 珍珠芭 ,52.0,23.5,19.0,28.3, -  2,52295, + 11
103/01/12,600 嘉義市,P1 番石榴 珍珠芭 ,42.0,32.0,25.0,32.0,    0,2350, -  2
103/01/12,109 台北一,P1 番石榴 珍珠芭 ,58.8,38.9,22.5,39.6, -  0,34736, - 11
103/01/12,260 宜蘭市,P1 番石榴 珍珠芭 ,40.0,30.0,15.0,28.3,    0,6250, -  1
103/01/12,830 鳳山區,P1 番石榴 珍珠芭 ,38.5,29.8,24.1,29.8, - 11,5850, + 82
103/01/12,930 台東市,P1 番石榴 珍珠芭 ,39.0,29.0,22.0,29.2, -  9,400, + 29
103/01/12,104 台北二,P1 番石榴 珍珠芭 ,62.3,40.4,24.3,41.5, +  9,19482, +  9
103/01/12,338 桃　農,P1 番石榴 珍珠芭 ,32.0,25.7,20.0,25.7, +  7,275, +175
103/01/12,400 台中市,P1 番石榴 珍珠芭 ,47.3,30.8,16.0,31.6, -  1,29433, - 25
103/01/12,800 高雄市,P1 番石榴 珍珠芭 ,40.0,32.7,30.0,33.6, +  5,294, - 74
103/01/13,600 嘉義市,P1 番石榴 珍珠芭 ,42.0,32.0,25.0,32.0,    0,2400, +  2
103/01/14,104 台北二,P1 番石榴 珍珠芭 ,63.5,40.1,25.4,41.8, +  1,20907, +  7
103/01/14,930 台東市,P1 番石榴 珍珠芭 ,41.0,31.0,23.0,32.0, + 10,200, - 50
103/01/14,400 台中市,P1 番石榴 珍珠芭 ,42.4,29.4,14.7,32.7, +  3,38737, + 32
103/01/14,260 宜蘭市,P1 番石榴 珍珠芭 ,40.0,30.0,15.0,28.3,    0,6320, +  1
103/01/14,241 三重區,P1 番石榴 珍珠芭 ,52.0,25.2,18.6,29.3, +  4,40179, - 23
103/01/14,830 鳳山區,P1 番石榴 珍珠芭 ,40.0,32.9,29.2,32.9, + 10,6420, + 10
103/01/14,600 嘉義市,P1 番石榴 珍珠芭 ,43.0,30.0,25.0,30.0, -  6,1800, - 25
103/01/14,338 桃　農,P1 番石榴 珍珠芭 ,25.0,21.3,14.5,21.3, - 17,525, + 91
103/01/14,109 台北一,P1 番石榴 珍珠芭 ,60.3,35.7,19.6,37.4, -  6,35362, +  2
103/01/14,800 高雄市,P1 番石榴 珍珠芭 ,50.0,35.5,24.2,36.2, +  8,2953, +904
103/01/15,104 台北二,P1 番石榴 珍珠芭 ,57.1,35.8,22.8,37.5, - 10,18531, - 11
103/01/15,830 鳳山區,P1 番石榴 珍珠芭 ,50.0,32.2,23.1,32.2, -  2,7400, + 15
103/01/15,930 台東市,P1 番石榴 珍珠芭 ,43.0,31.0,23.0,32.0,    0,200,    0
103/01/15,260 宜蘭市,P1 番石榴 珍珠芭 ,40.0,30.0,15.0,28.3,    0,6420, +  2
103/01/15,109 台北一,P1 番石榴 珍珠芭 ,57.0,37.6,18.2,37.6, +  1,26137, - 26
103/01/15,400 台中市,P1 番石榴 珍珠芭 ,39.1,24.2,10.4,27.3, - 17,23882, - 38
103/01/15,600 嘉義市,P1 番石榴 珍珠芭 ,40.0,24.0,17.0,24.0, - 20,1500, - 17
103/01/15,241 三重區,P1 番石榴 珍珠芭 ,53.0,23.8,17.8,28.5, -  3,38881, -  3
103/01/16,930 台東市,P1 番石榴 珍珠芭 ,38.0,32.0,20.0,30.0, -  6,200,    0
103/01/16,400 台中市,P1 番石榴 珍珠芭 ,41.0,26.1,12.2,29.2, +  7,24690, +  3
103/01/16,800 高雄市,P1 番石榴 珍珠芭 ,35.0,33.9,25.0,32.4,  -  ,684,  -  
103/01/16,109 台北一,P1 番石榴 珍珠芭 ,60.4,36.4,15.1,36.9, -  2,24835, -  5
103/01/16,260 宜蘭市,P1 番石榴 珍珠芭 ,40.0,30.0,15.0,28.3,    0,6520, +  2
103/01/16,241 三重區,P1 番石榴 珍珠芭 ,50.5,23.3,18.2,27.7, -  3,36075, -  7
103/01/16,104 台北二,P1 番石榴 珍珠芭 ,55.1,34.5,19.4,35.6, -  5,15421, - 17
103/01/17,830 鳳山區,P1 番石榴 珍珠芭 ,36.4,30.0,24.1,30.0,  -  ,6380,  -  
103/01/17,600 嘉義市,P1 番石榴 珍珠芭 ,39.0,24.0,16.0,24.0,    0,1400, -  7
103/01/17,241 三重區,P1 番石榴 珍珠芭 ,51.7,23.9,18.2,28.3, +  2,38891, +  8
103/01/17,930 台東市,P1 番石榴 珍珠芭 ,36.0,30.0,23.0,32.0, +  7,260, + 30
103/01/17,400 台中市,P1 番石榴 珍珠芭 ,40.1,28.0,15.7,29.5, +  1,28723, + 16
103/01/17,800 高雄市,P1 番石榴 珍珠芭 ,35.0,32.6,30.0,32.5, +  0,672, -  2
103/01/17,109 台北一,P1 番石榴 珍珠芭 ,58.2,37.3,20.3,38.1, +  3,27540, + 11
103/01/17,260 宜蘭市,P1 番石榴 珍珠芭 ,40.0,30.0,15.0,28.3,    0,6540, +  0
103/01/17,104 台北二,P1 番石榴 珍珠芭 ,57.7,36.0,22.1,37.6, +  6,14673, -  5
103/01/18,104 台北二,P1 番石榴 珍珠芭 ,58.3,36.7,23.1,38.3, +  2,18405, + 25
103/01/18,930 台東市,P1 番石榴 珍珠芭 ,35.0,32.0,22.0,31.8, -  1,400, + 54
103/01/18,338 桃　農,P1 番石榴 珍珠芭 ,28.0,19.2,12.0,19.2,  -  ,229,  -  
103/01/18,600 嘉義市,P1 番石榴 珍珠芭 ,35.0,25.0,17.0,25.0, +  4,2000, + 43
103/01/18,800 高雄市,P1 番石榴 珍珠芭 ,35.1,32.4,22.4,30.9, -  5,1888, +181
103/01/18,260 宜蘭市,P1 番石榴 珍珠芭 ,40.0,30.0,15.0,28.3,    0,6520, -  0
103/01/18,830 鳳山區,P1 番石榴 珍珠芭 ,34.0,31.8,29.2,31.8, +  6,3400, - 47
103/01/18,400 台中市,P1 番石榴 珍珠芭 ,38.9,25.9,11.2,29.6, +  0,37291, + 30
103/01/18,241 三重區,P1 番石榴 珍珠芭 ,47.4,22.5,16.1,26.2, -  7,50268, + 29
103/01/18,109 台北一,P1 番石榴 珍珠芭 ,56.7,35.5,19.0,36.4, -  4,38154, + 39
103/01/19,241 三重區,P1 番石榴 珍珠芭 ,45.4,22.4,17.2,25.9, -  1,57480, + 14
103/01/19,830 鳳山區,P1 番石榴 珍珠芭 ,34.0,27.0,21.1,27.0, - 15,4000, + 18
103/01/19,800 高雄市,P1 番石榴 珍珠芭 ,30.0,30.0,30.0,30.0, -  3,324, - 83
103/01/19,338 桃　農,P1 番石榴 珍珠芭 ,20.0,16.5,10.0,16.5, - 14,189, - 17
103/01/19,400 台中市,P1 番石榴 珍珠芭 ,43.0,25.4,10.1,27.6, -  7,27132, - 27
103/01/19,109 台北一,P1 番石榴 珍珠芭 ,50.7,31.9,18.0,32.9, - 10,34874, -  9
103/01/19,104 台北二,P1 番石榴 珍珠芭 ,55.8,34.6,22.6,36.5, -  5,23336, + 27
103/01/19,930 台東市,P1 番石榴 珍珠芭 ,31.0,27.0,21.0,28.0, - 12,250, - 38
103/01/19,260 宜蘭市,P1 番石榴 珍珠芭 ,40.0,30.0,15.0,28.3,    0,6850, +  5
103/01/19,600 嘉義市,P1 番石榴 珍珠芭 ,34.0,23.0,14.0,23.0, -  8,2100, +  5
103/01/20,600 嘉義市,P1 番石榴 珍珠芭 ,33.0,23.0,14.0,23.0,    0,2400, + 14
103/01/21,109 台北一,P1 番石榴 珍珠芭 ,54.2,29.4,14.7,31.4, -  5,35009, +  0
103/01/21,400 台中市,P1 番石榴 珍珠芭 ,35.5,23.9,11.1,25.5, -  8,42283, + 56
103/01/21,260 宜蘭市,P1 番石榴 珍珠芭 ,40.0,30.0,15.0,28.3,    0,6520, -  5
103/01/21,241 三重區,P1 番石榴 珍珠芭 ,45.1,22.4,17.3,25.9,    0,43313, - 25
103/01/21,800 高雄市,P1 番石榴 珍珠芭 ,45.4,30.8,20.8,31.7, +  6,4211, +999
103/01/21,600 嘉義市,P1 番石榴 珍珠芭 ,32.0,23.0,14.0,23.0,    0,2200, -  8
103/01/21,338 桃　農,P1 番石榴 珍珠芭 ,28.0,19.2,15.0,19.2, + 16,340, + 80
103/01/21,830 鳳山區,P1 番石榴 珍珠芭 ,31.0,30.0,29.2,30.0, + 11,2720, - 32
103/01/21,930 台東市,P1 番石榴 珍珠芭 ,35.0,28.0,21.0,30.0, +  7,230, -  8
103/01/21,104 台北二,P1 番石榴 珍珠芭 ,55.0,35.8,21.2,36.7, +  1,16786, - 28
103/01/22,338 桃　農,P1 番石榴 珍珠芭 ,20.0,20.0,20.0,20.0, +  4,50, - 85
103/01/22,260 宜蘭市,P1 番石榴 珍珠芭 ,40.0,30.0,15.0,28.3,    0,6530, +  0
103/01/22,930 台東市,P1 番石榴 珍珠芭 ,35.0,28.0,20.0,28.0, -  7,200, - 13
103/01/22,104 台北二,P1 番石榴 珍珠芭 ,49.1,30.3,17.7,31.5, - 14,17778, +  6
103/01/22,800 高雄市,P1 番石榴 珍珠芭 ,31.3,26.5,20.0,26.1, - 18,480, - 89
103/01/22,400 台中市,P1 番石榴 珍珠芭 ,32.9,21.7,9.9,23.9, -  6,31617, - 25
103/01/22,109 台北一,P1 番石榴 珍珠芭 ,53.5,29.0,12.0,30.5, -  3,26992, - 23
103/01/22,600 嘉義市,P1 番石榴 珍珠芭 ,32.0,23.0,14.0,23.0,    0,2300, +  5
103/01/22,830 鳳山區,P1 番石榴 珍珠芭 ,44.4,28.0,20.0,28.0, -  7,6310, +132
103/01/22,241 三重區,P1 番石榴 珍珠芭 ,43.8,20.3,15.3,24.0, -  7,35285, - 19
103/01/23,109 台北一,P1 番石榴 珍珠芭 ,52.9,30.0,12.1,31.0, +  2,22926, - 15
103/01/23,800 高雄市,P1 番石榴 珍珠芭 ,30.0,23.2,20.0,23.9, -  8,514, +  7
103/01/23,930 台東市,P1 番石榴 珍珠芭 ,35.0,28.0,20.0,28.2, +  1,200,    0
103/01/23,260 宜蘭市,P1 番石榴 珍珠芭 ,40.0,30.0,15.0,28.3,    0,6520, -  0
103/01/23,600 嘉義市,P1 番石榴 珍珠芭 ,33.0,24.0,13.0,24.0, +  4,1900, - 17
103/01/23,241 三重區,P1 番石榴 珍珠芭 ,44.1,17.6,14.4,22.3, -  7,36325, +  3
103/01/23,400 台中市,P1 番石榴 珍珠芭 ,25.8,17.7,9.4,20.2, - 15,23198, - 27
103/01/23,830 鳳山區,P1 番石榴 珍珠芭 ,30.1,24.1,20.0,24.1, - 14,4420, - 30
103/01/23,104 台北二,P1 番石榴 珍珠芭 ,48.0,29.3,16.0,30.4, -  3,14409, - 19
103/01/24,241 三重區,P1 番石榴 珍珠芭 ,46.4,18.2,14.0,23.0, +  3,32197, - 11
103/01/24,800 高雄市,P1 番石榴 珍珠芭 ,30.0,26.4,25.0,26.8, + 12,278, - 46
103/01/24,600 嘉義市,P1 番石榴 珍珠芭 ,33.0,23.0,12.0,23.0, -  4,1600, - 16
103/01/24,260 宜蘭市,P1 番石榴 珍珠芭 ,40.0,30.0,15.0,28.3,    0,6580, +  1
103/01/24,109 台北一,P1 番石榴 珍珠芭 ,59.1,32.3,13.6,33.9, +  9,22127, -  3
103/01/24,104 台北二,P1 番石榴 珍珠芭 ,45.8,27.0,12.1,27.8, -  9,14285, -  1
103/01/24,930 台東市,P1 番石榴 珍珠芭 ,30.0,24.0,19.0,23.0, - 18,260, + 30
103/01/24,830 鳳山區,P1 番石榴 珍珠芭 ,29.2,22.0,19.1,22.0, -  9,4830, +  9
103/01/24,338 桃　農,P1 番石榴 珍珠芭 ,10.0,10.0,10.0,10.0,  -  ,46,  -  
103/01/24,400 台中市,P1 番石榴 珍珠芭 ,32.2,20.1,11.5,21.0, +  4,22106, -  5
103/01/25,338 桃　農,P1 番石榴 珍珠芭 ,15.0,12.5,10.0,12.5, + 25,140, +204
103/01/25,930 台東市,P1 番石榴 珍珠芭 ,28.0,24.0,19.0,25.0, +  9,330, + 27
103/01/25,800 高雄市,P1 番石榴 珍珠芭 ,27.3,23.6,20.0,23.6, - 12,1070, +285
103/01/25,830 鳳山區,P1 番石榴 珍珠芭 ,29.1,25.7,24.1,25.7, + 17,4200, - 13
103/01/25,109 台北一,P1 番石榴 珍珠芭 ,57.1,33.0,13.6,33.9,    0,32044, + 45
103/01/25,260 宜蘭市,P1 番石榴 珍珠芭 ,40.0,30.0,15.0,28.3,    0,6540, -  1
103/01/25,400 台中市,P1 番石榴 珍珠芭 ,27.6,18.8,10.6,20.6, -  2,26505, + 20
103/01/25,241 三重區,P1 番石榴 珍珠芭 ,46.3,19.7,14.2,23.9, +  4,39605, + 23
103/01/25,104 台北二,P1 番石榴 珍珠芭 ,58.1,36.4,19.4,37.4, + 35,14007, -  2
103/01/25,600 嘉義市,P1 番石榴 珍珠芭 ,34.0,22.0,12.0,22.0, -  4,2000, + 25
103/01/26,930 台東市,P1 番石榴 珍珠芭 ,26.0,22.0,19.0,23.0, -  8,200, - 39
103/01/26,800 高雄市,P1 番石榴 珍珠芭 ,30.0,30.0,30.0,30.0, + 27,180, - 83
103/01/26,830 鳳山區,P1 番石榴 珍珠芭 ,26.0,22.4,19.0,22.4, - 13,4830, + 15
103/01/26,109 台北一,P1 番石榴 珍珠芭 ,55.2,30.0,12.7,31.6, -  7,33020, +  3
103/01/26,241 三重區,P1 番石榴 珍珠芭 ,46.3,18.9,13.8,23.3, -  3,39003, -  2
103/01/26,260 宜蘭市,P1 番石榴 珍珠芭 ,40.0,30.0,15.0,28.3,    0,6540,    0
103/01/26,338 桃　農,P1 番石榴 珍珠芭 ,20.0,19.3,17.0,19.3, + 54,175, + 25
103/01/26,400 台中市,P1 番石榴 珍珠芭 ,28.2,19.1,10.1,20.2, -  2,29717, + 12
103/01/26,600 嘉義市,P1 番石榴 珍珠芭 ,30.0,20.0,12.0,20.0, -  9,2800, + 40
103/01/26,104 台北二,P1 番石榴 珍珠芭 ,58.9,36.4,23.3,38.2, +  2,17476, + 25
103/01/27,400 台中市,P1 番石榴 珍珠芭 ,27.2,19.8,10.8,18.4, -  9,11165, - 62
103/01/27,109 台北一,P1 番石榴 珍珠芭 ,65.2,37.1,13.0,37.9, + 20,13831, - 58
103/01/27,260 宜蘭市,P1 番石榴 珍珠芭 ,40.0,30.0,15.0,28.3,    0,6650, +  2
103/01/27,930 台東市,P1 番石榴 珍珠芭 ,32.0,28.0,19.0,29.0, + 26,300, + 50
103/01/27,104 台北二,P1 番石榴 珍珠芭 ,60.7,36.5,24.3,38.9, +  2,9935, - 43
103/01/27,800 高雄市,P1 番石榴 珍珠芭 ,45.0,29.0,16.0,29.6, -  1,1452, +707
103/01/27,830 鳳山區,P1 番石榴 珍珠芭 ,31.1,30.0,29.0,30.0, + 34,3200, - 34
103/01/27,241 三重區,P1 番石榴 珍珠芭 ,48.8,20.1,14.2,24.7, +  6,20751, - 47
103/01/27,600 嘉義市,P1 番石榴 珍珠芭 ,30.0,20.0,12.0,20.0,    0,2200, - 21
103/01/28,600 嘉義市,P1 番石榴 珍珠芭 ,30.0,21.0,12.0,21.0, +  5,2000, -  9
103/01/28,800 高雄市,P1 番石榴 珍珠芭 ,35.0,27.6,17.0,27.0, -  9,1184, - 18
103/01/28,400 台中市,P1 番石榴 珍珠芭 ,27.3,16.0,9.3,18.9, +  3,27126, +143
103/01/28,930 台東市,P1 番石榴 珍珠芭 ,32.0,27.0,17.0,27.0, -  7,800, +167
103/01/28,260 宜蘭市,P1 番石榴 珍珠芭 ,40.0,30.0,15.0,28.3,    0,6650,    0
103/01/28,109 台北一,P1 番石榴 珍珠芭 ,60.8,29.2,10.7,31.8, - 16,34215, +147
103/01/28,104 台北二,P1 番石榴 珍珠芭 ,51.5,27.5,13.4,29.5, - 24,19138, + 93
103/01/28,241 三重區,P1 番石榴 珍珠芭 ,46.1,18.5,13.6,23.1, -  6,39861, + 92
103/01/28,338 桃　農,P1 番石榴 珍珠芭 ,17.0,16.0,15.0,16.0,  -  ,175,  -  
103/01/29,400 台中市,P1 番石榴 珍珠芭 ,36.7,18.5,7.2,20.1, +  6,38741, + 43
103/01/29,600 嘉義市,P1 番石榴 珍珠芭 ,30.0,19.0,12.0,19.0, - 10,2400, + 20
103/01/29,830 鳳山區,P1 番石榴 珍珠芭 ,24.1,20.7,19.0,20.7,  -  ,5230,  -  
103/01/29,109 台北一,P1 番石榴 珍珠芭 ,72.1,42.8,15.4,43.2, + 36,32043, -  6
103/01/29,260 宜蘭市,P1 番石榴 珍珠芭 ,40.0,30.0,15.0,28.3,    0,6980, +  5
103/01/29,241 三重區,P1 番石榴 珍珠芭 ,49.6,20.3,13.5,24.8, +  7,35969, - 10
103/01/29,800 高雄市,P1 番石榴 珍珠芭 ,25.0,21.1,20.0,21.7, - 20,540, - 54
103/01/29,930 台東市,P1 番石榴 珍珠芭 ,25.0,20.0,17.0,20.0, - 26,700, - 13
103/01/29,104 台北二,P1 番石榴 珍珠芭 ,52.7,26.0,16.1,29.4, -  0,19404, +  1
103/01/30,600 嘉義市,P1 番石榴 珍珠芭 ,28.0,18.0,12.0,18.0, -  5,700, - 71
103/01/30,400 台中市,P1 番石榴 珍珠芭 ,28.0,16.2,8.0,20.2, +  0,14715, - 62
103/01/30,800 高雄市,P1 番石榴 珍珠芭 ,30.0,30.0,30.0,30.0, + 38,216, - 60
103/01/30,930 台東市,P1 番石榴 珍珠芭 ,30.0,20.0,17.0,24.0, + 20,540, - 23
103/01/30,109 台北一,P1 番石榴 珍珠芭 ,69.6,40.8,17.0,41.8, -  3,18615, - 42
103/01/30,241 三重區,P1 番石榴 珍珠芭 ,59.2,30.4,14.2,32.9, + 33,16153, - 55
103/01/30,260 宜蘭市,P1 番石榴 珍珠芭 ,40.0,30.0,15.0,28.3,    0,4520, - 35
103/01/30,104 台北二,P1 番石榴 珍珠芭 ,55.6,29.4,17.6,32.3, + 10,9868, - 49
103/02/05,600 嘉義市,P1 番石榴 珍珠芭 ,28.0,18.0,12.0,18.0,    0,850, + 21
103/02/05,338 桃　農,P1 番石榴 珍珠芭 ,18.0,14.0,10.0,14.0,  -  ,70,  -  
103/02/05,800 高雄市,P1 番石榴 珍珠芭 ,30.6,27.3,20.0,26.5, - 12,800, +270
103/02/05,104 台北二,P1 番石榴 珍珠芭 ,53.1,31.3,20.7,33.5, +  4,28352, +187
103/02/05,109 台北一,P1 番石榴 珍珠芭 ,46.2,28.4,14.7,29.2, - 30,49733, +167
103/02/05,830 鳳山區,P1 番石榴 珍珠芭 ,31.1,23.9,19.0,23.9, + 15,4020, - 23
103/02/05,260 宜蘭市,P1 番石榴 珍珠芭 ,30.0,20.0,10.0,20.0, - 29,4120, -  9
103/02/05,400 台中市,P1 番石榴 珍珠芭 ,32.5,20.7,8.5,22.1, +  9,50330, +242
103/02/05,241 三重區,P1 番石榴 珍珠芭 ,48.0,21.6,13.9,25.3, - 23,56250, +248
103/02/06,930 台東市,P1 番石榴 珍珠芭 ,30.0,22.0,17.0,24.0,    0,600, + 11
103/02/06,400 台中市,P1 番石榴 珍珠芭 ,26.0,16.5,6.1,18.7, - 15,42526, - 16
103/02/06,600 嘉義市,P1 番石榴 珍珠芭 ,27.0,18.0,12.0,18.0,    0,1400, + 65
103/02/06,241 三重區,P1 番石榴 珍珠芭 ,39.4,18.4,12.9,21.5, - 15,55151, -  2
103/02/06,338 桃　農,P1 番石榴 珍珠芭 ,22.5,14.8,10.0,14.8, +  6,372, +431
103/02/06,104 台北二,P1 番石榴 珍珠芭 ,43.2,25.2,14.1,26.6, - 21,30361, +  7
103/02/06,800 高雄市,P1 番石榴 珍珠芭 ,30.0,28.3,18.7,26.7, +  1,1990, +149
103/02/06,260 宜蘭市,P1 番石榴 珍珠芭 ,30.0,20.0,10.0,20.0,    0,5890, + 43
103/02/06,830 鳳山區,P1 番石榴 珍珠芭 ,31.1,24.2,19.0,24.2, +  1,8080, +101
103/02/06,109 台北一,P1 番石榴 珍珠芭 ,34.8,19.2,9.0,20.3, - 30,50066, +  1
103/02/07,830 鳳山區,P1 番石榴 珍珠芭 ,31.1,24.2,19.0,24.2,    0,4460, - 45
103/02/07,104 台北二,P1 番石榴 珍珠芭 ,39.8,24.3,13.3,25.2, -  5,21935, - 28
103/02/07,338 桃　農,P1 番石榴 珍珠芭 ,20.0,13.3,10.0,13.3, - 10,131, - 65
103/02/07,260 宜蘭市,P1 番石榴 珍珠芭 ,30.0,20.0,10.0,20.0,    0,6210, +  5
103/02/07,600 嘉義市,P1 番石榴 珍珠芭 ,27.0,18.0,12.0,18.0,    0,1300, -  7
103/02/07,400 台中市,P1 番石榴 珍珠芭 ,23.6,14.0,6.6,16.2, - 13,33426, - 21
103/02/07,241 三重區,P1 番石榴 珍珠芭 ,29.4,13.7,10.2,16.2, - 25,61364, + 11
103/02/07,800 高雄市,P1 番石榴 珍珠芭 ,26.5,20.9,20.0,21.8, - 18,518, - 74
103/02/07,930 台東市,P1 番石榴 珍珠芭 ,28.0,22.0,17.0,24.0,    0,500, - 17
103/02/07,109 台北一,P1 番石榴 珍珠芭 ,33.8,18.3,7.8,19.3, -  5,36440, - 27
103/02/08,830 鳳山區,P1 番石榴 珍珠芭 ,27.0,21.4,19.0,21.4, - 12,11470, +157
103/02/08,930 台東市,P1 番石榴 珍珠芭 ,28.0,23.0,16.0,23.0, -  4,600, + 20
103/02/08,104 台北二,P1 番石榴 珍珠芭 ,40.6,23.1,9.2,23.8, -  6,19133, - 13
103/02/08,241 三重區,P1 番石榴 珍珠芭 ,28.2,12.4,9.2,14.9, -  8,52910, - 14
103/02/08,600 嘉義市,P1 番石榴 珍珠芭 ,27.0,18.0,12.0,18.0,    0,1200, -  8
103/02/08,800 高雄市,P1 番石榴 珍珠芭 ,27.3,23.5,16.0,22.8, +  5,1482, +186
103/02/08,109 台北一,P1 番石榴 珍珠芭 ,37.2,20.8,8.7,21.6, + 12,29967, - 18
103/02/08,260 宜蘭市,P1 番石榴 珍珠芭 ,25.0,15.0,10.0,16.6, - 17,6320, +  2
103/02/08,400 台中市,P1 番石榴 珍珠芭 ,24.7,13.5,5.5,15.1, -  7,42745, + 28
103/02/08,338 桃　農,P1 番石榴 珍珠芭 ,21.5,15.3,10.0,15.3, + 15,626, +378
103/02/09,104 台北二,P1 番石榴 珍珠芭 ,40.5,22.9,6.5,23.2, -  3,16255, - 15
103/02/09,109 台北一,P1 番石榴 珍珠芭 ,44.0,23.3,9.7,24.7, + 14,28005, -  7
103/02/09,600 嘉義市,P1 番石榴 珍珠芭 ,25.0,17.0,10.0,17.0, -  6,1300, +  8
103/02/09,400 台中市,P1 番石榴 珍珠芭 ,31.2,13.6,5.4,14.9, -  1,27566, - 36
103/02/09,830 鳳山區,P1 番石榴 珍珠芭 ,27.1,20.5,15.0,20.5, -  4,10110, - 12
103/02/09,241 三重區,P1 番石榴 珍珠芭 ,33.6,12.7,8.5,16.1, +  8,39728, - 25
103/02/09,338 桃　農,P1 番石榴 珍珠芭 ,18.0,12.1,6.0,12.1, - 21,196, - 69
103/02/09,800 高雄市,P1 番石榴 珍珠芭 ,30.0,26.4,15.0,24.9, +  9,590, - 60
103/02/09,930 台東市,P1 番石榴 珍珠芭 ,28.0,23.0,15.0,23.0,    0,620, +  3
103/02/09,260 宜蘭市,P1 番石榴 珍珠芭 ,25.0,15.0,10.0,16.6,    0,6210, -  2
103/02/10,600 嘉義市,P1 番石榴 珍珠芭 ,25.0,17.0,10.0,17.0,    0,1800, + 38
103/02/11,104 台北二,P1 番石榴 珍珠芭 ,42.4,27.7,11.0,27.3, + 18,10130, - 38
103/02/11,338 桃　農,P1 番石榴 珍珠芭 ,15.0,15.0,15.0,15.0, + 24,45, - 77
103/02/11,800 高雄市,P1 番石榴 珍珠芭 ,33.3,23.1,16.8,23.9, -  4,3757, +537
103/02/11,930 台東市,P1 番石榴 珍珠芭 ,28.0,23.0,16.0,23.0,    0,530, - 15
103/02/11,400 台中市,P1 番石榴 珍珠芭 ,26.2,16.3,7.9,17.4, + 17,38525, + 40
103/02/11,830 鳳山區,P1 番石榴 珍珠芭 ,30.2,21.6,16.0,21.6, +  5,5000, - 51
103/02/11,600 嘉義市,P1 番石榴 珍珠芭 ,25.0,16.0,10.0,16.0, -  6,1850, +  3
103/02/11,241 三重區,P1 番石榴 珍珠芭 ,38.8,14.1,9.5,18.1, + 12,30219, - 24
103/02/11,109 台北一,P1 番石榴 珍珠芭 ,52.0,29.9,12.4,30.8, + 25,23460, - 16
