日期,市場,產品,上價,中價,下價,平均價(元/公斤),平均價_跟前一交易日比較%,交易量(公斤),交易量_跟前一交易日比較%
100/01/01,104 台北二  ,A1 香蕉  ,35.0,32.1,25.6,31.4, +  2,9645, -  1
100/01/02,104 台北二  ,A1 香蕉  ,35.1,33.1,25.8,32, +  2,12230, + 27
100/01/04,104 台北二  ,A1 香蕉  ,35.8,33.1,27.0,32.4, -   ,11976, -   
100/01/05,104 台北二  ,A1 香蕉  ,36.5,33.9,27.8,33.2, +  2,7520, - 37
100/01/06,104 台北二  ,A1 香蕉  ,38.2,35.5,28.9,34.7, +  7,8160, - 32
100/01/07,104 台北二  ,A1 香蕉  ,38.2,36.5,29.8,35.5, +  2,7152, - 12
100/01/08,104 台北二  ,A1 香蕉  ,39.1,36.9,31.4,36.2, +  2,5850, - 18
100/01/09,104 台北二  ,A1 香蕉  ,38.9,35.7,30.9,35.4, -  2,8235, + 41
100/01/11,104 台北二  ,A1 香蕉  ,40.1,36.3,28.2,35.4, -   ,7320, -   
100/01/12,104 台北二  ,A1 香蕉  ,40.0,36.4,29.3,35.7, +  1,5730, - 22
100/01/13,104 台北二  ,A1 香蕉  ,41.7,38.9,32.6,38.2, +  7,4419, - 23
100/01/14,104 台北二  ,A1 香蕉  ,40.2,38.3,30.0,37, -  3,7477, + 69
100/01/15,104 台北二  ,A1 香蕉  ,40.6,38.4,33.0,37.8, +  2,7689, +  3
100/01/16,104 台北二  ,A1 香蕉  ,41.4,38.2,34.2,38, +  1,7638, -  1
100/01/18,104 台北二  ,A1 香蕉  ,42.2,39.7,34.3,39.1, -   ,11571, -   
100/01/19,104 台北二  ,A1 香蕉  ,46.4,40.0,35.5,40.4, +  3,6440, - 44
100/01/20,104 台北二  ,A1 香蕉  ,50.1,41.3,34.9,41.8, +  3,4545, - 29
100/01/21,104 台北二  ,A1 香蕉  ,48.4,45.6,34.5,43.9, +  5,4062, - 11
100/01/22,104 台北二  ,A1 香蕉  ,47.3,44.5,35.6,43.3, -  1,5090, + 25
100/01/23,104 台北二  ,A1 香蕉  ,45.8,43.5,35.7,42.4, -  2,5357, +  5
100/01/25,104 台北二  ,A1 香蕉  ,45.3,42.2,33.3,41, -  3,6635, + 24
100/01/26,104 台北二  ,A1 香蕉  ,45.0,43.0,33.6,41.5, +  1,5460, - 18
100/01/27,104 台北二  ,A1 香蕉  ,45.3,43.0,32.1,41.3, -   ,5050, -  8
100/01/28,104 台北二  ,A1 香蕉  ,45.2,43.3,30.8,41.2, -   ,4863, -  4
100/01/29,104 台北二  ,A1 香蕉  ,45.0,42.2,34.9,41.3, -   ,6214, + 28
100/01/30,104 台北二  ,A1 香蕉  ,45.0,44.3,36.7,42.9, +  4,4635, - 25
100/01/31,104 台北二  ,A1 香蕉  ,47.4,44.6,38.7,44, +  3,3705, - 20
100/02/01,104 台北二  ,A1 香蕉  ,47.9,44.4,33.5,42.9, -  3,5250, + 42
100/02/02,104 台北二  ,A1 香蕉  ,48.8,44.3,38.3,44, +  3,3945, - 25
100/02/08,104 台北二  ,A1 香蕉  ,52.1,44.8,39.3,45.2, +  3,7155, + 81
100/02/09,104 台北二  ,A1 香蕉  ,49.8,44.8,42.8,45.4, -   ,6480, -  9
100/02/10,104 台北二  ,A1 香蕉  ,51.0,48.2,38.3,46.8, +  3,7971, + 23
100/02/11,104 台北二  ,A1 香蕉  ,49.7,48.5,41.3,47.3, +  1,6720, - 16
100/02/12,104 台北二  ,A1 香蕉  ,49.2,47.8,41.4,46.8, -  1,5775, - 14
100/02/13,104 台北二  ,A1 香蕉  ,49.1,47.7,36.4,45.7, -  2,6885, + 19
100/02/15,104 台北二  ,A1 香蕉  ,47.0,47.0,40.7,45.7, -   ,6750, -  2
100/02/16,104 台北二  ,A1 香蕉  ,48.1,46.1,35.5,44.4, -  3,12314, + 82
100/02/17,104 台北二  ,A1 香蕉  ,48.6,45.2,35.5,44, -  1,11451, -  7
100/02/20,104 台北二  ,A1 香蕉  ,47.1,45.2,34.7,43.5, -  1,12753, + 11
100/02/22,104 台北二  ,A1 香蕉  ,46.4,41.2,31.7,40.3, -  7,12785, -   
100/02/23,104 台北二  ,A1 香蕉  ,45.3,39.5,29.7,38.7, -  4,10998, - 14
100/02/24,104 台北二  ,A1 香蕉  ,45.1,40.5,31.1,39.6, +  2,8100, - 26
100/02/25,104 台北二  ,A1 香蕉  ,45.8,38.9,29.2,38.4, -  3,8181, +  1
100/02/26,104 台北二  ,A1 香蕉  ,43.9,38.7,26.8,37.3, -  3,9960, + 22
100/02/27,104 台北二  ,A1 香蕉  ,46.3,37.5,27.3,37.2, -   ,10864, +  9
100/03/01,104 台北二  ,A1 香蕉  ,40.0,37.6,29.2,36.4, -  2,9795, - 10
100/03/02,104 台北二  ,A1 香蕉  ,39.6,35.9,28.9,35.2, -  3,8931, -  9
