日期,市場,產品,上價,中價,下價,平均價(元/公斤),平均價_跟前一交易日比較%,交易量(公斤),交易量_跟前一交易日比較%
100/01/07,104 台北二  ,P3 番石榴 帝王芭 ,28.0,26.1,20.0,25.3, -   ,48, -   
100/01/08,104 台北二  ,P3 番石榴 帝王芭 ,41.0,30.9,18.0,30.4, + 20,56, + 17
100/01/14,104 台北二  ,P3 番石榴 帝王芭 ,20.0,20.0,20.0,20.0, -   ,33, -   
100/01/15,104 台北二  ,P3 番石榴 帝王芭 ,25.0,25.0,25.0,25.0, + 25,40, + 21
100/01/18,104 台北二  ,P3 番石榴 帝王芭 ,31.4,21.3,12.0,21.4, -   ,66, -   
100/01/19,104 台北二  ,P3 番石榴 帝王芭 ,15.0,15.0,15.0,15.0, - 30,20, - 70
100/01/21,104 台北二  ,P3 番石榴 帝王芭 ,7.0,7.0,7.0,7.0, -   ,21, -   
100/01/23,104 台北二  ,P3 番石榴 帝王芭 ,76.0,76.0,76.0,76.0, -   ,12, -   
100/01/25,104 台北二  ,P3 番石榴 帝王芭 ,8.0,8.0,8.0,8.0, - 89,80, +567
100/01/27,104 台北二  ,P3 番石榴 帝王芭 ,5.0,5.0,5.0,5.0, -   ,20, -   
100/01/29,104 台北二  ,P3 番石榴 帝王芭 ,15.0,14.0,12.0,13.8, -   ,60, -   
100/02/09,104 台北二  ,P3 番石榴 帝王芭 ,15.0,9.3,6.0,9.8, -   ,104, -   
100/02/10,104 台北二  ,P3 番石榴 帝王芭 ,10.0,8.3,5.0,8.0, - 18,100, -  4
100/02/11,104 台北二  ,P3 番石榴 帝王芭 ,18.0,18.0,18.0,18.0, +125,72, - 28
100/02/12,104 台北二  ,P3 番石榴 帝王芭 ,14.0,12.0,7.0,11.4, - 37,32, - 56
100/02/13,104 台北二  ,P3 番石榴 帝王芭 ,15.0,15.0,15.0,15.0, + 32,40, + 25
100/02/15,104 台北二  ,P3 番石榴 帝王芭 ,13.8,11.1,5.0,10.4, - 31,144, +260
100/02/16,104 台北二  ,P3 番石榴 帝王芭 ,65.0,65.0,65.0,65.0, +525,24, - 83
