month,crop,county,town
3,青梅,台南市,1
3,青梅,台東縣,5
3,青梅,花蓮縣,1
3,青梅,高雄市,4
3,香蕉,南投縣,4
3,香蕉,屏東縣,3
3,香蕉,高雄市,2
3,鳳梨,屏東縣,12
3,鳳梨,高雄市,3
4,木瓜,南投縣,1
4,木瓜,台南市,4
4,木瓜,嘉義縣,1
4,木瓜,屏東縣,4
4,木瓜,雲林縣,1
4,木瓜,高雄市,1
4,枇杷,台中市,2
4,椰子,台東縣,4
4,椰子,屏東縣,4
4,椰子,高雄市,2
4,楊桃,台南市,1
4,楊桃,屏東縣,1
4,楊桃,苗栗縣,1
4,甜蜜桃,台中市,3
4,甜蜜桃,苗栗縣,2
4,番石榴,台南市,2
4,番石榴,彰化縣,2
4,番石榴,高雄市,3
4,芒果,台南市,4
4,芒果,屏東縣,3
4,蓮霧,屏東縣,11
4,蓮霧,高雄市,1
4,青梅,南投縣,5
4,青梅,台中市,1
4,青梅,台南市,1
4,青梅,台東縣,5
4,青梅,花蓮縣,1
4,青梅,高雄市,4
4,香蕉,南投縣,4
4,香蕉,屏東縣,3
4,香蕉,高雄市,2
4,鳳梨,屏東縣,12
4,鳳梨,高雄市,3
5,木瓜,南投縣,1
5,木瓜,台南市,4
5,木瓜,嘉義縣,1
5,木瓜,屏東縣,4
5,木瓜,雲林縣,1
5,木瓜,高雄市,1
5,李,苗栗縣,3
5,枇杷,台中市,2
5,椰子,台東縣,4
5,椰子,屏東縣,4
5,椰子,高雄市,2
5,水蜜桃,南投縣,1
5,水蜜桃,台中市,1
5,水蜜桃,新竹縣,1
5,水蜜桃,桃園縣,1
5,甜蜜桃,台中市,3
5,甜蜜桃,苗栗縣,2
5,番石榴,台南市,2
5,番石榴,彰化縣,2
5,番石榴,高雄市,3
5,芒果,台南市,9
5,芒果,屏東縣,5
5,芒果,高雄市,1
5,荔枝,高雄市,2
5,葡萄,南投縣,3
5,葡萄,台中市,4
5,葡萄,彰化縣,6
5,葡萄,苗栗縣,1
5,蓮霧,屏東縣,11
5,蓮霧,高雄市,1
5,青梅,南投縣,5
5,青梅,台中市,1
5,青梅,台南市,1
5,青梅,台東縣,5
5,青梅,花蓮縣,1
5,青梅,高雄市,4
5,香蕉,南投縣,4
5,香蕉,屏東縣,3
5,香蕉,高雄市,2
5,高接梨,台中市,4
5,高接梨,嘉義縣,1
5,高接梨,宜蘭縣,2
5,高接梨,苗栗縣,3
5,鳳梨,台南市,6
5,鳳梨,嘉義縣,2
5,鳳梨,屏東縣,8
5,鳳梨,高雄市,2
6,木瓜,南投縣,1
6,木瓜,台南市,4
6,木瓜,嘉義縣,1
6,木瓜,屏東縣,4
6,木瓜,雲林縣,1
6,木瓜,高雄市,1
6,李,苗栗縣,3
6,椰子,台東縣,4
6,椰子,屏東縣,4
6,椰子,高雄市,2
6,水蜜桃,南投縣,1
6,水蜜桃,台中市,1
6,水蜜桃,新竹縣,1
6,水蜜桃,桃園縣,1
6,番石榴,台南市,2
6,番石榴,彰化縣,2
6,番石榴,高雄市,3
6,芒果,台南市,9
6,芒果,屏東縣,5
6,芒果,高雄市,1
6,荔枝,南投縣,5
6,荔枝,台中市,4
6,荔枝,嘉義縣,1
6,荔枝,彰化縣,2
6,荔枝,新竹市,1
6,荔枝,高雄市,5
6,葡萄,南投縣,3
6,葡萄,台中市,4
6,葡萄,彰化縣,6
6,葡萄,苗栗縣,1
6,酪梨,台南市,3
6,香蕉,南投縣,4
6,香蕉,屏東縣,3
6,香蕉,高雄市,2
6,高接梨,台中市,4
6,高接梨,嘉義縣,1
6,高接梨,宜蘭縣,2
6,高接梨,苗栗縣,3
6,鳳梨,南投縣,2
6,鳳梨,台南市,6
6,鳳梨,嘉義縣,2
6,鳳梨,屏東縣,8
6,鳳梨,彰化縣,2
6,鳳梨,雲林縣,2
6,鳳梨,高雄市,2
7,木瓜,南投縣,1
7,木瓜,台南市,4
7,木瓜,嘉義縣,1
7,木瓜,屏東縣,4
7,木瓜,雲林縣,1
7,木瓜,高雄市,1
7,椰子,台東縣,4
7,椰子,屏東縣,4
7,椰子,高雄市,2
7,楊桃,台南市,1
7,楊桃,屏東縣,1
7,楊桃,苗栗縣,1
7,檸檬,屏東縣,3
7,水蜜桃,南投縣,1
7,水蜜桃,台中市,1
7,水蜜桃,新竹縣,1
7,水蜜桃,桃園縣,1
7,溫帶梨,南投縣,1
7,溫帶梨,台中市,1
7,番石榴,台南市,2
7,番石榴,彰化縣,2
7,番石榴,高雄市,3
7,番荔枝,台南市,1
7,番荔枝,台東縣,8
7,芒果,台南市,5
7,芒果,屏東縣,2
7,芒果,高雄市,1
7,荔枝,南投縣,5
7,荔枝,台中市,4
7,荔枝,嘉義縣,1
7,荔枝,彰化縣,2
7,荔枝,新竹市,1
7,荔枝,高雄市,3
7,葡萄,南投縣,3
7,葡萄,台中市,4
7,葡萄,彰化縣,6
7,葡萄,苗栗縣,1
7,酪梨,台南市,3
7,香蕉,南投縣,4
7,香蕉,屏東縣,3
7,香蕉,高雄市,2
7,高接梨,台中市,4
7,高接梨,嘉義縣,1
7,高接梨,宜蘭縣,2
7,高接梨,苗栗縣,3
7,鳳梨,南投縣,2
7,鳳梨,台南市,6
7,鳳梨,嘉義縣,2
7,鳳梨,屏東縣,8
7,鳳梨,彰化縣,2
7,鳳梨,雲林縣,2
7,鳳梨,高雄市,2
7,龍眼,南投縣,2
7,龍眼,台中市,3
7,龍眼,台南市,5
7,龍眼,嘉義縣,1
7,龍眼,高雄市,2
8,文旦柚,南投縣,2
8,文旦柚,台南市,2
8,文旦柚,台東縣,1
8,文旦柚,嘉義縣,1
8,文旦柚,宜蘭縣,1
8,文旦柚,花蓮縣,4
8,文旦柚,苗栗縣,2
8,文旦柚,雲林縣,1
8,木瓜,南投縣,1
8,木瓜,台南市,4
8,木瓜,嘉義縣,1
8,木瓜,屏東縣,4
8,木瓜,雲林縣,1
8,木瓜,高雄市,1
8,柿子,台中市,8
8,柿子,嘉義縣,2
8,柿子,新竹縣,4
8,柿子,苗栗縣,4
8,楊桃,台南市,1
8,楊桃,屏東縣,1
8,楊桃,苗栗縣,1
8,檸檬,屏東縣,3
8,溫帶梨,南投縣,1
8,溫帶梨,台中市,1
8,番石榴,台南市,2
8,番石榴,彰化縣,2
8,番石榴,高雄市,3
8,番荔枝,台南市,1
8,番荔枝,台東縣,8
8,葡萄,南投縣,3
8,葡萄,台中市,4
8,葡萄,彰化縣,4
8,葡萄,苗栗縣,1
