日期,市場,產品,上價,中價,下價,平均價(元/公斤),平均價_跟前一交易日比較%,交易量(公斤),交易量_跟前一交易日比較%
100/01/01,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,29.4,23.0,13.2,22.3, -  7,3885,122
100/01/02,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,30.1,22.6,12.3,22.1, -  1,5468, + 41
100/01/04,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,28.3,21.6,10.1,20.7, -   ,5068, -   
100/01/05,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,27.5,16.9,7.4,17.1, - 17,5212, +  3
100/01/06,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,31.4,19.7,9.0,19.9, -  4,620, - 88
100/01/07,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,23.6,17.7,11.7,17.7, - 11,702, + 13
100/01/08,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,33.6,27.5,17.8,26.8, + 51,1431,104
100/01/09,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,24.6,21.2,11.9,20.0, - 25,2208, + 54
100/01/11,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,25.0,19.5,15.2,19.7, -   ,2751, -   
100/01/12,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,21.8,19.2,16.1,19.1, -  3,1159, - 58
100/01/13,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,22.0,21.1,18.0,20.6, +  8,404, - 65
100/01/14,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,25.8,22.0,15.2,21.4, +  4,2324,475
100/01/15,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,24.5,20.2,12.7,19.6, -  8,5850,152
100/01/16,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,24.1,17.0,6.2,16.2, - 17,6327, +  8
100/01/18,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,23.7,16.6,8.1,16.3, -   ,5155, -   
100/01/19,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,24.9,17.7,11.7,17.9, + 10,2299, - 55
100/01/20,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,23.1,20.0,18.5,20.3, + 13,581, - 75
100/01/21,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,22.7,17.5,13.4,17.7, - 13,1473,154
100/01/22,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,24.7,18.9,13.7,19.0, +  7,1701, + 15
100/01/23,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,25.1,17.5,12.5,18.0, -  5,2371, + 39
100/01/25,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,21.5,16.1,9.0,15.8, - 12,4335, + 83
100/01/26,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,22.1,15.4,7.8,15.2, -  4,4301, -  1
100/01/27,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,21.5,16.5,10.8,16.3, +  7,3697, - 14
100/01/28,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,23.4,17.1,9.5,16.8, +  3,4725, + 28
100/01/29,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,21.3,16.8,10.4,16.4, -  2,4717, -   
