日期,市場,產品,上價,中價,下價,平均價(元/公斤),平均價_跟前一交易日比較%,交易量(公斤),交易量_跟前一交易日比較%
100/03/10,104 台北二  ,R1 芒果 愛文 ,90.0,90.0,90.0,90.0,  -  ,5,  -  
100/03/13,104 台北二  ,R1 芒果 愛文 ,110.0,102.9,100.0,103.8,  -  ,16,  -  
100/03/15,104 台北二  ,R1 芒果 愛文 ,70.0,62.5,55.0,62.5, - 40,20, + 25
100/03/16,104 台北二  ,R1 芒果 愛文 ,80.0,67.5,55.0,67.5, +  8,20,    0
100/03/24,104 台北二  ,R1 芒果 愛文 ,60.0,60.0,60.0,60.0,  -  ,6,  -  
100/03/27,104 台北二  ,R1 芒果 愛文 ,84.4,57.1,31.9,57.5,  -  ,48,  -  
100/03/29,104 台北二  ,R1 芒果 愛文 ,130.0,111.1,45.0,101.7, + 77,18, - 63
100/03/30,104 台北二  ,R1 芒果 愛文 ,65.0,57.5,50.0,57.5, - 43,12, - 33
100/03/31,104 台北二  ,R1 芒果 愛文 ,116.7,85.6,60.0,86.7, + 51,36, +200
100/04/01,104 台北二  ,R1 芒果 愛文 ,110.0,86.7,60.0,86.0, -  1,30, - 17
100/04/03,104 台北二  ,R1 芒果 愛文 ,90.0,47.8,33.4,53.3,  -  ,83,  -  
100/04/04,104 台北二  ,R1 芒果 愛文 ,115.4,51.1,28.1,59.4, + 11,78, -  6
100/04/07,104 台北二  ,R1 芒果 愛文 ,84.2,65.0,29.2,61.6, +  4,83, +  6
100/04/08,104 台北二  ,R1 芒果 愛文 ,70.0,70.0,70.0,70.0, + 14,12, - 86
100/04/09,104 台北二  ,R1 芒果 愛文 ,69.5,46.0,38.3,49.2, - 30,36, +200
100/04/10,104 台北二  ,R1 芒果 愛文 ,120.7,61.0,22.0,65.1, + 32,58, + 61
100/04/12,104 台北二  ,R1 芒果 愛文 ,138.3,78.3,32.9,81.3, + 25,36, - 38
100/04/13,104 台北二  ,R1 芒果 愛文 ,97.3,58.4,37.7,62.0, - 24,124, +244
100/04/14,104 台北二  ,R1 芒果 愛文 ,88.5,72.4,45.0,70.1, + 13,43, - 65
100/04/15,104 台北二  ,R1 芒果 愛文 ,137.1,105.1,71.6,104.8, + 50,84, + 95
100/04/16,104 台北二  ,R1 芒果 愛文 ,160.0,96.3,48.8,99.5, -  5,120, + 43
100/04/17,104 台北二  ,R1 芒果 愛文 ,122.2,74.4,29.2,74.9, - 25,81, - 33
100/04/19,104 台北二  ,R1 芒果 愛文 ,115.4,81.2,38.9,79.6, +  6,253, +212
100/04/20,104 台北二  ,R1 芒果 愛文 ,130.0,105.0,60.0,101.0, + 27,120, - 53
100/04/21,104 台北二  ,R1 芒果 愛文 ,108.8,86.3,59.8,85.5, - 15,179, + 49
100/04/22,104 台北二  ,R1 芒果 愛文 ,138.3,75.3,44.2,81.7, -  4,36, - 80
100/04/23,104 台北二  ,R1 芒果 愛文 ,130.7,92.0,43.1,89.9, + 10,197, +447
100/04/24,104 台北二  ,R1 芒果 愛文 ,127.5,84.4,47.1,85.5, -  5,144, - 27
100/04/26,104 台北二  ,R1 芒果 愛文 ,122.9,69.7,5.1,67.4, - 21,622, +332
100/04/27,104 台北二  ,R1 芒果 愛文 ,114.6,82.5,52.5,82.9, + 23,660, +  6
100/04/28,104 台北二  ,R1 芒果 愛文 ,100.7,74.8,35.2,72.1, - 13,638, -  3
100/04/29,104 台北二  ,R1 芒果 愛文 ,95.8,58.9,32.0,60.9, - 16,863, + 35
100/04/30,104 台北二  ,R1 芒果 愛文 ,113.1,78.8,51.1,80.1, + 32,760, - 12
100/05/01,104 台北二  ,R1 芒果 愛文 ,121.9,71.2,19.4,71.0, - 11,"1,139", + 50
100/05/03,104 台北二  ,R1 芒果 愛文 ,131.6,85.3,47.0,86.9, + 22,"2,066", + 81
100/05/04,104 台北二  ,R1 芒果 愛文 ,119.8,76.2,42.9,78.3, - 10,"1,343", - 35
100/05/05,104 台北二  ,R1 芒果 愛文 ,110.4,70.0,35.4,71.1, -  9,"1,760", + 31
100/05/06,104 台北二  ,R1 芒果 愛文 ,113.2,60.3,31.5,65.1, -  8,"1,166", - 34
100/05/07,104 台北二  ,R1 芒果 愛文 ,138.6,77.1,45.4,83.0, + 27,"1,318", + 13
100/05/08,104 台北二  ,R1 芒果 愛文 ,136.2,73.0,41.1,79.2, -  5,"2,353", + 79
100/05/10,104 台北二  ,R1 芒果 愛文 ,126.6,75.2,42.5,78.9, -  0,"4,582", + 95
100/05/11,104 台北二  ,R1 芒果 愛文 ,131.1,65.0,32.6,71.8, -  9,"3,064", - 33
100/05/12,104 台北二  ,R1 芒果 愛文 ,117.7,58.6,32.2,65.1, -  9,"2,653", - 13
100/05/13,104 台北二  ,R1 芒果 愛文 ,139.2,77.9,34.4,81.5, + 25,"3,171", + 20
100/05/14,104 台北二  ,R1 芒果 愛文 ,149.6,84.5,38.8,88.4, +  8,"2,402", - 24
100/05/15,104 台北二  ,R1 芒果 愛文 ,144.7,96.2,47.7,96.2, +  9,"7,133", +197
100/05/17,104 台北二  ,R1 芒果 愛文 ,132.5,81.1,40.4,83.3, - 13,"11,831", + 66
100/05/18,104 台北二  ,R1 芒果 愛文 ,130.5,81.2,41.0,83.0, -  0,"7,129", - 40
100/05/19,104 台北二  ,R1 芒果 愛文 ,127.3,76.3,49.6,81.1, -  2,"3,684", - 48
100/05/20,104 台北二  ,R1 芒果 愛文 ,121.0,72.2,41.9,75.9, -  6,"7,053", + 91
100/05/21,104 台北二  ,R1 芒果 愛文 ,122.6,76.5,42.1,78.8, +  4,"5,791", - 18
100/05/22,104 台北二  ,R1 芒果 愛文 ,119.4,75.1,35.0,76.0, -  4,"6,528", + 13
100/05/24,104 台北二  ,R1 芒果 愛文 ,100.0,61.9,38.6,64.8, - 15,"18,296", +180
100/05/25,104 台北二  ,R1 芒果 愛文 ,94.5,58.0,34.2,60.5, -  7,"12,815", - 30
100/05/26,104 台北二  ,R1 芒果 愛文 ,92.2,51.5,29.8,55.3, -  9,"15,731", + 23
100/05/27,104 台北二  ,R1 芒果 愛文 ,90.2,50.5,33.1,55.0, -  1,"15,519", -  1
100/05/28,104 台北二  ,R1 芒果 愛文 ,84.5,50.4,28.6,52.9, -  4,"14,085", -  9
100/05/29,104 台北二  ,R1 芒果 愛文 ,94.3,51.9,34.2,56.8, +  7,"15,057", +  7
100/05/31,104 台北二  ,R1 芒果 愛文 ,108.3,63.4,38.8,67.5, + 19,"15,331", +  2
100/06/01,104 台北二  ,R1 芒果 愛文 ,134.7,83.8,51.1,87.5, + 30,"15,111", -  1
100/06/02,104 台北二  ,R1 芒果 愛文 ,118.8,77.5,51.5,80.6, -  8,"17,467", + 16
100/06/03,104 台北二  ,R1 芒果 愛文 ,106.6,72.3,46.9,74.1, -  8,"14,222", - 19
100/06/04,104 台北二  ,R1 芒果 愛文 ,110.6,74.2,44.7,75.6, +  2,"17,050", + 20
100/06/05,104 台北二  ,R1 芒果 愛文 ,112.1,71.0,47.6,74.6, -  1,"21,514", + 26
100/06/06,104 台北二  ,R1 芒果 愛文 ,99.0,63.3,41.6,66.1, - 11,"23,118", +  7
