日期,市場,產品,上價,中價,下價,平均價(元/公斤),平均價_跟前一交易日比較%,交易量(公斤),交易量_跟前一交易日比較%
100/01/01,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,54.4,34.7,23.9,36.5, + 18,"1,143", +  9
100/01/02,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,64.0,49.6,37.3,50.0, + 37,782, - 32
100/01/04,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,56.4,41.9,30.3,42.5, -   ,"1,427", -   
100/01/05,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,49.5,34.0,22.4,34.8, - 18,"1,588", + 11
100/01/06,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,45.8,32.6,27.1,34.1, - 20,932, - 35
100/01/07,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,49.8,33.3,27.4,35.4, +  4,640, - 31
100/01/08,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,44.0,34.7,25.1,34.6, -  2,"1,337", +109
100/01/09,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,46.8,33.0,28.8,34.9, +  1,866, - 35
100/01/11,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,42.1,33.9,17.0,32.2, -   ,"1,176", -   
100/01/12,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,51.3,30.4,19.5,32.4, +  1,531, - 55
100/01/13,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,40.0,29.9,17.0,29.3, - 10,69, - 87
100/01/14,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,46.5,33.5,20.2,33.4, + 14,"1,156",+1575
100/01/15,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,44.5,32.6,25.3,33.5, -   ,"2,088", + 81
100/01/16,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,61.9,46.6,26.9,45.7, + 36,648, - 69
100/01/18,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,45.4,34.9,25.1,35.0, -   ,"1,495", -   
100/01/19,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,43.7,28.9,18.3,29.7, - 15,"1,261", - 16
100/01/20,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,52.1,43.3,30.6,42.5, + 43,390, - 69
100/01/21,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,47.2,31.4,23.8,33.0, - 22,868, +123
100/01/22,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,46.4,36.0,25.8,36.0, +  9,578, - 33
100/01/23,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,47.3,34.9,24.8,35.4, -  2,680, + 18
100/01/25,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,41.3,32.7,21.8,32.2, -  9,"1,180", + 74
100/01/26,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,41.0,28.8,16.1,28.7, - 11,"1,840", + 56
100/01/27,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,43.2,30.3,13.2,29.5, +  3,769, - 58
100/01/28,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,52.3,35.2,20.6,35.7, + 21,936, + 22
100/01/29,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,53.4,28.4,19.1,31.5, - 12,"1,052", + 12
100/01/30,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,49.4,39.4,20.0,37.5, + 19,785, - 25
100/01/31,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,66.7,51.3,22.6,48.7, + 30,174, - 78
100/02/01,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,60.3,36.4,22.5,38.4, - 21,"1,081", +521
100/02/02,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,55.4,35.1,20.7,36.3, -  5,213, - 80
100/02/08,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,68.3,55.0,39.9,54.7, + 51,545, +156
100/02/09,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,61.2,48.5,28.0,46.9, - 14,"1,483", +172
100/02/10,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,65.9,44.5,25.3,45.0, -  4,"1,191", - 20
100/02/11,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,56.9,39.6,24.6,40.1, - 11,"1,043", - 12
100/02/12,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,46.2,36.6,24.5,36.1, - 10,"1,137", +  9
100/02/13,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,57.6,38.2,19.1,38.2, +  6,634, - 44
100/02/15,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,58.2,38.4,30.1,40.7, +  7,938, + 48
100/02/16,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,62.6,43.8,30.6,44.9, + 10,"1,477", + 57
100/02/17,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,59.7,45.0,31.4,45.2, +  1,"1,048", - 29
100/02/20,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,55.9,39.5,27.2,40.3, - 11,"1,865", + 78
100/02/22,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,58.1,45.0,30.3,44.7, + 11,"1,272", - 32
100/02/23,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,49.8,36.9,30.5,38.2, - 15,995, - 22
100/02/24,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,47.5,33.8,23.2,34.4, - 10,"1,022", +  3
100/02/25,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,52.5,36.8,24.6,37.5, +  9,"1,190", + 16
100/02/26,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,45.6,36.7,24.5,36.0, -  4,783, - 34
100/02/27,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,52.7,37.7,27.4,38.6, +  7,790, +  1
100/03/01,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,58.7,43.3,27.9,43.3, + 12,967, + 22
