年度,期作,縣市,鄉鎮,作物代碼,作物,收穫面積(公頃),種植面積(公頃),每公頃收穫量(公斤),收量(公斤)
108,全年,基隆市,七堵區,438 ,蔥,0.95,0.95,9908.0,9413.0
108,一期作,基隆市,七堵區,440 ,芋,0.16,0.16,9800.0,1568.0
108,全年,基隆市,七堵區,440 ,芋,0.16,0.16,9800.0,1568.0
108,一期作,基隆市,七堵區,201 ,甘藷,0.44,0.44,12000.0,5280.0
108,二期作,基隆市,七堵區,201 ,甘藷,0.02,0.02,18000.0,360.0
108,全年,基隆市,七堵區,201 ,甘藷,0.46,0.46,12261.0,5640.0
108,裡作,基隆市,七堵區,445 ,蕗蕎,0.18,0.18,10000.0,1800.0
108,一期作,基隆市,七堵區,445 ,蕗蕎,0.1,0.1,10500.0,1050.0
108,二期作,基隆市,七堵區,445 ,蕗蕎,0.09,0.09,10000.0,900.0
108,全年,基隆市,七堵區,445 ,蕗蕎,0.37,0.37,10135.0,3750.0
108,裡作,基隆市,七堵區,456 ,大芥菜,0.91,0.91,11000.0,10010.0
108,全年,基隆市,七堵區,456 ,大芥菜,0.91,0.91,11000.0,10010.0
108,全年,基隆市,七堵區,698 ,其他,1.01,1.01,4856.0,4905.0
108,一期作,基隆市,七堵區,457 ,甕菜,0.17,0.17,10300.0,1751.0
108,二期作,基隆市,七堵區,457 ,甕菜,0.17,0.17,11500.0,1955.0
108,全年,基隆市,七堵區,457 ,甕菜,0.34,0.34,10900.0,3706.0
108,裡作,基隆市,七堵區,458 ,芹菜,0.12,0.12,9500.0,1140.0
108,全年,基隆市,七堵區,458 ,芹菜,0.12,0.12,9500.0,1140.0
108,裡作,基隆市,七堵區,460 ,萵苣,0.79,0.79,9600.0,7584.0
108,一期作,基隆市,七堵區,460 ,萵苣,0.45,0.45,9700.0,4365.0
108,二期作,基隆市,七堵區,460 ,萵苣,0.47,0.47,10000.0,4700.0
108,全年,基隆市,七堵區,460 ,萵苣,1.71,1.71,9736.0,16649.0
108,一期作,基隆市,七堵區,461 ,莧菜,0.03,0.03,10500.0,315.0
108,二期作,基隆市,七堵區,461 ,莧菜,0.04,0.04,10500.0,420.0
108,全年,基隆市,七堵區,461 ,莧菜,0.07,0.07,10500.0,735.0
108,裡作,基隆市,七堵區,462 ,茼蒿,0.02,0.02,10000.0,200.0
108,全年,基隆市,七堵區,462 ,茼蒿,0.02,0.02,10000.0,200.0
108,裡作,基隆市,七堵區,465 ,芥藍,0.1,0.1,10500.0,1050.0
108,全年,基隆市,七堵區,465 ,芥藍,0.1,0.1,10500.0,1050.0
108,一期作,基隆市,中正區,516 ,休閒面積,0.0,10.03,0.0,0.0
108,二期作,基隆市,中正區,516 ,休閒面積,0.0,11.65,0.0,0.0
108,全年,基隆市,中正區,516 ,休閒面積,0.0,21.68,0.0,0.0
108,裡作,基隆市,中正區,517 ,荒廢面積,0.0,11.65,0.0,0.0
108,一期作,基隆市,中正區,517 ,荒廢面積,0.0,1.62,0.0,0.0
108,全年,基隆市,中正區,517 ,荒廢面積,0.0,13.27,0.0,0.0
108,全年,基隆市,中正區,403 ,竹筍,0.3,0.3,4300.0,1290.0
108,二期作,基隆市,仁愛區,516 ,休閒面積,0.0,14.81,0.0,0.0
108,全年,基隆市,仁愛區,516 ,休閒面積,0.0,14.81,0.0,0.0
108,裡作,基隆市,仁愛區,517 ,荒廢面積,0.0,14.81,0.0,0.0
108,一期作,基隆市,仁愛區,517 ,荒廢面積,0.0,14.81,0.0,0.0
108,全年,基隆市,仁愛區,517 ,荒廢面積,0.0,29.62,0.0,0.0
108,裡作,基隆市,暖暖區,470 ,其他(果菜),0.11,0.11,10500.0,1155.0
108,一期作,基隆市,暖暖區,470 ,其他(果菜),0.15,0.15,11000.0,1650.0
108,二期作,基隆市,暖暖區,470 ,其他(果菜),0.15,0.15,10500.0,1575.0
108,全年,基隆市,暖暖區,470 ,其他(果菜),0.41000000000000003,0.41000000000000003,10683.0,4380.0
108,一期作,基隆市,暖暖區,473 ,胡瓜,0.08,0.08,11000.0,880.0
108,全年,基隆市,暖暖區,473 ,胡瓜,0.08,0.08,11000.0,880.0
108,一期作,基隆市,暖暖區,475 ,冬瓜,0.01,0.01,10500.0,105.0
108,全年,基隆市,暖暖區,475 ,冬瓜,0.01,0.01,10500.0,105.0
108,一期作,基隆市,暖暖區,476 ,苦瓜,0.03,0.03,9800.0,294.0
108,全年,基隆市,暖暖區,476 ,苦瓜,0.03,0.03,9800.0,294.0
108,一期作,基隆市,暖暖區,477 ,茄子,0.04,0.04,9900.0,396.0
108,二期作,基隆市,暖暖區,477 ,茄子,0.03,0.03,10200.0,306.0
108,全年,基隆市,暖暖區,477 ,茄子,0.07,0.07,10029.0,702.0
108,一期作,基隆市,暖暖區,478 ,長豇(菜)豆,0.03,0.03,9600.0,288.0
108,全年,基隆市,暖暖區,478 ,長豇(菜)豆,0.03,0.03,9600.0,288.0
108,一期作,基隆市,暖暖區,483 ,南瓜,0.07,0.07,10000.0,700.0
108,二期作,基隆市,暖暖區,483 ,南瓜,0.01,0.01,11000.0,110.0
108,全年,基隆市,暖暖區,483 ,南瓜,0.08,0.08,10125.0,810.0
108,一期作,基隆市,暖暖區,484 ,佛手瓜,0.01,0.01,9800.0,98.0
108,全年,基隆市,暖暖區,484 ,佛手瓜,0.01,0.01,9800.0,98.0
108,一期作,基隆市,暖暖區,002 ,食用玉米,0.05,0.05,5200.0,260.0
108,全年,基隆市,暖暖區,002 ,食用玉米,0.05,0.05,5200.0,260.0
108,一期作,基隆市,暖暖區,487 ,扁蒲,0.07,0.07,9800.0,686.0
108,全年,基隆市,暖暖區,487 ,扁蒲,0.07,0.07,9800.0,686.0
108,一期作,基隆市,暖暖區,488 ,絲瓜,0.08,0.08,10000.0,800.0
108,二期作,基隆市,暖暖區,488 ,絲瓜,0.1,0.1,9500.0,950.0
108,全年,基隆市,暖暖區,488 ,絲瓜,0.18,0.18,9722.0,1750.0
108,二期作,基隆市,暖暖區,489 ,黃秋葵,0.01,0.01,9500.0,95.0
108,全年,基隆市,暖暖區,489 ,黃秋葵,0.01,0.01,9500.0,95.0
108,全年,基隆市,暖暖區,802 ,山藥,0.04,0.04,15000.0,600.0
108,一期作,基隆市,暖暖區,493 ,四季豆,0.09,0.09,9200.0,828.0
108,全年,基隆市,暖暖區,493 ,四季豆,0.09,0.09,9200.0,828.0
108,全年,基隆市,暖暖區,941 ,苗圃類,4.96,4.96,250000.0,1240000.0
108,全年,基隆市,暖暖區,601 ,香蕉,0.83,0.83,9600.0,7968.0
108,全年,基隆市,暖暖區,605 ,桶柑,0.02,0.02,5600.0,112.0
108,全年,基隆市,暖暖區,607 ,文旦柚,0.14,0.14,6857.0,960.0
108,全年,基隆市,暖暖區,623 ,番石榴,0.01,0.01,11200.0,112.0
108,全年,基隆市,暖暖區,628 ,蓮霧,0.08,0.08,5075.0,406.0
108,裡作,基隆市,暖暖區,516 ,休閒面積,0.0,32.68,0.0,0.0
108,一期作,基隆市,暖暖區,516 ,休閒面積,0.0,36.09,0.0,0.0
108,二期作,基隆市,暖暖區,516 ,休閒面積,0.0,38.98,0.0,0.0
108,全年,基隆市,暖暖區,516 ,休閒面積,0.0,107.75,0.0,0.0
108,裡作,基隆市,暖暖區,517 ,荒廢面積,0.0,6.35,0.0,0.0
108,一期作,基隆市,暖暖區,517 ,荒廢面積,0.0,2.47,0.0,0.0
108,全年,基隆市,暖暖區,517 ,荒廢面積,0.0,8.82,0.0,0.0
108,全年,基隆市,暖暖區,643 ,百香果,0.01,0.01,10400.0,104.0
108,全年,基隆市,暖暖區,402 ,韭菜,0.04,0.04,9700.0,388.0
108,全年,基隆市,暖暖區,403 ,竹筍,5.97,5.97,4400.0,26268.0
108,全年,基隆市,暖暖區,651 ,紅龍果,0.01,0.01,17600.0,176.0
108,裡作,基隆市,暖暖區,416 ,蘿蔔,0.1,0.1,10000.0,1000.0
108,全年,基隆市,暖暖區,416 ,蘿蔔,0.1,0.1,10000.0,1000.0
108,裡作,基隆市,暖暖區,419 ,甘藍,0.01,0.01,10200.0,102.0
108,全年,基隆市,暖暖區,419 ,甘藍,0.01,0.01,10200.0,102.0
108,裡作,基隆市,暖暖區,421 ,結球白菜,0.01,0.01,9800.0,98.0
108,全年,基隆市,暖暖區,421 ,結球白菜,0.01,0.01,9800.0,98.0
108,裡作,基隆市,暖暖區,422 ,不結球白菜,0.07,0.07,9800.0,686.0
108,一期作,基隆市,暖暖區,422 ,不結球白菜,0.02,0.02,9800.0,196.0
108,二期作,基隆市,暖暖區,422 ,不結球白菜,0.02,0.02,10200.0,204.0
108,全年,基隆市,暖暖區,422 ,不結球白菜,0.11000000000000001,0.11000000000000001,9873.0,1086.0
