日期,pineapple_平均價,pineapple_交易量,甜蜜蜜_平均價,watermelon_平均價,pineapple_前日平均價,pineapple_5日平均價
2011-01-01,16.9,13981,12.7,12.0,16.9,17.9
2011-01-02,18.0,24488,,12.0,16.9,17.9
2011-01-03,18.0,24488,,12.0,18.0,17.9
2011-01-04,17.4,20745,,12.0,18.0,17.9
2011-01-05,19.3,2118,,12.0,17.4,17.9
2011-01-06,16.8,1397,,9.9,19.3,17.9
2011-01-07,18.4,5394,,12.0,16.8,18.0
2011-01-08,17.9,3295,,,18.4,18.0
2011-01-09,17.4,4020,,12.0,17.9,18.0
2011-01-10,17.4,4020,,12.0,17.4,17.6
2011-01-11,16.4,9562,,12.0,17.4,17.5
2011-01-12,19.7,2054,,12.0,16.4,17.8
2011-01-13,19.8,717,,,19.7,18.1
2011-01-14,17.5,8233,,12.0,19.8,18.2
2011-01-15,19.6,14483,,11.1,17.5,18.6
2011-01-16,17.3,26408,,,19.6,18.8
2011-01-17,17.3,26408,,,17.3,18.3
2011-01-18,17.5,27479,,8.0,17.3,17.8
2011-01-19,16.4,9647,,,17.5,17.6
2011-01-20,20.1,2001,,,16.4,17.7
2011-01-21,17.0,5102,,,20.1,17.7
2011-01-22,17.8,4505,,10.0,17.0,17.8
2011-01-23,17.8,1915,,12.0,17.8,17.8
2011-01-24,17.8,1915,,12.0,17.8,18.1
2011-01-25,16.4,11654,,12.0,17.8,17.4
2011-01-26,16.3,13425,,,16.4,17.2
2011-01-27,17.4,11861,,12.0,16.3,17.1
2011-01-28,17.9,14198,,12.0,17.4,17.2
2011-01-29,18.9,20585,,11.6,17.9,17.4
2011-01-30,18.0,24928,,12.0,18.9,17.7
2011-01-31,17.8,37535,,12.0,18.0,18.0
2011-02-01,18.3,11333,,,17.8,18.2
2011-02-02,23.3,1857,,,18.3,19.3
2011-02-03,23.3,1857,,,23.3,20.1
2011-02-04,23.3,1857,,,23.3,21.2
2011-02-05,23.3,1857,,,23.3,22.3
2011-02-06,23.3,1857,,,23.3,23.3
2011-02-07,23.3,1857,,,23.3,23.3
2011-02-08,18.1,39237,,10.8,23.3,22.3
2011-02-09,16.3,29719,,12.0,18.1,20.9
2011-02-10,17.1,31081,,,16.3,19.6
2011-02-11,15.8,8667,,10.0,17.1,18.1
2011-02-12,13.6,8552,,,15.8,16.2
2011-02-13,16.9,6213,,10.0,13.6,15.9
2011-02-14,16.9,6213,,10.0,16.9,16.1
2011-02-15,16.4,36486,,12.0,16.9,15.9
2011-02-16,17.1,38987,,12.0,16.4,16.2
2011-02-17,18.7,13286,,12.0,17.1,17.2
2011-02-18,18.7,13286,,12.0,18.7,17.6
2011-02-19,18.7,13286,,12.0,18.7,17.9
2011-02-20,15.8,8088,,,18.7,17.8
2011-02-21,15.8,8088,,,15.8,17.5
2011-02-22,15.3,31971,,11.8,15.8,16.9
2011-02-23,16.4,19707,,,15.3,16.4
2011-02-24,16.1,13565,,10.0,16.4,15.9
2011-02-25,15.1,14203,,12.0,16.1,15.7
2011-02-26,15.4,11789,,11.0,15.1,15.7
2011-02-27,16.5,12903,,,15.4,15.9
2011-02-28,16.5,12903,,,16.5,15.9
2011-03-01,15.9,40921,,12.0,16.5,15.9
2011-03-02,15.5,31074,,10.0,15.9,16.0
2011-03-03,15.5,47875,,10.3,15.5,16.0
2011-03-04,17.9,56647,,12.0,15.5,16.3
2011-03-05,16.9,42438,,10.4,17.9,16.3
2011-03-06,17.7,19233,,12.0,16.9,16.7
2011-03-07,17.7,19233,,12.0,17.7,17.1
2011-03-08,17.3,32586,,12.0,17.7,17.5
2011-03-09,16.5,21678,,10.8,17.3,17.2
2011-03-10,17.2,24682,,12.0,16.5,17.3
2011-03-11,15.5,25446,,12.0,17.2,16.8
2011-03-12,14.9,28455,,11.4,15.5,16.3
2011-03-13,15.0,20750,,12.0,14.9,15.8
2011-03-14,15.0,20750,,12.0,15.0,15.5
2011-03-15,14.7,39303,,12.0,15.0,15.0
2011-03-16,14.8,36648,,,14.7,14.9
2011-03-17,15.5,53518,,12.0,14.8,15.0
2011-03-18,16.3,67734,,12.0,15.5,15.3
2011-03-19,16.3,54515,,12.0,16.3,15.5
2011-03-20,15.0,25682,,12.0,16.3,15.6
2011-03-21,15.0,25682,,12.0,15.0,15.6
2011-03-22,14.7,51000,,9.6,15.0,15.5
2011-03-23,14.2,49835,,6.0,14.7,15.0
2011-03-24,13.9,33670,,12.0,14.2,14.6
2011-03-25,13.9,30927,,6.0,13.9,14.3
2011-03-26,14.6,35301,,,13.9,14.3
2011-03-27,14.0,21720,,,14.6,14.1
2011-03-28,14.0,21720,,,14.0,14.1
2011-03-29,14.7,21138,,,14.0,14.2
2011-03-30,14.5,27985,,,14.7,14.4
2011-03-31,14.3,49803,,6.5,14.5,14.3
2011-04-01,15.2,56961,,,14.3,14.5
2011-04-02,16.1,67823,,12.0,15.2,15.0
2011-04-03,15.2,56140,,10.0,16.1,15.1
2011-04-04,15.3,30037,,,15.2,15.2
2011-04-05,15.3,30037,,,15.3,15.4
2011-04-06,15.3,30037,,,15.3,15.4
2011-04-07,15.0,63546,,12.0,15.3,15.2
2011-04-08,15.0,58709,,11.7,15.0,15.2
2011-04-09,14.7,56018,,11.3,15.0,15.1
2011-04-10,14.5,50167,,10.9,14.7,14.9
2011-04-11,14.5,50167,,10.9,14.5,14.7
2011-04-12,13.9,72696,,10.0,14.5,14.5
2011-04-13,13.8,51558,,11.0,13.9,14.3
2011-04-14,13.7,57432,,10.0,13.8,14.1
2011-04-15,14.4,80651,,10.0,13.7,14.1
2011-04-16,14.7,97583,,10.0,14.4,14.1
2011-04-17,14.8,64000,,10.0,14.7,14.3
2011-04-18,14.8,64000,,10.0,14.8,14.5
2011-04-19,14.2,62078,,10.0,14.8,14.6
2011-04-20,13.4,55699,,10.0,14.2,14.4
2011-04-21,13.9,55740,11.9,10.0,13.4,14.2
2011-04-22,13.4,51247,,9.9,13.9,13.9
2011-04-23,14.0,62230,,10.0,13.4,13.8
2011-04-24,13.9,58299,,9.9,14.0,13.7
2011-04-25,13.9,58299,,9.9,13.9,13.8
2011-04-26,14.0,71682,,10.0,13.9,13.8
2011-04-27,13.7,59132,,9.4,14.0,13.9
2011-04-28,14.1,59863,,9.9,13.7,13.9
2011-04-29,15.0,63702,,10.0,14.1,14.1
2011-04-30,16.7,83803,,9.9,15.0,14.7
2011-05-01,16.3,99174,,9.9,16.7,15.2
2011-05-02,16.3,99174,,9.9,16.3,15.7
2011-05-03,15.9,116608,,9.9,16.3,16.0
2011-05-04,15.3,74559,,9.5,15.9,16.1
2011-05-05,14.7,55420,,9.4,15.3,15.7
2011-05-06,14.2,70156,,10.0,14.7,15.3
2011-05-07,15.3,77540,,9.7,14.2,15.1
2011-05-08,14.7,76952,,9.8,15.3,14.8
2011-05-09,14.7,76952,,9.8,14.7,14.7
