ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
12,1010.1 ,1011.2 ,1011.5 ,2019-05-12 09:41 ,1008.4 ,2019-05-12 16:14 ,27.7 ,30.6 ,2019-05-12 13:10 ,24.8 ,2019-05-12 04:38 ,23.6 ,78 ,68 ,2019-05-12 09:10 ,1.5 ,70 ,7.2 ,40 ,2019-05-12 12:04 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,9.6 ,73.1 ,24.73 ,30.0 ,5.5 ,12 ,2019-05-12 13:00 ,3.9 
13,1008.9 ,1010.0 ,1010.5 ,2019-05-13 07:29 ,1007.3 ,2019-05-13 16:38 ,27.5 ,31.3 ,2019-05-13 12:12 ,25.3 ,2019-05-13 05:38 ,24.0 ,82 ,65 ,2019-05-13 08:47 ,1.1 ,120 ,4.3 ,130 ,2019-05-13 10:06 ,1.1 ,2.6 ,0.5 ,2019-05-13 15:21 ,1.0 ,2019-05-13 14:57 ,5.3 ,40.3 ,18.81 ,25.9 ,-3.2 ,13 ,2019-05-13 12:00 ,6.2 
14,1007.8 ,1008.9 ,1009.9 ,2019-05-14 21:41 ,1006.2 ,2019-05-14 14:11 ,28.5 ,31.5 ,2019-05-14 12:53 ,25.1 ,2019-05-14 05:14 ,24.1 ,78 ,60 ,2019-05-14 08:42 ,1.7 ,40 ,9.9 ,10 ,2019-05-14 18:43 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,10.5 ,79.8 ,26.64 ,21.3 ,6.1 ,13 ,2019-05-14 12:00 ,3.2 
15,1008.5 ,1009.6 ,1010.6 ,2019-05-15 09:32 ,1007.0 ,2019-05-15 17:53 ,27.9 ,30.9 ,2019-05-15 09:01 ,26.4 ,2019-05-15 23:33 ,24.7 ,83 ,73 ,2019-05-15 07:46 ,0.8 ,360 ,4.3 ,110 ,2019-05-15 09:04 ,9.0 ,1.9 ,5.5 ,2019-05-15 12:05 ,8.5 ,2019-05-15 11:18 ,2.9 ,22.0 ,12.00 ,15.1 ,-3.5 ,7 ,2019-05-15 10:00 ,7.4 
16,1005.3 ,1006.4 ,1007.3 ,2019-05-16 00:01 ,1003.5 ,2019-05-16 16:04 ,28.2 ,31.6 ,2019-05-16 11:15 ,25.7 ,2019-05-16 04:14 ,24.8 ,82 ,67 ,2019-05-16 08:39 ,0.9 ,320 ,4.5 ,100 ,2019-05-16 10:24 ,0.4 ,1.1 ,0.2 ,2019-05-16 14:45 ,0.3 ,2019-05-16 14:42 ,5.0 ,37.9 ,17.60 ,20.5 ,-3.3 ,12 ,2019-05-16 11:00 ,7.6 
17,1003.6 ,1004.7 ,1006.2 ,2019-05-17 08:05 ,1001.3 ,2019-05-17 15:56 ,28.7 ,31.3 ,2019-05-17 10:53 ,26.6 ,2019-05-17 04:28 ,25.3 ,82 ,72 ,2019-05-17 10:41 ,1.2 ,130 ,6.0 ,50 ,2019-05-17 16:57 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,7.1 ,53.7 ,18.43 ,18.6 ,-3.9 ,12 ,2019-05-17 12:00 ,7.7 
18,1004.4 ,1005.5 ,1006.3 ,2019-05-18 21:57 ,1002.0 ,2019-05-18 02:43 ,26.8 ,29.3 ,2019-05-18 09:06 ,25.6 ,2019-05-18 23:39 ,24.0 ,85 ,75 ,2019-05-18 09:06 ,0.7 ,310 ,5.3 ,350 ,2019-05-18 12:39 ,3.7 ,5.9 ,0.5 ,2019-05-18 10:28 ,1.0 ,2019-05-18 11:37 ,0.1 ,0.8 ,3.78 ,15.8 ,-0.5 ,3 ,2019-05-18 10:00 ,9.8 
19,1005.7 ,1006.8 ,1007.3 ,2019-05-19 22:25 ,1003.5 ,2019-05-19 02:47 ,28.3 ,31.7 ,2019-05-19 12:41 ,25.0 ,2019-05-19 04:54 ,23.8 ,77 ,63 ,2019-05-19 10:09 ,1.1 ,120 ,4.5 ,110 ,2019-05-19 10:46 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,8.7 ,65.7 ,22.60 ,23.1 ,5.5 ,14 ,2019-05-19 12:00 ,5.8 
20,1006.2 ,1007.3 ,1009.5 ,2019-05-20 22:00 ,1004.1 ,2019-05-20 04:46 ,27.1 ,31.9 ,2019-05-20 11:15 ,23.7 ,2019-05-20 23:10 ,23.5 ,81 ,62 ,2019-05-20 11:55 ,1.5 ,300 ,9.5 ,20 ,2019-05-20 14:48 ,30.7 ,8.5 ,5.0 ,2019-05-20 16:37 ,14.5 ,2019-05-20 15:57 ,5.9 ,44.5 ,14.13 ,19.4 ,-2.5 ,10 ,2019-05-20 12:00 ,8.4 
21,1010.1 ,1011.2 ,1011.8 ,2019-05-21 21:38 ,1008.6 ,2019-05-21 02:26 ,23.5 ,26.3 ,2019-05-21 12:43 ,22.0 ,2019-05-21 14:47 ,18.9 ,75 ,60 ,2019-05-21 12:43 ,1.0 ,330 ,6.1 ,10 ,2019-05-21 12:38 ,1.0 ,2.3 ,0.8 ,2019-05-21 14:26 ,1.0 ,2019-05-21 13:36 ,0.0 ,0.0 ,5.48 ,16.0 ,-2.2 ,5 ,2019-05-21 12:00 ,10.0 
