ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
01,1003.7 ,1013.5 ,1005.4 ,2015-10-01 07:39 ,1002.0 ,2015-10-01 15:46 ,28.6 ,32.9 ,2015-10-01 11:54 ,25.1 ,2015-10-01 05:59 ,24.1 ,77 ,63 ,2015-10-01 12:02 ,1.0 ,230 ,7.0 ,230 ,2015-10-01 13:56 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,7.0 ,59.2 ,15.95 ,11.0 ,4.6 ,6 ,2015-10-01 11:00 ,3.1 
02,1002.7 ,1012.4 ,1004.2 ,2015-10-02 23:32 ,1000.9 ,2015-10-02 15:29 ,28.2 ,31.8 ,2015-10-02 13:24 ,25.6 ,2015-10-02 23:45 ,23.2 ,75 ,63 ,2015-10-02 13:20 ,1.6 ,320 ,5.8 ,310 ,2015-10-02 10:14 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,9.6 ,81.3 ,18.65 ,13.8 ,3.7 ,8 ,2015-10-02 12:00 ,2.3 
03,1005.2 ,1015.0 ,1008.1 ,2015-10-03 21:41 ,1003.2 ,2015-10-03 13:44 ,28.7 ,33.5 ,2015-10-03 13:48 ,25.4 ,2015-10-03 02:02 ,23.8 ,75 ,60 ,2015-10-03 15:49 ,1.3 ,230 ,6.2 ,240 ,2015-10-03 15:17 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,9.7 ,82.3 ,18.01 ,10.0 ,4.4 ,7 ,2015-10-03 13:00 ,2.6 
04,1007.5 ,1017.3 ,1008.5 ,2015-10-04 09:42 ,1005.5 ,2015-10-04 15:03 ,28.6 ,33.3 ,2015-10-04 11:58 ,25.0 ,2015-10-04 06:10 ,23.8 ,76 ,62 ,2015-10-04 11:10 ,1.1 ,180 ,6.2 ,230 ,2015-10-04 12:34 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,8.0 ,68.0 ,15.67 ,9.8 ,2.8 ,6 ,2015-10-04 12:00 ,3.6 
05,1006.6 ,1016.3 ,1008.2 ,2015-10-05 06:56 ,1004.4 ,2015-10-05 14:13 ,28.5 ,32.7 ,2015-10-05 11:36 ,25.8 ,2015-10-05 05:52 ,23.6 ,75 ,62 ,2015-10-05 11:32 ,1.1 ,340 ,6.2 ,320 ,2015-10-05 15:25 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,5.2 ,44.3 ,13.10 ,11.4 ,3.5 ,5 ,2015-10-05 12:00 ,6.4 
06,1004.4 ,1014.2 ,1006.4 ,2015-10-06 00:02 ,1002.3 ,2015-10-06 15:14 ,28.2 ,31.8 ,2015-10-06 13:27 ,25.8 ,2015-10-06 05:09 ,23.6 ,76 ,66 ,2015-10-06 17:23 ,1.0 ,150 ,5.7 ,250 ,2015-10-06 14:35 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,1.7 ,14.5 ,11.25 ,9.5 ,3.5 ,4 ,2015-10-06 11:00 ,7.1 
07,1002.6 ,1012.3 ,1004.5 ,2015-10-07 09:26 ,1000.7 ,2015-10-07 14:36 ,27.7 ,32.2 ,2015-10-07 13:14 ,25.3 ,2015-10-07 04:02 ,22.3 ,73 ,58 ,2015-10-07 13:50 ,1.0 ,340 ,7.1 ,210 ,2015-10-07 12:44 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,4.4 ,37.6 ,14.03 ,9.0 ,3.4 ,7 ,2015-10-07 13:00 ,6.8 
08,1000.6 ,1010.4 ,1002.2 ,2015-10-08 00:01 ,999.0 ,2015-10-08 15:16 ,26.8 ,29.0 ,2015-10-08 13:45 ,25.2 ,2015-10-08 06:13 ,22.0 ,75 ,66 ,2015-10-08 13:36 ,1.4 ,190 ,4.9 ,160 ,2015-10-08 13:11 ,0.8 ,0.8 ,0.6 ,2015-10-08 14:42 ,0.8 ,2015-10-08 14:10 ,0.9 ,7.7 ,6.23 ,9.3 ,-1.6 ,2 ,2015-10-08 11:00 ,7.3 
09,999.9 ,1009.7 ,1001.5 ,2015-10-09 22:31 ,998.3 ,2015-10-09 14:24 ,26.1 ,30.6 ,2015-10-09 12:42 ,23.7 ,2015-10-09 06:15 ,21.3 ,75 ,66 ,2015-10-09 13:04 ,1.5 ,10 ,8.4 ,340 ,2015-10-09 14:57 ,10.3 ,3.4 ,3.5 ,2015-10-09 04:02 ,8.0 ,2015-10-09 03:44 ,4.6 ,39.5 ,13.03 ,11.1 ,-4.4 ,6 ,2015-10-09 11:00 ,8.0 
10,1002.1 ,1011.9 ,1004.8 ,2015-10-10 21:41 ,1000.2 ,2015-10-10 01:02 ,25.5 ,29.1 ,2015-10-10 13:11 ,23.1 ,2015-10-10 01:33 ,18.9 ,67 ,55 ,2015-10-10 13:06 ,1.6 ,340 ,9.5 ,340 ,2015-10-10 14:14 ,T ,0.3 ,T ,2015-10-10 07:55 ,T ,2015-10-10 07:55 ,1.6 ,13.8 ,10.14 ,12.1 ,2.5 ,5 ,2015-10-10 13:00 ,8.5 
