banana_平均價,banana_交易量,scarletbanana_平均價,grava_平均價,banana_前日平均價,banana_5日平均價
22.2,15932.0,37.9,35.4,,
23.2,22618.0,38.9,41.4,22.2,
23.2,22618.0,38.9,41.4,23.2,
23.4,24253.0,39.1,35.0,23.2,
23.4,16228.0,39.6,37.3,23.4,23.080000000000002
23.9,11025.0,40.4,33.6,23.4,23.42
23.5,10863.0,36.6,34.1,23.9,23.480000000000004
24.8,10357.0,36.9,35.1,23.5,23.800000000000004
25.6,13455.0,34.8,32.9,24.8,24.240000000000002
25.6,13455.0,34.8,32.9,25.6,24.68
26.2,12286.0,35.6,33.0,25.6,25.139999999999997
25.5,8893.0,32.4,29.0,26.2,25.54
25.0,7414.0,35.0,24.1,25.5,25.58
25.8,9716.0,34.7,34.9,25.0,25.619999999999997
26.1,11790.0,35.3,33.9,25.8,25.72
26.1,16087.0,33.4,33.1,26.1,25.7
26.1,16087.0,33.4,33.1,26.1,25.82
27.8,21489.0,34.2,35.1,26.1,26.380000000000003
27.5,15491.0,35.2,31.3,27.8,26.72
28.1,7436.0,33.3,30.2,27.5,27.119999999999997
29.0,6317.0,30.1,25.7,28.1,27.7
29.8,8946.0,29.2,29.6,29.0,28.440000000000005
29.5,8966.0,28.5,29.1,29.8,28.78
29.5,8966.0,28.5,29.1,29.5,29.18
30.9,11279.0,29.1,33.8,29.5,29.740000000000002
30.4,11207.0,27.0,32.9,30.9,30.020000000000003
31.4,10708.0,25.2,34.7,30.4,30.340000000000003
30.3,10314.0,23.2,31.2,31.4,30.500000000000007
31.9,8092.0,19.1,38.0,30.3,30.980000000000008
30.7,7287.0,17.8,28.3,31.9,30.940000000000005
30.4,9661.0,17.1,47.9,30.7,30.940000000000005
29.7,15777.0,20.6,32.9,30.4,30.6
30.2,11167.0,28.2,36.3,29.7,30.579999999999995
30.2,11167.0,28.2,36.3,30.2,30.23999999999999
30.2,11167.0,28.2,36.3,30.2,30.139999999999993
30.2,11167.0,28.2,36.3,30.2,30.099999999999987
30.2,11167.0,28.2,36.3,30.2,30.19999999999999
30.2,11167.0,28.2,36.3,30.2,30.19999999999999
31.1,22855.0,22.2,47.9,30.2,30.37999999999999
31.0,14374.0,18.4,42.2,31.1,30.539999999999992
30.9,23454.0,14.7,37.7,31.0,30.679999999999996
30.7,8950.0,13.4,37.2,30.9,30.779999999999994
30.8,7247.0,14.9,35.9,30.7,30.9
32.2,9782.0,15.7,38.6,30.8,31.119999999999997
32.2,9782.0,15.7,38.6,32.2,31.360000000000003
31.4,11258.0,19.2,40.4,32.2,31.46
30.8,29472.0,18.0,41.0,31.4,31.480000000000008
30.8,25283.0,19.8,40.3,30.8,31.480000000000008
30.8,25283.0,19.8,40.3,30.8,31.20000000000001
30.8,25283.0,19.8,40.3,30.8,30.920000000000016
28.1,14198.0,16.2,26.7,30.8,30.260000000000012
28.1,14198.0,16.2,26.7,28.1,29.72000000000001
29.1,16914.0,17.4,35.3,28.1,29.380000000000006
30.6,15125.0,17.7,36.4,29.1,29.340000000000003
29.7,13374.0,18.7,35.6,30.6,29.119999999999997
29.2,13386.0,18.5,36.3,29.7,29.339999999999996
28.7,12628.0,20.2,32.7,29.2,29.459999999999997
28.5,17398.0,21.6,34.9,28.7,29.339999999999996
28.5,17398.0,21.6,34.9,28.5,28.919999999999998
28.6,14417.0,21.9,33.9,28.5,28.7
28.5,13769.0,22.0,35.9,28.6,28.560000000000002
28.4,12449.0,21.6,35.7,28.5,28.500000000000007
28.2,28333.0,21.5,41.8,28.4,28.440000000000005
29.1,23034.0,22.5,37.9,28.2,28.560000000000002
29.1,24349.0,24.0,34.5,29.1,28.660000000000004
29.1,24349.0,24.0,34.5,29.1,28.78
28.6,15764.0,26.7,36.6,29.1,28.82
29.0,14690.0,25.1,39.7,28.6,28.98
29.7,10333.0,28.2,41.5,29.0,29.1
27.9,11551.0,28.6,36.8,29.7,28.860000000000003
28.5,13276.0,29.7,34.0,27.9,28.740000000000002
28.9,16210.0,30.6,34.6,28.5,28.800000000000004
28.9,16210.0,30.6,34.6,28.9,28.78000000000001
28.9,18517.0,31.6,38.5,28.9,28.62000000000001
29.4,15957.0,29.7,38.7,28.9,28.92000000000001
32.1,14373.0,32.2,42.7,29.4,29.640000000000008
31.5,28901.0,33.9,40.4,32.1,30.160000000000007
31.2,27865.0,36.2,39.3,31.5,30.620000000000005
31.3,20618.0,35.3,37.3,31.2,31.100000000000005
31.3,20618.0,35.3,37.3,31.3,31.480000000000008
31.7,16518.0,37.0,38.6,31.3,31.400000000000006
31.7,15161.0,33.1,42.6,31.7,31.440000000000005
32.6,15090.0,33.2,38.9,31.7,31.720000000000006
32.2,12046.0,31.2,40.0,32.6,31.9
31.9,15337.0,32.2,39.3,32.2,32.019999999999996
31.9,16197.0,29.5,33.8,31.9,32.06
31.9,16197.0,29.5,33.8,31.9,32.10000000000001
32.0,12423.0,35.4,37.1,31.9,31.980000000000008
31.8,15278.0,33.7,39.1,32.0,31.900000000000013
32.0,15691.0,32.1,38.2,31.8,31.92000000000001
31.6,17115.0,31.5,39.9,32.0,31.860000000000007
32.3,33641.0,31.4,41.0,31.6,31.940000000000005
32.2,25920.0,29.8,41.1,32.3,31.980000000000008
32.6,23897.0,30.2,42.0,32.2,32.14
32.6,23897.0,30.2,42.0,32.6,32.260000000000005
32.6,23897.0,30.2,42.0,32.6,32.46
32.5,20222.0,27.9,40.8,32.6,32.5
31.9,16680.0,23.4,41.0,32.5,32.44
32.2,18705.0,21.5,41.5,31.9,32.36
32.4,18193.0,18.6,40.7,32.2,32.32
32.4,18193.0,18.6,40.7,32.4,32.28
32.6,18773.0,18.0,41.1,32.4,32.3
32.3,16899.0,17.5,39.0,32.6,32.38
32.0,14343.0,17.3,39.9,32.3,32.339999999999996
32.1,18427.0,17.1,41.9,32.0,32.279999999999994
