banana_平均價,banana_交易量,scarletbanana_平均價,grava_平均價,banana_前日平均價,banana_5日平均價
26.9,15779.0,43.4,39.0,ffill,ffill
28.9,17462.0,48.2,47.0,26.9,ffill
28.9,17462.0,48.2,47.0,28.9,ffill
30.7,19405.0,43.6,40.1,28.9,ffill
31.0,22050.0,44.4,40.0,30.7,29.279999999999994
30.2,15062.0,43.5,37.9,31.0,29.93999999999999
30.5,14147.0,39.5,36.3,30.2,30.25999999999999
32.6,13230.0,37.9,36.4,30.5,30.99999999999999
34.4,12150.0,38.0,37.5,32.6,31.73999999999999
34.4,12150.0,38.0,37.5,34.4,32.419999999999995
33.4,15075.0,39.4,32.5,34.4,33.059999999999995
30.9,19032.0,39.1,34.1,33.4,33.14
32.2,11645.0,44.7,34.3,30.9,33.059999999999995
33.0,13357.0,47.9,40.8,32.2,32.779999999999994
32.9,14068.0,42.2,34.6,33.0,32.48
35.5,13265.0,35.4,43.2,32.9,32.89999999999999
35.5,13265.0,35.4,43.2,35.5,33.81999999999999
36.8,18763.0,32.5,41.2,35.5,34.739999999999995
38.7,16498.0,31.2,38.6,36.8,35.879999999999995
38.8,15753.0,29.5,36.3,38.7,37.059999999999995
36.4,12994.0,29.0,38.1,38.8,37.239999999999995
37.3,10639.0,30.8,36.3,36.4,37.6
38.1,10215.0,29.9,33.0,37.3,37.86
38.1,10215.0,29.9,33.0,38.1,37.739999999999995
38.2,13441.0,23.8,32.0,38.1,37.61999999999999
38.5,13874.0,20.6,35.5,38.2,38.03999999999999
35.8,13458.0,18.8,29.0,38.5,37.73999999999999
34.0,11055.0,19.4,29.3,35.8,36.91999999999999
36.7,9725.0,18.8,28.9,34.0,36.63999999999999
37.6,9705.0,22.2,32.6,36.7,36.519999999999996
38.8,9135.0,37.4,47.7,37.6,36.58
39.3,8775.0,37.0,50.5,38.8,37.279999999999994
40.7,11040.0,20.1,65.0,39.3,38.61999999999999
40.7,11040.0,20.1,65.0,40.7,39.419999999999995
40.7,11040.0,20.1,65.0,40.7,40.03999999999999
40.7,11040.0,20.1,65.0,40.7,40.419999999999995
40.7,11040.0,20.1,65.0,40.7,40.69999999999999
40.7,11040.0,20.1,65.0,40.7,40.69999999999999
42.9,16276.0,18.8,62.0,40.7,41.139999999999986
42.0,17313.0,14.1,52.4,42.9,41.39999999999999
42.8,14406.0,12.5,46.2,42.0,41.81999999999999
42.0,15841.0,15.2,43.1,42.8,42.08
41.1,11250.0,21.9,47.6,42.0,42.15999999999999
41.3,8185.0,22.7,46.0,41.1,41.83999999999999
41.3,8185.0,22.7,46.0,41.3,41.69999999999999
40.9,10693.0,21.5,45.4,41.3,41.31999999999999
36.5,21354.0,22.3,41.6,40.9,40.21999999999999
36.9,25305.0,23.5,46.4,36.5,39.379999999999995
36.9,25305.0,23.5,46.4,36.9,38.5
36.9,25305.0,23.5,46.4,36.9,37.620000000000005
34.5,24825.0,20.7,43.8,36.9,36.34
34.5,24825.0,20.7,43.8,34.5,35.940000000000005
35.3,20838.0,18.9,43.5,34.5,35.62
35.1,20430.0,17.1,39.8,35.3,35.26
32.2,19635.0,18.4,43.0,35.1,34.32
32.7,13609.0,19.4,42.2,32.2,33.96
32.4,13530.0,21.6,38.3,32.7,33.540000000000006
32.8,16035.0,25.0,40.1,32.4,33.04
32.8,16035.0,25.0,40.1,32.8,32.58
32.6,17003.0,27.5,36.2,32.8,32.660000000000004
31.7,16489.0,27.2,40.5,32.6,32.46
31.7,14023.0,28.0,42.1,31.7,32.32
32.2,18430.0,27.1,41.2,31.7,32.2
34.0,23713.0,27.3,37.9,32.2,32.44
35.9,21345.0,31.9,39.5,34.0,33.1
35.9,21345.0,31.9,39.5,35.9,33.940000000000005
