banana_平均價,banana_交易量,scarletbanana_平均價,grava_平均價,banana_前日平均價,banana_5日平均價
31.4,9645.0,45.0,36.5,31.4,32.2
32.0,12230.0,47.5,50.0,31.4,32.2
32.0,12230.0,47.5,50.0,32.0,32.2
32.4,11976.0,47.5,42.5,32.0,32.2
33.2,7520.0,45.8,34.8,32.4,32.2
34.7,8160.0,43.1,34.1,33.2,32.86
35.5,7152.0,41.2,35.4,34.7,33.559999999999995
36.2,5850.0,44.4,34.6,35.5,34.4
35.4,8235.0,46.0,34.9,36.2,35.0
35.4,8235.0,46.0,34.9,35.4,35.44
35.4,7320.0,42.7,32.2,35.4,35.58
35.7,5730.0,39.7,32.4,35.4,35.61999999999999
38.2,4419.0,50.1,29.3,35.7,36.019999999999996
37.0,7477.0,47.9,33.4,38.2,36.33999999999999
37.8,7689.0,45.8,33.5,37.0,36.819999999999986
38.0,7638.0,42.3,45.7,37.8,37.33999999999999
38.0,7638.0,42.3,45.7,38.0,37.79999999999999
39.1,11571.0,41.8,35.0,38.0,37.97999999999998
40.4,6440.0,36.3,29.7,39.1,38.65999999999998
41.8,4545.0,31.1,42.5,40.4,39.45999999999998
43.9,4062.0,31.1,33.0,41.8,40.63999999999998
43.3,5090.0,39.5,36.0,43.9,41.699999999999974
42.4,5357.0,36.1,35.4,43.3,42.35999999999998
42.4,5357.0,36.1,35.4,42.4,42.75999999999998
41.0,6635.0,30.5,32.2,42.4,42.59999999999998
41.5,5460.0,31.7,28.7,41.0,42.119999999999976
41.3,5050.0,27.2,29.5,41.5,41.71999999999997
41.2,4863.0,23.2,35.7,41.3,41.47999999999997
41.3,6214.0,22.8,31.5,41.2,41.25999999999996
42.9,4635.0,24.6,37.5,41.3,41.639999999999965
44.0,3705.0,29.6,48.7,42.9,42.139999999999965
42.9,5250.0,30.0,38.4,44.0,42.459999999999965
44.0,3945.0,30.1,36.3,42.9,43.01999999999997
44.0,3945.0,30.1,36.3,44.0,43.55999999999997
44.0,3945.0,30.1,36.3,44.0,43.779999999999966
44.0,3945.0,30.1,36.3,44.0,43.77999999999997
44.0,3945.0,30.1,36.3,44.0,43.99999999999997
44.0,3945.0,30.1,36.3,44.0,43.99999999999998
45.2,7155.0,18.3,54.7,44.0,44.239999999999974
45.4,6480.0,16.8,46.9,45.2,44.51999999999997
46.8,7971.0,17.8,45.0,45.4,45.07999999999997
47.3,6720.0,19.6,40.1,46.8,45.739999999999974
46.8,5775.0,23.1,36.1,47.3,46.299999999999976
45.7,6885.0,21.6,38.2,46.8,46.39999999999998
45.7,6885.0,21.6,38.2,45.7,46.45999999999997
45.7,6750.0,23.7,40.7,45.7,46.239999999999974
44.4,12314.0,22.3,44.9,45.7,45.65999999999997
44.0,11451.0,25.7,45.2,44.4,45.099999999999966
44.0,11451.0,25.7,45.2,44.0,44.75999999999997
44.0,11451.0,25.7,45.2,44.0,44.41999999999997
43.5,12753.0,18.0,40.3,44.0,43.979999999999976
43.5,12753.0,18.0,40.3,43.5,43.79999999999997
40.3,12785.0,21.5,44.7,43.5,43.05999999999997
38.7,10998.0,20.1,38.2,40.3,41.999999999999964
39.6,8100.0,22.4,34.4,38.7,41.11999999999996
38.4,8181.0,23.0,37.5,39.6,40.099999999999966
37.3,9960.0,25.7,36.0,38.4,38.85999999999997
37.2,10864.0,25.6,38.6,37.3,38.23999999999997
37.2,10864.0,25.6,38.6,37.2,37.93999999999996
36.4,9795.0,27.7,43.3,37.2,37.29999999999997
35.2,8931.0,25.8,39.4,36.4,36.65999999999996
37.9,5573.0,28.7,42.0,35.2,36.77999999999996
38.1,13054.0,31.5,42.4,37.9,36.95999999999996
40.2,8291.0,33.2,46.5,38.1,37.55999999999996
40.5,10758.0,34.5,45.5,40.2,38.37999999999995
40.5,10758.0,34.5,45.5,40.5,39.439999999999955
41.1,7380.0,35.8,45.0,40.5,40.07999999999995
40.0,8049.0,35.4,40.0,41.1,40.45999999999995
40.5,5984.0,35.2,37.1,40.0,40.519999999999946
38.2,8319.0,35.5,33.8,40.5,40.059999999999945
38.1,7054.0,37.1,35.0,38.2,39.57999999999994
38.7,9506.0,43.8,41.3,38.1,39.09999999999995
38.7,9506.0,43.8,41.3,38.7,38.839999999999954
40.4,9265.0,43.9,35.9,38.7,38.81999999999995
39.4,7251.0,42.4,38.6,40.4,39.05999999999996
40.5,7435.0,45.3,35.7,39.4,39.53999999999996
44.2,11919.0,49.7,42.4,40.5,40.639999999999965
44.8,9595.0,53.2,40.6,44.2,41.85999999999997
45.2,8544.0,50.4,46.8,44.8,42.819999999999965
45.2,8544.0,50.4,46.8,45.2,43.97999999999997
44.7,8712.0,45.4,40.3,45.2,44.81999999999997
44.9,8724.0,41.9,43.7,44.7,44.959999999999965
43.4,6987.0,37.7,46.2,44.9,44.679999999999964
43.1,8982.0,39.6,42.1,43.4,44.25999999999997
44.0,9345.0,40.3,38.6,43.1,44.01999999999997
42.9,10422.0,36.9,38.1,44.0,43.65999999999997
