日期,市場,產品,上價,中價,下價,平均價(元/公斤),平均價_跟前一交易日比較%,交易量(公斤),交易量_跟前一交易日比較%
110/01/01,104 台北二  ,A1 香蕉  ,24.4,21.3,15.9,20.8, +  5,"9,120", + 15
110/01/02,104 台北二  ,A1 香蕉  ,24.4,20.8,14.4,20.3, -  2,"8,460", -  7
110/01/03,104 台北二  ,A1 香蕉  ,26.3,24.3,18.8,23.6, + 16,"6,690", - 21
110/01/05,104 台北二  ,A1 香蕉  ,26.8,19.2,11.0,19.1, - 19,"11,279", + 69
110/01/06,104 台北二  ,A1 香蕉  ,27.3,23.3,16.0,22.6, + 18,"7,369", - 35
110/01/07,104 台北二  ,A1 香蕉  ,27.6,23.5,15.8,22.8, +  1,"7,260", -  1
110/01/08,104 台北二  ,A1 香蕉  ,28.6,25.4,20.2,25.0, + 10,"6,270", - 14
110/01/09,104 台北二  ,A1 香蕉  ,27.0,24.8,18.9,24.1, -  4,"7,444", + 19
110/01/10,104 台北二  ,A1 香蕉  ,27.7,25.3,22.4,25.2, +  5,"7,020", -  6
110/01/12,104 台北二  ,A1 香蕉  ,29.9,21.5,15.8,22.0, - 13,"19,986", +185
110/01/13,104 台北二  ,A1 香蕉  ,34.5,24.8,18.6,25.5, + 16,"14,705", - 26
110/01/15,104 台北二  ,A1 香蕉  ,35.0,27.3,18.1,27.0, +  6,"9,000", - 39
110/01/16,104 台北二  ,A1 香蕉  ,32.4,26.3,15.5,25.3, -  6,"9,780", +  9
110/01/17,104 台北二  ,A1 香蕉  ,32.8,26.6,19.7,26.5, +  5,"7,590", - 22
110/01/19,104 台北二  ,A1 香蕉  ,32.0,25.0,14.7,24.3, -  8,"9,600", + 26
110/01/20,104 台北二  ,A1 香蕉  ,31.9,25.0,15.8,24.5, +  1,"8,607", - 10
110/01/21,104 台北二  ,A1 香蕉  ,29.7,19.5,11.3,19.9, - 19,"11,864", + 38
110/01/22,104 台北二  ,A1 香蕉  ,30.0,21.2,11.8,21.1, +  6,"8,135", - 31
110/01/23,104 台北二  ,A1 香蕉  ,32.3,22.4,14.1,22.7, +  8,"9,630", + 18
110/01/24,104 台北二  ,A1 香蕉  ,30.3,22.6,13.9,22.4, -  1,"8,580", - 11
110/01/26,104 台北二  ,A1 香蕉  ,30.7,23.2,14.5,23.0, +  3,"14,549", + 70
110/01/27,104 台北二  ,A1 香蕉  ,32.8,23.0,13.1,23.0,    0,"10,425", - 28
110/01/28,104 台北二  ,A1 香蕉  ,29.8,24.0,15.0,23.4, +  2,"8,490", - 19
110/01/29,104 台北二  ,A1 香蕉  ,32.0,22.2,14.2,22.6, -  3,"7,260", - 14
110/01/30,104 台北二  ,A1 香蕉  ,29.7,22.9,11.9,22.1, -  2,"7,545", +  4
110/01/31,104 台北二  ,A1 香蕉  ,30.5,24.2,17.2,24.0, +  9,"7,938", +  5
110/02/02,104 台北二  ,A1 香蕉  ,33.6,27.5,21.8,27.6, + 15,"6,800", - 14
110/02/03,104 台北二  ,A1 香蕉  ,32.1,29.5,26.3,29.4, +  7,"5,626", - 17
110/02/04,104 台北二  ,A1 香蕉  ,39.5,31.4,14.4,29.6, +  1,"7,065", + 26
110/02/06,104 台北二  ,A1 香蕉  ,38.0,26.9,12.8,26.3, - 11,"10,564", + 50
110/02/07,104 台北二  ,A1 香蕉  ,34.4,26.5,16.2,26.0, -  1,"8,055", - 24
110/02/08,104 台北二  ,A1 香蕉  ,33.7,21.4,14.2,22.5, - 13,"7,800", -  3
110/02/09,104 台北二  ,A1 香蕉  ,32.5,20.8,12.2,21.4, -  5,"7,615", -  2
110/02/10,104 台北二  ,A1 香蕉  ,39.2,26.4,12.1,26.1, + 22,"5,760", - 24
110/02/11,104 台北二  ,A1 香蕉  ,36.2,28.3,19.8,28.2, +  8,"5,370", -  7
110/02/17,104 台北二  ,A1 香蕉  ,53.3,31.2,24.0,34.2, + 21,"6,660", + 24
110/02/18,104 台北二  ,A1 香蕉  ,47.9,31.4,21.8,32.8, -  4,"6,885", +  3
110/02/19,104 台北二  ,A1 香蕉  ,46.9,30.4,23.4,32.3, -  2,"13,053", + 90
110/02/21,104 台北二  ,A1 香蕉  ,48.4,33.5,26.0,35.0, +  8,"8,400", - 36
110/02/23,104 台北二  ,A1 香蕉  ,48.5,32.4,27.8,34.7, -  1,"10,303", + 23
110/02/24,104 台北二  ,A1 香蕉  ,44.9,30.2,23.4,31.8, -  8,"11,010", +  7
110/02/25,104 台北二  ,A1 香蕉  ,42.2,24.5,15.1,26.2, - 18,"15,514", + 41
110/02/26,104 台北二  ,A1 香蕉  ,46.4,31.3,23.7,32.8, + 25,"9,197", - 41
110/02/27,104 台北二  ,A1 香蕉  ,44.5,31.0,20.5,31.6, -  4,"8,595", -  7
110/03/02,104 台北二  ,A1 香蕉  ,45.0,28.0,12.4,28.3, - 10,"8,084", -  6
110/03/03,104 台北二  ,A1 香蕉  ,37.7,30.3,27.7,31.2, + 10,"7,050", - 13
110/03/04,104 台北二  ,A1 香蕉  ,35.9,30.2,22.0,29.7, -  5,"7,110", +  1
110/03/05,104 台北二  ,A1 香蕉  ,40.9,31.5,23.6,31.8, +  7,"5,385", - 24
110/03/06,104 台北二  ,A1 香蕉  ,36.2,27.5,19.9,27.7, - 13,"9,648", + 79
110/03/07,104 台北二  ,A1 香蕉  ,35.6,25.7,15.9,25.7, -  7,"8,303", - 14
110/03/09,104 台北二  ,A1 香蕉  ,37.0,25.8,16.2,26.2, +  2,"11,490", + 38
110/03/10,104 台北二  ,A1 香蕉  ,36.3,29.4,24.3,29.8, + 14,"8,985", - 22
110/03/11,104 台北二  ,A1 香蕉  ,37.0,29.8,27.3,30.8, +  3,"8,610", -  4
110/03/12,104 台北二  ,A1 香蕉  ,38.0,27.7,17.8,27.8, - 10,"12,510", + 45
110/03/13,104 台北二  ,A1 香蕉  ,35.1,25.3,16.1,25.4, -  9,"11,490", -  8
110/03/14,104 台北二  ,A1 香蕉  ,33.7,29.4,20.3,28.4, + 12,"8,775", - 24
110/03/16,104 台北二  ,A1 香蕉  ,38.1,28.7,21.7,29.2, +  3,"11,038", + 26
110/03/17,104 台北二  ,A1 香蕉  ,35.2,24.5,16.1,25.0, - 14,"10,606", -  4
110/03/18,104 台北二  ,A1 香蕉  ,33.7,21.8,14.9,22.8, -  9,"11,768", + 11
110/03/19,104 台北二  ,A1 香蕉  ,32.8,22.1,14.5,22.7, -  0,"11,307", -  4
110/03/20,104 台北二  ,A1 香蕉  ,32.0,25.2,14.5,24.4, +  7,"11,565", +  2
110/03/21,104 台北二  ,A1 香蕉  ,34.7,26.6,17.2,26.3, +  8,"10,560", -  9
110/03/24,104 台北二  ,A1 香蕉  ,34.4,27.8,15.5,26.7, +  2,"12,315", + 17
110/03/25,104 台北二  ,A1 香蕉  ,33.6,27.7,21.4,27.6, +  3,"11,332", -  8
110/03/26,104 台北二  ,A1 香蕉  ,34.4,26.2,15.4,25.7, -  7,"13,905", + 23
110/03/27,104 台北二  ,A1 香蕉  ,34.0,23.3,15.2,23.8, -  7,"13,225", -  5
110/03/28,104 台北二  ,A1 香蕉  ,34.9,28.2,22.2,28.4, + 19,"9,075", - 31
110/03/30,104 台北二  ,A1 香蕉  ,34.0,27.7,24.4,28.3, -  0,"11,238", + 24
110/03/31,104 台北二  ,A1 香蕉  ,28.4,19.0,12.7,19.6, - 31,"12,060", +  7
110/04/01,104 台北二  ,A1 香蕉  ,29.4,21.9,13.2,21.7, + 11,"11,250", -  7
110/04/02,104 台北二  ,A1 香蕉  ,30.2,20.5,13.3,21.0, -  3,"12,096", +  8
110/04/03,104 台北二  ,A1 香蕉  ,30.3,19.5,11.9,20.2, -  4,"15,323", + 27
110/04/06,104 台北二  ,A1 香蕉  ,28.4,20.7,12.4,20.6, +  2,"14,955", -  2
110/04/07,104 台北二  ,A1 香蕉  ,27.3,20.5,12.5,20.3, -  1,"9,390", - 37
110/04/08,104 台北二  ,A1 香蕉  ,30.3,23.0,19.3,23.8, + 17,"7,125", - 24
110/04/09,104 台北二  ,A1 香蕉  ,30.3,24.0,14.0,23.3, -  2,"8,110", + 14
110/04/10,104 台北二  ,A1 香蕉  ,30.4,19.7,12.7,20.5, - 12,"13,380", + 65
110/04/11,104 台北二  ,A1 香蕉  ,33.6,25.3,17.2,25.3, + 23,"11,295", - 16
110/04/13,104 台北二  ,A1 香蕉  ,30.0,20.2,15.3,21.2, - 16,"13,826", + 22
110/04/14,104 台北二  ,A1 香蕉  ,32.1,23.0,16.7,23.5, + 11,"8,745", - 37
110/04/15,104 台北二  ,A1 香蕉  ,30.6,23.0,14.8,22.9, -  3,"7,425", - 15
110/04/16,104 台北二  ,A1 香蕉  ,29.7,19.6,14.0,20.5, - 10,"9,270", + 25
110/04/17,104 台北二  ,A1 香蕉  ,30.4,18.7,12.9,19.9, -  3,"11,805", + 27
110/04/18,104 台北二  ,A1 香蕉  ,30.4,22.0,14.9,22.3, + 12,"8,546", - 28
110/04/20,104 台北二  ,A1 香蕉  ,31.8,22.3,15.8,22.9, +  3,"9,675", + 13
110/04/21,104 台北二  ,A1 香蕉  ,31.9,25.3,18.2,25.2, + 10,"8,430", - 13
110/04/22,104 台北二  ,A1 香蕉  ,34.9,30.0,25.8,30.1, + 19,"5,415", - 36
110/04/23,104 台北二  ,A1 香蕉  ,34.7,27.5,21.5,27.7, -  8,"7,245", + 34
110/04/24,104 台北二  ,A1 香蕉  ,33.4,25.9,19.7,26.2, -  5,"10,934", + 51
110/04/25,104 台北二  ,A1 香蕉  ,44.5,30.8,22.8,31.9, + 22,"9,495", - 13
110/04/27,104 台北二  ,A1 香蕉  ,41.0,29.0,22.8,30.2, -  5,"11,307", + 19
110/04/28,104 台北二  ,A1 香蕉  ,36.8,27.1,23.7,28.4, -  6,"9,386", - 17
110/04/29,104 台北二  ,A1 香蕉  ,34.9,26.8,20.4,27.2, -  4,"5,985", - 36
