日期,市場,產品,上價,中價,下價,平均價(元/公斤),平均價_跟前一交易日比較%,交易量(公斤),交易量_跟前一交易日比較%
100/04/24,104 台北二  ,B6 鳳梨 甜蜜蜜 ,20.0,20.0,16.2,19.2,  -  ,473,  -  
100/04/27,104 台北二  ,B6 鳳梨 甜蜜蜜 ,20.0,19.2,17.5,19.0,  -  ,429,  -  
100/05/05,104 台北二  ,B6 鳳梨 甜蜜蜜 ,22.0,19.9,19.0,20.1,  -  ,249,  -  
100/05/07,104 台北二  ,B6 鳳梨 甜蜜蜜 ,21.3,19.7,16.6,19.4,  -  ,"1,373",  -  
100/05/08,104 台北二  ,B6 鳳梨 甜蜜蜜 ,20.8,17.7,16.2,18.0, -  7,"1,512", + 10
100/05/10,104 台北二  ,B6 鳳梨 甜蜜蜜 ,20.0,19.8,16.4,19.1, +  6,458, - 70
100/05/11,104 台北二  ,B6 鳳梨 甜蜜蜜 ,19.9,17.2,15.2,17.3, -  9,"1,995", +336
100/05/12,104 台北二  ,B6 鳳梨 甜蜜蜜 ,18.3,17.5,16.0,17.4, +  1,813, - 59
100/05/13,104 台北二  ,B6 鳳梨 甜蜜蜜 ,19.0,17.7,15.6,17.5, +  1,828, +  2
100/05/14,104 台北二  ,B6 鳳梨 甜蜜蜜 ,20.9,19.2,17.0,19.1, +  9,655, - 21
100/05/15,104 台北二  ,B6 鳳梨 甜蜜蜜 ,21.6,17.0,14.7,17.5, -  8,"1,760", +169
100/05/17,104 台北二  ,B6 鳳梨 甜蜜蜜 ,18.4,17.3,16.1,17.3, -  1,"1,452", - 18
100/05/18,104 台北二  ,B6 鳳梨 甜蜜蜜 ,24.0,23.0,20.5,22.7, + 31,735, - 49
100/05/19,104 台北二  ,B6 鳳梨 甜蜜蜜 ,22.0,20.3,18.5,20.3, - 11,"1,083", + 47
100/05/20,104 台北二  ,B6 鳳梨 甜蜜蜜 ,22.0,21.8,19.3,21.3, +  5,486, - 55
100/05/21,104 台北二  ,B6 鳳梨 甜蜜蜜 ,25.8,22.5,20.0,22.6, +  6,867, + 78
100/05/22,104 台北二  ,B6 鳳梨 甜蜜蜜 ,23.2,20.7,18.3,20.7, -  8,"1,151", + 33
100/05/24,104 台北二  ,B6 鳳梨 甜蜜蜜 ,23.3,21.6,18.4,21.3, +  3,615, - 47
100/05/25,104 台北二  ,B6 鳳梨 甜蜜蜜 ,20.0,17.3,15.5,17.5, - 18,433, - 30
100/05/26,104 台北二  ,B6 鳳梨 甜蜜蜜 ,18.4,16.6,16.0,16.8, -  4,936, +116
100/05/27,104 台北二  ,B6 鳳梨 甜蜜蜜 ,20.0,16.3,15.0,16.8,    0,370, - 60
100/05/28,104 台北二  ,B6 鳳梨 甜蜜蜜 ,23.5,19.4,16.9,19.7, + 17,581, + 57
100/05/29,104 台北二  ,B6 鳳梨 甜蜜蜜 ,18.0,18.0,18.0,18.0, -  9,183, - 69
100/05/31,104 台北二  ,B6 鳳梨 甜蜜蜜 ,20.0,20.0,20.0,20.0, + 11,151, - 17
100/06/02,104 台北二  ,B6 鳳梨 甜蜜蜜 ,22.0,22.0,22.0,22.0,  -  ,198,  -  
100/06/04,104 台北二  ,B6 鳳梨 甜蜜蜜 ,23.0,18.5,12.5,18.2,  -  ,114,  -  
100/06/05,104 台北二  ,B6 鳳梨 甜蜜蜜 ,21.5,18.4,16.0,18.5, +  2,208, + 82
100/06/09,104 台北二  ,B6 鳳梨 甜蜜蜜 ,31.0,23.3,20.0,24.2,  -  ,208,  -  
100/06/10,104 台北二  ,B6 鳳梨 甜蜜蜜 ,27.0,23.4,22.0,23.9, -  1,665, +220
100/06/11,104 台北二  ,B6 鳳梨 甜蜜蜜 ,27.9,25.2,25.0,25.7, +  8,419, - 37
100/06/12,104 台北二  ,B6 鳳梨 甜蜜蜜 ,25.8,23.9,19.6,23.4, -  9,977, +133
100/06/14,104 台北二  ,B6 鳳梨 甜蜜蜜 ,42.8,34.3,24.9,34.1, + 46,537, - 45
100/06/15,104 台北二  ,B6 鳳梨 甜蜜蜜 ,51.7,47.8,35.7,46.2, + 35,514, -  4
100/06/16,104 台北二  ,B6 鳳梨 甜蜜蜜 ,54.7,46.0,33.0,45.2, -  2,345, - 33
100/06/17,104 台北二  ,B6 鳳梨 甜蜜蜜 ,47.5,37.7,28.0,37.7, - 17,"1,503", +336
100/06/18,104 台北二  ,B6 鳳梨 甜蜜蜜 ,50.7,42.2,29.7,41.4, + 10,910, - 39
100/06/19,104 台北二  ,B6 鳳梨 甜蜜蜜 ,54.2,41.3,32.1,42.0, +  1,"1,220", + 34
100/06/21,104 台北二  ,B6 鳳梨 甜蜜蜜 ,43.8,37.0,25.3,36.0, - 14,"2,825", +132
100/06/22,104 台北二  ,B6 鳳梨 甜蜜蜜 ,45.3,36.4,33.2,37.6, +  4,912, - 68
100/06/23,104 台北二  ,B6 鳳梨 甜蜜蜜 ,49.9,39.3,27.9,39.1, +  4,"1,226", + 34
100/06/24,104 台北二  ,B6 鳳梨 甜蜜蜜 ,45.0,40.3,30.0,39.2, +  0,"1,028", - 16
100/06/25,104 台北二  ,B6 鳳梨 甜蜜蜜 ,40.9,39.1,29.1,37.5, -  4,"4,040", +293
100/06/26,104 台北二  ,B6 鳳梨 甜蜜蜜 ,43.6,34.7,18.6,33.3, - 11,809, - 80
100/06/28,104 台北二  ,B6 鳳梨 甜蜜蜜 ,48.1,38.6,20.8,37.0, + 11,476, - 41
