,日期,市場,產品,上價,中價,下價,平均價(元/公斤),平均價_跟前一交易日比較%,交易量(公斤),交易量_跟前一交易日比較%
0,100/01/01,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,29.4,23,13.2,22.3, -  7,3885,122
1,100/01/02,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,30.1,22.6,12.3,22.1, -  1,5468, + 41
2,100/01/04,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,28.3,21.6,10.1,20.7, -   ,5068, -   
3,100/01/05,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,27.5,16.9,7.4,17.1, - 17,5212, +  3
4,100/01/06,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,31.4,19.7,9,19.9, -  4,620, - 88
5,100/01/07,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,23.6,17.7,11.7,17.7, - 11,702, + 13
6,100/01/08,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,33.6,27.5,17.8,26.8, + 51,1431,104
7,100/01/09,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,24.6,21.2,11.9,20, - 25,2208, + 54
8,100/01/11,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,25,19.5,15.2,19.7, -   ,2751, -   
9,100/01/12,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,21.8,19.2,16.1,19.1, -  3,1159, - 58
10,100/01/13,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,22,21.1,18,20.6, +  8,404, - 65
11,100/01/14,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,25.8,22,15.2,21.4, +  4,2324,475
12,100/01/15,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,24.5,20.2,12.7,19.6, -  8,5850,152
13,100/01/16,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,24.1,17,6.2,16.2, - 17,6327, +  8
14,100/01/18,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,23.7,16.6,8.1,16.3, -   ,5155, -   
15,100/01/19,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,24.9,17.7,11.7,17.9, + 10,2299, - 55
16,100/01/20,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,23.1,20,18.5,20.3, + 13,581, - 75
17,100/01/21,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,22.7,17.5,13.4,17.7, - 13,1473,154
18,100/01/22,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,24.7,18.9,13.7,19, +  7,1701, + 15
19,100/01/23,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,25.1,17.5,12.5,18, -  5,2371, + 39
20,100/01/25,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,21.5,16.1,9,15.8, - 12,4335, + 83
21,100/01/26,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,22.1,15.4,7.8,15.2, -  4,4301, -  1
22,100/01/27,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,21.5,16.5,10.8,16.3, +  7,3697, - 14
23,100/01/28,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,23.4,17.1,9.5,16.8, +  3,4725, + 28
24,100/01/29,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,21.3,16.8,10.4,16.4, -  2,4717, -   
25,100/01/30,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,18.9,15.1,7,14.2, - 13,10324,119
26,100/01/31,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,19.8,16.4,13.2,16.4, + 15,5689, - 45
27,100/02/01,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,39.4,19,8.9,21, + 28,2982, - 48
28,100/02/02,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,50,34.9,15,33.9, + 61,298, - 90
29,100/02/08,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,27.7,19.7,9.1,19.2, - 43,11124,3633
30,100/02/09,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,26.2,16.9,6.6,16.7, - 13,11204, +  1
31,100/02/10,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,27.1,19,7.5,18.3, + 10,9380, - 16
32,100/02/11,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,27,17.5,7.2,17.3, -  5,5025, - 46
33,100/02/12,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,27.3,12.5,4.7,13.9, - 20,4021, - 20
34,100/02/13,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,25.1,16.1,5.1,15.7, + 13,4899, + 22
35,100/02/15,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,24.5,17.8,10.4,17.6, + 12,13531,176
36,100/02/16,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,25.3,17.3,12.8,18, +  2,10371, - 23
37,100/02/17,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,23.9,16.5,11.6,17, -  6,7831, - 24
38,100/02/20,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,23.3,17,10.6,17, -   ,5133, - 34
39,100/02/22,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,20.5,15.6,8.9,15.2, - 11,7063, + 38
40,100/02/23,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,21.8,16.4,10.6,16.3, +  7,6125, - 13
41,100/02/24,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,21.5,16.5,10.6,16.3, -   ,4562, - 26
42,100/02/25,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,21.6,15.5,10.8,15.8, -  3,4483, -  2
43,100/02/26,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,24.1,16.9,11.4,17.3, +  9,4332, -  3
44,100/02/27,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,23.4,17.7,11.3,17.6, +  2,5832, + 35
45,100/03/01,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,25.8,19.3,13,19.3, + 10,7485, + 28
46,100/03/02,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,25.9,20.2,14.6,20.2, +  5,6229, - 17
47,100/03/03,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,25.9,17.6,11.4,18, - 11,14494,133
48,100/03/04,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,27.9,19.9,13.3,20.2, + 12,12168, - 16
49,100/03/05,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,28.7,21.3,15.1,21.6, +  7,11031, -  9
50,100/03/06,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,27.9,23.1,17.8,23, +  6,9975, - 10
51,100/03/08,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,25.1,20,16.3,20.3, - 12,11328, + 14
52,100/03/09,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,25.8,19.2,13.6,19.4, -  4,8604, - 24
53,100/03/10,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,23.9,18.7,13.5,18.7, -  4,8164, -  5
54,100/03/11,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,24.5,17.2,11.9,17.6, -  6,9664, + 18
55,100/03/12,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,25.4,17.9,12.3,18.3, +  4,12589, + 30
56,100/03/13,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,24.5,18,13.7,18.4, +  1,12390, -  2
57,100/03/15,104 台北二  ,B2 鳳梨 金鑽鳳梨 ,25.3,16.8,11.1,17.4, -  5,18985, + 53
