日期,市場,產品,上價,中價,下價,平均價(元/公斤),平均價_跟前一交易日比較%,交易量(公斤),交易量_跟前一交易日比較%
100/05/19,104 台北二  ,T1 西瓜 大西瓜 ,15.0,15.0,15.0,15.0, + 15,36, -100
100/05/20,104 台北二  ,T1 西瓜 大西瓜 ,18.1,11.8,8.0,12.3, - 18,"13,894", +999
100/05/21,104 台北二  ,T1 西瓜 大西瓜 ,18.3,12.2,8.0,12.6, +  2,"9,751", - 30
100/05/22,104 台北二  ,T1 西瓜 大西瓜 ,18.1,13.4,8.0,13.3, +  6,"17,711", + 82
100/05/24,104 台北二  ,T1 西瓜 大西瓜 ,18.0,11.4,8.0,12.0, - 10,"17,744", +  0
100/05/25,104 台北二  ,T1 西瓜 大西瓜 ,18.0,12.9,8.0,13.0, +  8,"23,114", + 30
100/05/26,104 台北二  ,T1 西瓜 大西瓜 ,18.0,12.5,7.9,12.7, -  2,"25,166", +  9
100/05/27,104 台北二  ,T1 西瓜 大西瓜 ,11.7,10.0,7.3,9.8, - 23,"2,951", - 88
100/05/28,104 台北二  ,T1 西瓜 大西瓜 ,18.0,11.5,6.7,11.8, + 20,"27,074", +817
100/05/29,104 台北二  ,T1 西瓜 大西瓜 ,18.0,12.8,7.6,12.8, +  8,"11,890", - 56
100/05/31,104 台北二  ,T1 西瓜 大西瓜 ,18.0,12.5,8.0,12.7, -  1,"28,215", +137
100/06/01,104 台北二  ,T1 西瓜 大西瓜 ,9.1,8.0,6.8,8.0, - 37,"13,331", - 53
100/06/02,104 台北二  ,T1 西瓜 大西瓜 ,8.7,8.0,6.4,7.8, -  3,"1,660", - 88
100/06/03,104 台北二  ,T1 西瓜 大西瓜 ,17.0,11.8,7.0,11.9, + 53,"17,855", +976
100/06/04,104 台北二  ,T1 西瓜 大西瓜 ,17.0,10.3,7.0,11.0, -  8,"13,642", - 24
100/06/05,104 台北二  ,T1 西瓜 大西瓜 ,8.5,5.4,5.0,5.9, - 46,"1,963", - 86
100/06/06,104 台北二  ,T1 西瓜 大西瓜 ,17.7,12.7,6.8,12.5, +112,"29,357", +999
100/06/09,104 台北二  ,T1 西瓜 大西瓜 ,17.0,9.6,6.6,10.4, - 17,"48,193", + 64
