,日期,市場,產品,上價,中價,下價,平均價(元/公斤),平均價_跟前一交易日比較%,交易量(公斤),交易量_跟前一交易日比較%
0,100/01/01,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,54.4,34.7,23.9,36.5, + 18,"1,143", +  9
1,100/01/02,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,64.0,49.6,37.3,50.0, + 37,782, - 32
2,100/01/04,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,56.4,41.9,30.3,42.5, -   ,"1,427", -   
3,100/01/05,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,49.5,34.0,22.4,34.8, - 18,"1,588", + 11
4,100/01/06,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,45.8,32.6,27.1,34.1, - 20,932, - 35
5,100/01/07,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,49.8,33.3,27.4,35.4, +  4,640, - 31
6,100/01/08,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,44.0,34.7,25.1,34.6, -  2,"1,337", +109
7,100/01/09,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,46.8,33.0,28.8,34.9, +  1,866, - 35
8,100/01/11,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,42.1,33.9,17.0,32.2, -   ,"1,176", -   
9,100/01/12,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,51.3,30.4,19.5,32.4, +  1,531, - 55
10,100/01/13,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,40.0,29.9,17.0,29.3, - 10,69, - 87
11,100/01/14,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,46.5,33.5,20.2,33.4, + 14,"1,156",+1575
12,100/01/15,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,44.5,32.6,25.3,33.5, -   ,"2,088", + 81
13,100/01/16,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,61.9,46.6,26.9,45.7, + 36,648, - 69
14,100/01/18,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,45.4,34.9,25.1,35.0, -   ,"1,495", -   
15,100/01/19,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,43.7,28.9,18.3,29.7, - 15,"1,261", - 16
16,100/01/20,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,52.1,43.3,30.6,42.5, + 43,390, - 69
17,100/01/21,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,47.2,31.4,23.8,33.0, - 22,868, +123
18,100/01/22,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,46.4,36.0,25.8,36.0, +  9,578, - 33
19,100/01/23,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,47.3,34.9,24.8,35.4, -  2,680, + 18
20,100/01/25,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,41.3,32.7,21.8,32.2, -  9,"1,180", + 74
21,100/01/26,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,41.0,28.8,16.1,28.7, - 11,"1,840", + 56
22,100/01/27,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,43.2,30.3,13.2,29.5, +  3,769, - 58
23,100/01/28,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,52.3,35.2,20.6,35.7, + 21,936, + 22
24,100/01/29,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,53.4,28.4,19.1,31.5, - 12,"1,052", + 12
25,100/01/30,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,49.4,39.4,20.0,37.5, + 19,785, - 25
26,100/01/31,104 台北二  ,A2 香蕉 芭蕉紅芭蕉 ,66.7,51.3,22.6,48.7, + 30,174, - 78
