日期,平均氣溫(℃),平均相對溼度( %),平均露點溫度(℃),平均風向(°),平均風速(ms),最低氣壓時間,最低氣溫(℃),最低氣溫時間,最低相對溼度( %),最低相對溼度時間,最大六十分鐘降水量起始時間,最大十分鐘降水量起始時間,最大陣風風向(°),最大陣風風速(ms),最高氣壓時間,最高氣溫(℃),最高氣溫時間,累積日射量(MJm2),累計雨量(mm)
2013-01-01,13.0,99,13.1,135.0,0.6,,9.5,2013-01-01 03:00:00,95,2013-01-01 16:00:00,,,67.5,2.1,,16.7,2013-01-01 17:00:00,4.77,0.0
2013-01-02,16.6,97,16.3,135.0,0.9,,12.9,2013-01-02 01:00:00,65,2013-01-02 16:00:00,,,360.0,3.1,,23.6,2013-01-02 16:00:00,7.28,0.0
2013-01-03,14.7,100,15.2,90.0,0.8,,12.1,2013-01-03 22:00:00,100,2013-01-03 01:00:00,,,90.0,3.8,,18.2,2013-01-03 15:00:00,3.90,3.0
2013-01-04,14.0,100,14.4,315.0,0.7,,11.5,2013-01-04 06:00:00,100,2013-01-04 17:00:00,,,315.0,2.9,,18.0,2013-01-04 17:00:00,5.28,0.5
2013-01-05,16.1,98,16.0,90.0,0.8,,13.1,2013-01-05 23:00:00,82,2013-01-05 14:00:00,,,247.5,2.7,,22.0,2013-01-05 14:00:00,12.55,0.0
2013-01-06,16.8,91,15.4,315.0,0.8,,11.8,2013-01-06 05:00:00,58,2013-01-06 14:00:00,,,337.5,2.8,,25.2,2013-01-06 11:00:00,13.84,0.0
2013-01-07,18.0,94,17.2,90.0,0.8,,14.7,2013-01-07 08:00:00,64,2013-01-07 12:00:00,,,337.5,3.2,,25.5,2013-01-07 12:00:00,12.43,0.0
2013-01-08,16.2,100,16.7,337.5,0.5,,14.3,2013-01-08 23:00:00,100,2013-01-08 01:00:00,,,67.5,1.9,,18.5,2013-01-08 17:00:00,2.71,2.5
2013-01-09,13.4,100,13.8,337.5,0.7,,11.7,2013-01-09 23:00:00,100,2013-01-09 01:00:00,,,337.5,2.7,,15.4,2013-01-09 01:00:00,1.54,4.5
2013-01-10,13.5,100,13.9,337.5,0.6,,11.6,2013-01-10 09:00:00,100,2013-01-10 16:00:00,,,67.5,2.5,,17.6,2013-01-10 15:00:00,6.32,1.0
2013-01-11,15.2,100,15.5,112.5,0.6,,11.3,2013-01-11 06:00:00,96,2013-01-11 10:00:00,,,247.5,2.7,,18.6,2013-01-11 12:00:00,6.66,0.5
2013-01-12,17.0,99,17.3,315.0,0.9,,14.4,2013-01-12 06:00:00,91,2013-01-12 15:00:00,,,67.5,3.0,,22.1,2013-01-12 16:00:00,10.51,0.5
2013-01-13,16.1,97,16.0,90.0,1.1,,12.2,2013-01-13 23:59:59,69,2013-01-13 15:00:00,,,360.0,4.1,,22.1,2013-01-13 15:00:00,5.38,12.5
2013-01-14,12.9,92,11.7,315.0,0.9,,9.2,2013-01-14 23:59:59,61,2013-01-14 17:00:00,,,337.5,3.6,,19.1,2013-01-14 16:00:00,13.93,0.0
2013-01-15,13.9,84,10.8,180.0,0.9,,8.5,2013-01-15 06:00:00,51,2013-01-15 10:00:00,,,360.0,4.1,,20.4,2013-01-15 14:00:00,12.98,0.0
2013-01-16,14.3,82,10.6,135.0,0.9,,8.6,2013-01-16 06:00:00,43,2013-01-16 13:00:00,,,315.0,3.1,,20.6,2013-01-16 14:00:00,14.73,0.0
2013-01-17,12.5,92,11.2,135.0,1.0,,8.5,2013-01-17 22:00:00,64,2013-01-17 15:00:00,,,337.5,4.7,,19.2,2013-01-17 15:00:00,13.92,0.0
2013-01-18,11.9,92,10.7,247.5,0.8,,8.5,2013-01-18 07:00:00,71,2013-01-18 16:00:00,,,360.0,3.4,,17.2,2013-01-18 15:00:00,11.45,0.0
2013-01-19,13.9,86,11.2,157.5,0.9,,9.3,2013-01-19 05:00:00,53,2013-01-19 14:00:00,,,337.5,3.2,,20.8,2013-01-19 15:00:00,14.36,0.0
2013-01-20,15.3,85,12.4,135.0,0.9,,10.4,2013-01-20 02:00:00,46,2013-01-20 14:00:00,,,337.5,3.1,,22.4,2013-01-20 15:00:00,14.93,0.0
2013-01-21,17.7,82,13.9,180.0,0.9,,12.3,2013-01-21 05:00:00,48,2013-01-21 14:00:00,,,337.5,3.5,,24.3,2013-01-21 14:00:00,15.76,0.0
2013-01-22,18.3,85,15.2,135.0,0.8,,13.2,2013-01-22 07:00:00,51,2013-01-22 10:00:00,,,360.0,2.5,,25.0,2013-01-22 15:00:00,13.09,0.0
2013-01-23,17.0,97,16.9,135.0,0.8,,14.0,2013-01-23 01:00:00,82,2013-01-23 16:00:00,,,315.0,2.8,,22.3,2013-01-23 16:00:00,11.72,0.0
2013-01-24,17.6,96,17.1,135.0,0.7,,14.5,2013-01-24 07:00:00,78,2013-01-24 15:00:00,,,292.5,2.6,,22.4,2013-01-24 10:00:00,10.24,0.0
2013-01-25,14.8,100,15.1,315.0,0.6,,11.5,2013-01-25 23:59:59,99,2013-01-25 17:00:00,,,315.0,2.2,,18.0,2013-01-25 15:00:00,5.62,0.0
2013-01-26,13.6,100,13.9,112.5,0.7,,10.3,2013-01-26 07:00:00,98,2013-01-26 13:00:00,,,337.5,3.2,,18.6,2013-01-26 14:00:00,10.52,0.0
2013-01-27,14.5,95,13.9,225.0,0.7,,12.3,2013-01-27 23:00:00,73,2013-01-27 17:00:00,,,247.5,2.6,,19.1,2013-01-27 16:00:00,7.75,0.0
2013-01-28,15.5,90,13.7,135.0,0.9,,11.3,2013-01-28 01:00:00,56,2013-01-28 16:00:00,,,337.5,3.3,,21.1,2013-01-28 16:00:00,15.66,0.0
2013-01-29,15.9,82,12.1,202.5,1.1,,10.8,2013-01-29 07:00:00,47,2013-01-29 14:00:00,,,337.5,3.7,,23.3,2013-01-29 12:00:00,15.27,0.0
2013-01-30,16.5,71,10.0,135.0,1.0,,10.8,2013-01-30 07:00:00,35,2013-01-30 15:00:00,,,337.5,3.3,,23.7,2013-01-30 14:00:00,16.95,0.0
2013-01-31,17.1,58,7.9,135.0,1.2,,10.9,2013-01-31 06:00:00,33,2013-01-31 15:00:00,,,337.5,3.9,,24.5,2013-01-31 15:00:00,17.42,0.0
2013-02-01,17.1,58,7.9,135.0,1.2,,10.9,2013-01-31 06:00:00,33,2013-01-31 15:00:00,,,337.5,3.9,,24.5,2013-01-31 15:00:00,17.42,0.0
2013-02-02,17.1,58,7.9,135.0,1.2,,10.9,2013-01-31 06:00:00,33,2013-01-31 15:00:00,,,337.5,3.9,,24.5,2013-01-31 15:00:00,17.42,0.0
2013-02-03,18.5,100,18.9,315.0,0.7,,16.6,2013-02-03 01:00:00,95,2013-02-03 14:00:00,,,67.5,3.2,,25.6,2013-02-03 14:00:00,7.31,1.0
2013-02-04,21.2,94,20.3,135.0,0.7,,16.9,2013-02-04 02:00:00,70,2013-02-04 15:00:00,,,337.5,3.3,,27.0,2013-02-04 15:00:00,13.81,0.0
2013-02-05,20.6,98,20.5,337.5,0.9,,17.3,2013-02-05 07:00:00,77,2013-02-05 17:00:00,,,22.5,4.3,,23.6,2013-02-05 13:00:00,8.67,0.5
2013-02-06,20.6,98,20.5,337.5,0.9,,17.3,2013-02-05 07:00:00,77,2013-02-05 17:00:00,,,22.5,4.3,,23.6,2013-02-05 13:00:00,8.67,0.5
2013-02-07,20.6,98,20.5,337.5,0.9,,17.3,2013-02-05 07:00:00,77,2013-02-05 17:00:00,,,22.5,4.3,,23.6,2013-02-05 13:00:00,8.67,0.5
2013-02-08,15.8,96,15.4,315.0,1.0,,12.1,2013-02-08 08:00:00,76,2013-02-08 16:00:00,,,360.0,3.5,,21.9,2013-02-08 15:00:00,9.81,0.0
2013-02-09,15.0,95,14.4,337.5,1.0,,11.8,2013-02-09 02:00:00,75,2013-02-09 14:00:00,,,360.0,3.7,,21.5,2013-02-09 13:00:00,14.72,0.0
2013-02-10,15.0,95,14.4,337.5,1.0,,11.8,2013-02-09 02:00:00,75,2013-02-09 14:00:00,,,360.0,3.7,,21.5,2013-02-09 13:00:00,14.72,0.0
2013-02-11,15.8,96,15.4,270.0,0.9,,12.8,2013-02-11 07:00:00,72,2013-02-11 15:00:00,,,315.0,3.3,,21.7,2013-02-11 15:00:00,15.23,0.0
2013-02-12,18.2,85,15.4,315.0,0.9,,13.0,2013-02-12 07:00:00,49,2013-02-12 12:00:00,,,315.0,3.8,,27.5,2013-02-12 13:00:00,17.80,0.0
2013-02-13,17.4,92,16.1,315.0,0.8,,13.3,2013-02-13 06:00:00,65,2013-02-13 14:00:00,,,360.0,2.9,,23.2,2013-02-13 14:00:00,15.64,0.0
2013-02-14,19.0,93,17.8,135.0,0.8,,14.6,2013-02-14 02:00:00,69,2013-02-14 15:00:00,,,315.0,3.0,,25.2,2013-02-14 14:00:00,14.35,0.0
2013-02-15,19.3,94,18.3,135.0,0.8,,14.0,2013-02-15 23:59:59,63,2013-02-15 12:00:00,,,337.5,3.9,,24.7,2013-02-15 12:00:00,8.37,0.0
2013-02-16,17.2,94,16.2,315.0,0.8,,13.1,2013-02-16 06:00:00,72,2013-02-16 16:00:00,,,315.0,3.4,,22.9,2013-02-16 16:00:00,16.64,0.0
2013-02-17,19.3,91,17.9,337.5,0.8,,14.6,2013-02-17 01:00:00,57,2013-02-17 14:00:00,,,315.0,3.1,,25.5,2013-02-17 14:00:00,15.26,0.0
2013-02-18,21.0,91,19.4,315.0,0.8,,15.3,2013-02-18 07:00:00,58,2013-02-18 13:00:00,,,337.5,3.3,,26.3,2013-02-18 13:00:00,13.55,0.0
2013-02-19,19.1,100,19.3,135.0,0.8,,12.6,2013-02-19 23:00:00,95,2013-02-19 09:00:00,,,292.5,2.9,,25.6,2013-02-19 09:00:00,10.18,0.0
2013-02-20,15.2,99,15.3,292.5,0.8,,12.2,2013-02-20 04:00:00,87,2013-02-20 16:00:00,,,45.0,2.6,,21.2,2013-02-20 16:00:00,8.46,0.0
2013-02-21,15.7,99,15.9,247.5,0.8,,12.5,2013-02-21 06:00:00,90,2013-02-21 14:00:00,,,315.0,3.1,,21.5,2013-02-21 15:00:00,12.33,0.0
2013-02-22,16.1,97,15.9,337.5,1.1,,13.4,2013-02-22 21:00:00,76,2013-02-22 14:00:00,,,292.5,2.8,,22.3,2013-02-22 13:00:00,16.54,0.0
2013-02-23,16.1,95,15.4,22.5,0.8,,12.9,2013-02-23 07:00:00,70,2013-02-23 16:00:00,,,270.0,2.6,,22.6,2013-02-23 15:00:00,15.33,0.0
2013-02-24,16.8,99,17.0,135.0,0.9,,13.5,2013-02-24 07:00:00,89,2013-02-24 15:00:00,,,292.5,3.9,,22.5,2013-02-24 14:00:00,15.22,0.0
