ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
01,1001.8 ,1013.9 ,1003.1 ,2015-10-01 09:10 ,1000.2 ,2015-10-01 14:56 ,26.6 ,29.8 ,2015-10-01 10:46 ,24.5 ,2015-10-01 01:35 ,24.2 ,87 ,78 ,2015-10-01 10:46 ,5.3 ,180 ,14.3 ,160 ,2015-10-01 00:24 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,10.4 ,88.0 ,23.22 ,10.3 ,-4.7 ,... ,... ,2.3 
02,1003.6 ,1015.7 ,1005.1 ,2015-10-02 10:02 ,1002.1 ,2015-10-02 01:03 ,23.6 ,26.2 ,2015-10-02 00:06 ,22.1 ,2015-10-02 03:47 ,20.7 ,84 ,79 ,2015-10-02 15:55 ,10.1 ,40 ,18.7 ,40 ,2015-10-02 03:41 ,1.5 ,2.1 ,0.9 ,2015-10-02 00:44 ,1.0 ,2015-10-02 00:42 ,0.0 ,0.0 ,4.92 ,11.7 ,-2.1 ,... ,... ,9.8 
03,1004.7 ,1016.7 ,1007.2 ,2015-10-03 22:15 ,1002.9 ,2015-10-03 03:11 ,26.3 ,28.1 ,2015-10-03 13:51 ,24.8 ,2015-10-03 07:09 ,24.3 ,89 ,84 ,2015-10-03 00:13 ,8.6 ,110 ,16.8 ,110 ,2015-10-03 04:05 ,0.8 ,3.0 ,0.3 ,2015-10-03 07:00 ,0.5 ,2015-10-03 11:00 ,2.4 ,20.4 ,12.23 ,15.8 ,-1.4 ,... ,... ,6.5 
04,1007.2 ,1019.3 ,1008.6 ,2015-10-04 09:15 ,1005.9 ,2015-10-04 14:51 ,27.0 ,29.2 ,2015-10-04 10:33 ,25.7 ,2015-10-04 03:42 ,24.7 ,87 ,81 ,2015-10-04 11:24 ,6.2 ,110 ,12.4 ,120 ,2015-10-04 00:33 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,11.0 ,93.7 ,23.39 ,26.7 ,4.5 ,... ,... ,3.2 
05,1006.0 ,1018.1 ,1007.6 ,2015-10-05 08:38 ,1004.3 ,2015-10-05 14:37 ,26.2 ,28.9 ,2015-10-05 11:31 ,24.6 ,2015-10-05 17:38 ,23.7 ,86 ,81 ,2015-10-05 11:53 ,6.0 ,90 ,13.7 ,100 ,2015-10-05 16:24 ,0.2 ,0.8 ,0.2 ,2015-10-05 17:36 ,0.2 ,2015-10-05 17:24 ,5.3 ,45.3 ,18.51 ,20.0 ,-3.2 ,... ,... ,8.2 
06,1004.3 ,1016.3 ,1006.0 ,2015-10-06 09:21 ,1002.6 ,2015-10-06 16:38 ,25.8 ,28.4 ,2015-10-06 13:15 ,24.5 ,2015-10-06 23:11 ,21.5 ,77 ,70 ,2015-10-06 09:51 ,6.0 ,70 ,11.6 ,70 ,2015-10-06 06:08 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,8.0 ,68.5 ,21.58 ,19.2 ,6.0 ,... ,... ,5.8 
07,1001.6 ,1013.7 ,1003.8 ,2015-10-07 08:21 ,1000.0 ,2015-10-07 15:21 ,25.1 ,28.1 ,2015-10-07 11:45 ,23.8 ,2015-10-07 03:54 ,19.0 ,69 ,62 ,2015-10-07 11:35 ,4.6 ,70 ,9.8 ,70 ,2015-10-07 04:57 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,8.3 ,71.2 ,21.60 ,29.3 ,-4.3 ,... ,... ,3.7 
08,998.2 ,1010.3 ,1000.1 ,2015-10-08 00:01 ,996.8 ,2015-10-08 14:07 ,24.1 ,25.7 ,2015-10-08 10:49 ,22.6 ,2015-10-08 19:31 ,21.2 ,84 ,70 ,2015-10-08 00:04 ,6.0 ,120 ,13.1 ,290 ,2015-10-08 13:36 ,42.5 ,10.7 ,4.0 ,2015-10-08 22:19 ,15.0 ,2015-10-08 19:23 ,0.0 ,0.0 ,4.91 ,18.3 ,-2.2 ,... ,... ,10.0 
09,999.5 ,1011.6 ,1002.2 ,2015-10-09 21:49 ,996.8 ,2015-10-09 04:16 ,22.8 ,23.9 ,2015-10-09 07:01 ,21.9 ,2015-10-09 20:41 ,19.6 ,82 ,69 ,2015-10-09 15:57 ,9.3 ,40 ,20.0 ,30 ,2015-10-09 08:01 ,2.8 ,9.0 ,0.3 ,2015-10-09 11:00 ,0.9 ,2015-10-09 10:20 ,0.0 ,0.0 ,3.90 ,17.0 ,-2.0 ,... ,... ,10.0 
10,1001.8 ,1014.0 ,1004.6 ,2015-10-10 22:24 ,1000.1 ,2015-10-10 04:42 ,22.9 ,24.9 ,2015-10-10 12:05 ,21.2 ,2015-10-10 22:52 ,19.0 ,79 ,74 ,2015-10-10 12:03 ,4.5 ,60 ,12.1 ,50 ,2015-10-10 01:02 ,5.5 ,2.2 ,2.4 ,2015-10-10 22:36 ,5.1 ,2015-10-10 22:18 ,0.3 ,2.6 ,6.83 ,21.7 ,-2.4 ,... ,... ,9.5 
