日期,市場,產品,上價,中價,下價,平均價(元/公斤),交易量(公斤)
2011-01-01,104 台北二,P1 番石榴 珍珠芭,68.7,43.5,25.6,45.0,13878
2011-01-01,400 台中市,P1 番石榴 珍珠芭,49.3,33.2,19.6,33.7,18212
2011-01-01,600 嘉義市,P1 番石榴 珍珠芭,55.0,32.0,20.0,32.0,1440
2011-01-01,109 台北一,P1 番石榴 珍珠芭,69.5,40.9,24.8,43.4,34632
2011-01-01,800 高雄市,P1 番石榴 珍珠芭,37.6,27.4,20.0,28.0,518
2011-01-01,930 台東市,P1 番石榴 珍珠芭,40.0,35.0,25.0,35.6,238
2011-01-01,241 三重區,P1 番石榴 珍珠芭,54.9,34.9,30.2,37.9,34495
2011-01-02,241 三重區,P1 番石榴 珍珠芭,56.8,35.9,30.3,38.9,24739
2011-01-02,830 鳳山區,P1 番石榴 珍珠芭,50.0,36.5,29.1,36.5,6570
2011-01-02,109 台北一,P1 番石榴 珍珠芭,72.2,46.9,28.3,48.2,25303
2011-01-02,104 台北二,P1 番石榴 珍珠芭,73.1,45.3,28.7,47.5,13510
2011-01-02,400 台中市,P1 番石榴 珍珠芭,49.7,35.8,23.3,36.1,22148
2011-01-02,930 台東市,P1 番石榴 珍珠芭,40.0,35.0,25.0,35.5,268
2011-01-02,800 高雄市,P1 番石榴 珍珠芭,35.0,35.0,35.0,35.0,75
2011-01-02,600 嘉義市,P1 番石榴 珍珠芭,58.0,36.0,22.0,36.0,1050
2011-01-03,600 嘉義市,P1 番石榴 珍珠芭,58.0,37.0,22.0,37.0,1050
2011-01-03,800 高雄市,P1 番石榴 珍珠芭,45.0,41.5,35.0,40.9,183
2011-01-04,800 高雄市,P1 番石榴 珍珠芭,35.0,35.0,32.1,34.4,458
2011-01-04,400 台中市,P1 番石榴 珍珠芭,44.3,30.1,17.9,36.1,22467
2011-01-04,600 嘉義市,P1 番石榴 珍珠芭,56.0,33.0,18.0,33.0,1080
2011-01-04,241 三重區,P1 番石榴 珍珠芭,61.5,35.4,28.1,39.1,24677
2011-01-04,104 台北二,P1 番石榴 珍珠芭,72.2,46.1,27.0,47.5,11730
2011-01-04,930 台東市,P1 番石榴 珍珠芭,40.0,35.0,25.0,35.3,348
2011-01-04,109 台北一,P1 番石榴 珍珠芭,71.1,41.1,23.5,43.6,36820
2011-01-05,800 高雄市,P1 番石榴 珍珠芭,50.0,47.8,40.0,46.7,300
2011-01-05,930 台東市,P1 番石榴 珍珠芭,40.0,35.0,20.0,35.2,250
2011-01-05,104 台北二,P1 番石榴 珍珠芭,68.7,44.7,26.2,45.8,10658
2011-01-05,400 台中市,P1 番石榴 珍珠芭,45.5,29.2,16.3,35.6,17132
2011-01-05,109 台北一,P1 番石榴 珍珠芭,70.1,42.9,23.4,44.4,25043
2011-01-05,241 三重區,P1 番石榴 珍珠芭,61.7,35.9,28.6,39.6,23480
2011-01-06,104 台北二,P1 番石榴 珍珠芭,66.8,41.4,24.7,43.1,12238
