年度,地區別,果品類別,種植株數,收穫株數,種植面積_公頃,收穫面積_公頃,每株平均產量_公斤,每公頃平均產量_公斤,產量_公噸
2019,新北市,鳳梨,72196,44500,2.61,1.65,1.0,26869.7,44.34
2019,台北市,鳳梨,0,0,0.0,0.0,0.0,0.0,0.0
2019,桃園市,鳳梨,2900,2280,0.1,0.08,1.18,33650.0,2.69
2019,台中市,鳳梨,5030287,4484837,145.14,129.24,1.37,47638.13,6156.75
2019,台南市,鳳梨,60682552,44679852,1761.48,1299.79,1.56,53561.26,69618.39
2019,高雄市,鳳梨,54331641,37955764,1509.28,1054.05,1.46,52500.97,55338.64
2019,宜蘭縣,鳳梨,1077950,781300,40.75,28.89,1.16,31453.55,908.69
2019,新竹縣,鳳梨,1400,800,0.07,0.04,1.0,20000.0,0.8
2019,苗栗縣,鳳梨,59402,59402,2.0,2.0,1.15,34229.0,68.46
2019,彰化縣,鳳梨,9047480,6145590,260.16,176.86,1.45,50283.52,8893.14
2019,南投縣,鳳梨,45179475,30568525,1285.07,870.29,1.77,62164.77,54101.38
2019,雲林縣,鳳梨,30485414,16756200,892.71,488.33,1.56,53501.22,26126.25
2019,嘉義縣,鳳梨,54929616,37120907,1552.87,1046.0,1.57,55573.02,58129.38
2019,屏東縣,鳳梨,138055010,98725250,3509.81,2511.09,1.3,51084.24,128277.12
2019,台東縣,鳳梨,12991412,12087835,369.64,343.96,1.1,38799.98,13345.64
2019,花蓮縣,鳳梨,10201863,8793617,260.18,223.84,0.84,32888.43,7361.75
2019,澎湖縣,鳳梨,3000,3000,0.1,0.1,0.9,27000.0,2.7
2019,基隆市,鳳梨,500,500,0.02,0.02,1.5,37500.0,0.75
2019,新竹市,鳳梨,0,0,0.0,0.0,0.0,0.0,0.0
2019,嘉義市,鳳梨,2931112,2196323,83.77,62.77,1.23,43129.63,2707.25
2019,金門縣,鳳梨,0,0,0.0,0.0,0.0,0.0,0.0
2019,連江縣,鳳梨,0,0,0.0,0.0,0.0,0.0,0.0
2018,新北市,鳳梨,54754,39950,2.0,1.0,1.0,27241.0,40.0
2018,台北市,鳳梨,0,0,0.0,0.0,0.0,0.0,0.0
2018,桃園市,鳳梨,1200,0,0.0,0.0,0.0,0.0,0.0
2018,台中市,鳳梨,4773476,4094476,138.0,118.0,1.0,49937.0,5912.0
2018,台南市,鳳梨,62171373,41477373,1806.0,1204.0,1.0,50583.0,60925.0
2018,高雄市,鳳梨,55896782,41131133,1554.0,1142.0,1.0,52538.0,60004.0
2018,宜蘭縣,鳳梨,1221800,1221800,45.0,45.0,1.0,30304.0,1378.0
2018,新竹縣,鳳梨,2400,1800,0.0,0.0,1.0,18444.0,2.0
2018,苗栗縣,鳳梨,58390,58390,2.0,2.0,1.0,37447.0,73.0
2018,彰化縣,鳳梨,8978930,5989740,258.0,172.0,1.0,50463.0,8696.0
2018,南投縣,鳳梨,45337933,31747104,1290.0,905.0,2.0,62660.0,56709.0
2018,雲林縣,鳳梨,29765317,18747514,872.0,557.0,2.0,55730.0,31020.0
2018,嘉義縣,鳳梨,53529165,35615802,1514.0,1003.0,2.0,53860.0,54029.0
2018,屏東縣,鳳梨,142992830,104611490,3594.0,2628.0,1.0,49306.0,129553.0
2018,台東縣,鳳梨,12804606,12304475,364.0,350.0,1.0,38366.0,13419.0
2018,花蓮縣,鳳梨,10575437,9533714,270.0,242.0,1.0,32476.0,7868.0
2018,澎湖縣,鳳梨,3000,3000,0.0,0.0,1.0,27000.0,3.0
2018,基隆市,鳳梨,0,0,0.0,0.0,0.0,0.0,0.0
2018,新竹市,鳳梨,0,0,0.0,0.0,0.0,0.0,0.0
2018,嘉義市,鳳梨,2947557,1988832,84.0,57.0,1.0,43167.0,2454.0
2018,金門縣,鳳梨,0,0,0.0,0.0,0.0,0.0,0.0
2018,連江縣,鳳梨,0,0,0.0,0.0,0.0,0.0,0.0
2017,新北市,鳳梨,44808,31750,1.7,1.17,0.88,23782.05,27.82
2017,台北市,鳳梨,0,0,0.0,0.0,0.0,0.0,0.0
2017,桃園市,鳳梨,900,0,0.03,0.0,0.0,0.0,0.0
2017,台中市,鳳梨,4267202,4231602,123.34,122.34,1.23,42459.47,5194.49
2017,台南市,鳳梨,58943990,51875260,1713.84,1505.94,1.45,49941.32,75208.63
2017,高雄市,鳳梨,53836795,41793486,1495.65,1160.53,1.44,51996.45,60343.44
2017,宜蘭縣,鳳梨,1217450,1217450,45.46,45.46,1.05,28190.94,1281.56
2017,新竹縣,鳳梨,2600,2600,0.14,0.14,1.08,20000.0,2.8
2017,苗栗縣,鳳梨,27190,26787,0.92,0.9,1.05,31207.78,28.09
2017,彰化縣,鳳梨,8856640,8811440,255.0,253.7,1.46,50595.27,12836.02
2017,南投縣,鳳梨,45920527,44724427,1307.03,1272.83,1.83,64351.48,81908.5
2017,雲林縣,鳳梨,31787624,31154264,860.95,842.75,1.59,58940.2,49671.85
2017,嘉義縣,鳳梨,52189540,46175772,1482.86,1311.82,1.52,53588.02,70297.84
2017,屏東縣,鳳梨,137749966,130174166,3455.42,3265.78,1.31,52363.72,171008.4
2017,台東縣,鳳梨,12074192,12025892,344.74,343.29,1.09,38073.74,13070.33
2017,花蓮縣,鳳梨,11147714,11081214,285.76,283.86,0.86,33601.29,9538.06
2017,澎湖縣,鳳梨,39300,39300,1.31,1.31,0.9,27000.0,35.37
2017,基隆市,鳳梨,0,0,0.0,0.0,0.0,0.0,0.0
2017,新竹市,鳳梨,0,0,0.0,0.0,0.0,0.0,0.0
2017,嘉義市,鳳梨,2756163,2756163,78.77,78.77,1.12,39070.92,3077.62
2017,金門縣,鳳梨,0,0,0.0,0.0,0.0,0.0,0.0
2017,連江縣,鳳梨,0,0,0.0,0.0,0.0,0.0,0.0
2016,新北市,鳳梨,34450,30700,1.32,1.18,0.94,24385.59,28.77
2016,台北市,鳳梨,0,0,0.0,0.0,0.0,0.0,0.0
2016,桃園市,鳳梨,280,280,0.01,0.01,1.5,42000.0,0.42
2016,台中市,鳳梨,4001639,4001639,115.69,115.69,1.25,43098.63,4986.08
2016,台南市,鳳梨,52500161,50921601,1529.46,1481.42,1.45,49926.42,73962.0
2016,高雄市,鳳梨,53538713,40694575,1488.63,1131.21,1.34,48248.54,54579.24
2016,宜蘭縣,鳳梨,1211300,1211300,45.29,45.29,0.92,24670.24,1117.32
2016,新竹縣,鳳梨,6800,6800,0.34,0.34,0.85,17000.0,5.78
2016,苗栗縣,鳳梨,23264,23264,0.67,0.67,0.94,32553.73,21.81
2016,彰化縣,鳳梨,8695490,8657290,250.2,249.1,1.44,50140.69,12490.05
