年度,地區別,果品類別,種植株數,收穫株數,種植面積_公頃,收穫面積_公頃,每株平均產量_公斤,每公頃平均產量_公斤,產量_公噸
2019,新北市,香蕉,108619,102262,74.99,71.01,13.74,19793.48,1405.535
2019,台北市,香蕉,12830,12830,10.36,10.36,12.55,15543.15,161.02700000000002
2019,桃園市,香蕉,44420,43940,57.11,56.47,18.85,14666.65,828.2260000000001
2019,台中市,香蕉,574129,560455,629.71,614.39,15.54,14178.52,8711.141
2019,台南市,香蕉,1481610,1476420,1062.65,1057.46,16.26,22703.58,24008.13
2019,高雄市,香蕉,3874181,3806097,2155.98,2117.37,13.76,24739.26,52382.172999999995
2019,宜蘭縣,香蕉,170454,168384,114.1,112.72,18.05,26956.74,3038.5640000000003
2019,新竹縣,香蕉,154451,153659,107.42,106.89,12.28,17655.75,1887.223
2019,苗栗縣,香蕉,151576,151576,115.54,115.54,19.05,24988.74,2887.199
2019,彰化縣,香蕉,197594,194955,132.91,131.2,16.22,24100.68,3162.009
2019,南投縣,香蕉,3817700,3803870,3118.81,3108.11,15.67,19174.86,59597.578
2019,雲林縣,香蕉,1218031,1103495,674.57,613.61,16.51,29696.71,18222.2
2019,嘉義縣,香蕉,4160750,4082037,2658.58,2608.03,14.65,22923.44,59785.017
2019,屏東縣,香蕉,7059538,5510250,4124.81,3219.63,15.65,26783.11,86231.694
2019,台東縣,香蕉,826426,796771,559.82,539.79,14.45,21323.32,11510.116000000002
2019,花蓮縣,香蕉,1049888,567244,681.87,369.72,13.2,20251.62,7487.43
2019,澎湖縣,香蕉,2571,2571,2.6,2.6,16.47,16286.92,42.346000000000004
2019,基隆市,香蕉,5228,5228,3.98,3.98,9.57,12575.63,50.051
2019,新竹市,香蕉,9597,8349,6.15,5.35,10.91,17021.5,91.065
2019,嘉義市,香蕉,73440,73440,48.96,48.96,15.31,22958.03,1124.025
2019,金門縣,香蕉,1600,1600,0.8,0.8,9.9,19792.5,15.834000000000001
2019,連江縣,香蕉,0,0,0.0,0.0,0.0,0.0,0.0
2018,新北市,香蕉,105736,99392,73.0,69.0,13.0,19316.0,1339.0
2018,台北市,香蕉,13297,13297,11.0,11.0,13.0,16453.0,176.0
2018,桃園市,香蕉,41467,40118,53.0,51.0,19.0,14537.0,746.0
2018,台中市,香蕉,562900,552526,623.0,613.0,18.0,15828.0,9707.0
2018,台南市,香蕉,1533506,1500221,1098.0,1076.0,16.0,22600.0,24313.0
2018,高雄市,香蕉,3801570,3531401,2115.0,1965.0,14.0,24662.0,48469.0
2018,宜蘭縣,香蕉,176397,176127,118.0,118.0,17.0,24931.0,2940.0
2018,新竹縣,香蕉,147392,140567,102.0,97.0,12.0,16942.0,1649.0
2018,苗栗縣,香蕉,148209,148209,111.0,111.0,19.0,25141.0,2786.0
2018,彰化縣,香蕉,197708,195689,133.0,131.0,17.0,25174.0,3303.0
2018,南投縣,香蕉,3794013,3768584,3123.0,3104.0,16.0,19504.0,60530.0
2018,雲林縣,香蕉,1212321,1193310,678.0,667.0,14.0,24992.0,16675.0
2018,嘉義縣,香蕉,4309017,4135072,2737.0,2625.0,15.0,23420.0,61467.0
