日期,平均地溫0cm(℃),平均地溫100cm(℃),平均地溫10cm(℃),平均地溫20cm(℃),平均地溫50cm(℃),平均地溫5cm(℃),平均氣壓(hPa),平均氣溫(℃),平均相對溼度( %),平均露點溫度(℃),平均風向(°),平均風速(ms),日最低氣壓(hPa),日最高氣壓(hPa),最低氣壓時間,最低氣溫(℃),最低氣溫時間,最低相對溼度( %),最低相對溼度時間,最大六十分鐘降水量(mm),最大六十分鐘降水量起始時間,最大十分鐘降水量(mm),最大十分鐘降水量起始時間,最大陣風風向(°),最大陣風風速(ms),最高氣壓時間,最高氣溫(℃),最高氣溫時間,海平面氣壓(hPa),累積日射量(MJm2),累積日照時數(hr),累積蒸發量(mm),累計雨量(mm)
2021-01-01,14.5,25.0,15.7,17.5,22.5,15.1,1023.1,13.5,67,7.4,30.0,4.3,1020.7,1025.3,2021-01-01 15:12:00,10.6,2021-01-01 00:03:00,57,2021-01-01 13:19:00,0.0,2021-01-01 00:00:00,0.0,2021-01-01 00:00:00,30.0,13.5,2021-01-01 08:55:00,16.5,2021-01-01 13:45:00,1023.2,15.62,8.4,0,0.0
2021-01-02,16.1,24.8,16.9,18.0,22.1,16.5,1021.2,15.3,74,10.8,30.0,4.4,1018.7,1023.0,2021-01-02 14:51:00,12.9,2021-01-02 06:53:00,61,2021-01-02 13:27:00,0.0,2021-01-02 00:00:00,0.0,2021-01-02 00:00:00,30.0,13.5,2021-01-02 00:58:00,18.0,2021-01-02 13:25:00,1021.3,16.16,8.7,0,0.0
2021-01-03,17.6,24.6,18.0,18.7,22.0,17.8,1021.3,17.0,82,13.9,20.0,4.3,1019.3,1022.9,2021-01-03 14:16:00,14.3,2021-01-03 04:05:00,65,2021-01-03 11:30:00,0.0,2021-01-03 00:00:00,0.0,2021-01-03 00:00:00,10.0,14.8,2021-01-03 08:25:00,20.6,2021-01-03 11:28:00,1021.4,16.09,8.7,0,0.0
2021-01-04,18.6,24.5,19.0,19.5,22.0,18.8,1019.8,17.5,88,15.6,20.0,5.3,1017.8,1022.1,2021-01-04 14:57:00,16.6,2021-01-04 05:27:00,77,2021-01-04 11:14:00,0.0,2021-01-04 00:00:00,0.0,2021-01-04 00:00:00,20.0,14.5,2021-01-04 00:01:00,19.2,2021-01-04 12:22:00,1020.0,9.17,7.3,0,0.0
2021-01-05,18.9,24.4,19.3,19.9,22.1,19.1,1018.4,17.5,83,14.7,20.0,6.3,1016.4,1020.0,2021-01-05 14:20:00,16.1,2021-01-06 00:00:00,74,2021-01-05 14:09:00,0.0,2021-01-05 00:00:00,0.0,2021-01-05 00:00:00,30.0,17.7,2021-01-05 09:20:00,19.5,2021-01-05 12:34:00,1018.5,10.00,8.5,0,0.0
2021-01-06,18.2,24.4,18.9,19.7,22.2,18.6,1017.5,16.5,81,13.2,30.0,4.9,1015.0,1019.5,2021-01-06 15:27:00,14.9,2021-01-06 23:53:00,70,2021-01-06 11:58:00,0.0,2021-01-06 00:00:00,0.0,2021-01-06 00:00:00,30.0,16.5,2021-01-06 08:41:00,19.0,2021-01-06 13:13:00,1017.6,7.31,6.1,0,0.0
2021-01-07,17.0,24.3,18.2,19.3,22.2,17.7,1018.9,14.3,79,10.7,30.0,7.8,1016.7,1021.3,2021-01-07 14:36:00,11.5,2021-01-07 23:54:00,67,2021-01-07 12:27:00,0.0,2021-01-07 00:00:00,0.0,2021-01-07 00:00:00,40.0,21.4,2021-01-07 23:27:00,16.2,2021-01-07 12:06:00,1019.0,12.99,7.6,0,0.0
2021-01-08,13.9,24.3,15.9,18.0,22.0,15.0,1022.4,10.1,70,4.9,30.0,7.3,1020.8,1023.6,2021-01-08 00:19:00,9.2,2021-01-08 17:27:00,56,2021-01-08 22:24:00,0.0,2021-01-08 00:00:00,0.0,2021-01-08 00:00:00,50.0,21.0,2021-01-08 09:21:00,11.6,2021-01-08 00:04:00,1022.5,5.70,6.3,0,0.0
2021-01-09,13.0,24.2,14.7,16.7,21.7,13.9,1022.3,10.5,59,3.0,30.0,6.6,1020.1,1024.1,2021-01-09 14:42:00,9.2,2021-01-09 03:53:00,49,2021-01-09 09:17:00,0.0,2021-01-09 00:00:00,0.0,2021-01-09 00:00:00,40.0,17.8,2021-01-09 09:33:00,13.1,2021-01-09 11:58:00,1022.4,15.96,8.4,0,0.0
2021-01-10,14.2,24.1,15.2,16.7,21.3,14.7,1021.3,13.4,65,6.9,30.0,3.7,1019.1,1023.3,2021-01-10 15:41:00,9.0,2021-01-10 04:26:00,53,2021-01-10 12:34:00,0.0,2021-01-10 00:00:00,0.0,2021-01-10 00:00:00,20.0,12.7,2021-01-10 00:45:00,18.0,2021-01-10 12:50:00,1021.5,15.66,8.2,0,0.0
2021-01-11,15.3,24.0,16.4,17.5,21.1,15.9,1022.1,13.0,80,9.6,30.0,5.4,1020.6,1024.1,2021-01-11 14:41:00,10.2,2021-01-11 23:53:00,69,2021-01-11 01:53:00,0.5,2021-01-11 21:49:00,0.5,2021-01-11 22:39:00,30.0,16.9,2021-01-11 23:17:00,14.8,2021-01-11 12:25:00,1022.3,4.66,4.7,0,0.5
2021-01-12,13.7,23.8,15.3,16.9,21.0,14.5,1021.0,11.9,68,6.1,30.0,5.0,1019.0,1023.6,2021-01-12 15:17:00,9.4,2021-01-12 01:32:00,54,2021-01-12 12:33:00,0.5,2021-01-12 00:25:00,0.5,2021-01-12 01:15:00,40.0,15.5,2021-01-12 01:02:00,14.4,2021-01-12 13:21:00,1021.2,14.80,8.5,0,0.5
2021-01-13,15.0,23.7,15.6,16.7,20.8,15.3,1018.5,14.1,63,7.3,20.0,3.0,1016.3,1020.1,2021-01-13 14:28:00,10.5,2021-01-13 05:32:00,46,2021-01-13 10:29:00,0.0,2021-01-13 00:00:00,0.0,2021-01-13 00:00:00,40.0,12.5,2021-01-13 08:58:00,19.1,2021-01-13 11:36:00,1018.7,16.95,8.7,0,0.0
2021-01-14,16.0,23.6,16.7,17.5,20.8,16.4,1017.1,14.7,76,10.3,10.0,1.4,1015.1,1018.7,2021-01-14 14:25:00,8.5,2021-01-14 06:03:00,50,2021-01-14 12:53:00,0.0,2021-01-14 00:00:00,0.0,2021-01-14 00:00:00,330.0,6.9,2021-01-14 09:11:00,20.8,2021-01-14 12:54:00,1017.2,16.83,8.6,0,0.0
2021-01-15,17.4,23.5,17.7,18.1,20.8,17.5,1015.7,15.7,86,13.2,20.0,1.9,1012.5,1017.5,2021-01-15 14:50:00,10.6,2021-01-15 06:41:00,61,2021-01-15 12:07:00,0.0,2021-01-15 00:00:00,0.0,2021-01-15 00:00:00,30.0,7.6,2021-01-15 01:01:00,21.2,2021-01-15 12:35:00,1015.8,16.26,8.5,0,0.0
