日期,產品,台北平均價,台北交易量,2018平均價,2018交易量
108/03/03,A1 香蕉  ,23.25,34335,36.95,33177
108/03/05,A1 香蕉  ,22.8,40665,36.95,33177
108/03/06,A1 香蕉  ,22.65,49664,36.95,33177
108/03/07,A1 香蕉  ,24.3,39473,36.95,33177
108/03/08,A1 香蕉  ,23.1,37653,34.65,57496
108/03/09,A1 香蕉  ,25.75,27695,32.95,44887
108/03/10,A1 香蕉  ,25.45,28757,32.5,41005
108/03/12,A1 香蕉  ,28.7,29498,32.5,41005
108/03/13,A1 香蕉  ,28.5,37457,32.6,45818
108/03/14,A1 香蕉  ,30.35,26715,33.1,39607
108/03/15,A1 香蕉  ,29.05,33865,30.1,47894
108/03/16,A1 香蕉  ,31.45,27826,25.95,62551
108/03/17,A1 香蕉  ,30.7,29145,27.6,58391
108/03/19,A1 香蕉  ,34.3,29956,27.6,58391
108/03/20,A1 香蕉  ,33.75,44275,28.65,52240
108/03/21,A1 香蕉  ,31.65,42167,28.6,42933
108/03/22,A1 香蕉  ,33.9,30874,28.5,44067
108/03/23,A1 香蕉  ,33.2,33895,27.7,44081
108/03/24,A1 香蕉  ,34.2,29699,26,56231
108/03/26,A1 香蕉  ,33.4,35536,26,56231
108/03/27,A1 香蕉  ,33.4,35747,24.45,58099
108/03/28,A1 香蕉  ,32.35,30284,26.15,42057
108/03/29,A1 香蕉  ,34.65,31039,26.3,50233
108/03/30,A1 香蕉  ,31.85,35914,26.1,63214
108/03/31,A1 香蕉  ,32.5,28933,27,56174
108/04/02,A1 香蕉  ,35.2,34265,27,56174
108/04/03,A1 香蕉  ,31.25,42533,24.55,67375
108/04/04,A1 香蕉  ,34.6,43424,23.7,69828
108/04/07,A1 香蕉  ,33.55,56858,23,70661
108/04/09,A1 香蕉  ,34.95,34841,23,70661
108/04/10,A1 香蕉  ,33.45,37360,20.15,69810
108/04/11,A1 香蕉  ,33.45,31706,22.05,49113
108/04/12,A1 香蕉  ,33.2,29223,22.95,50176
108/04/13,A1 香蕉  ,32.5,32985,20.1,51162
108/04/14,A1 香蕉  ,32.6,34864,18.65,68143
108/04/16,A1 香蕉  ,32.75,35889,18.65,68143
108/04/17,A1 香蕉  ,30.8,41672,20.9,57261
108/04/18,A1 香蕉  ,29.9,48562,23.15,46559
108/04/19,A1 香蕉  ,31.15,45624,20.45,50951
108/04/20,A1 香蕉  ,28.85,41461,20.1,46255
108/04/21,A1 香蕉  ,28.95,38136,19.05,62054
108/04/23,A1 香蕉  ,30.4,34244,19.05,62054
108/04/24,A1 香蕉  ,29.05,38709,16.5,74407
108/04/25,A1 香蕉  ,29.25,29886,16.2,63077
108/04/26,A1 香蕉  ,27.55,39835,17.4,59128
108/04/27,A1 香蕉  ,27.3,38218,18.35,51022
108/04/28,A1 香蕉  ,28.65,34859,18.5,58132
108/04/30,A1 香蕉  ,30.35,33829,18.5,58132
108/05/01,A1 香蕉  ,28.6,32345,18,61340
108/05/02,A1 香蕉  ,30.15,27535,16.35,60379
108/05/03,A1 香蕉  ,29.2,36975,16.75,42065
108/05/04,A1 香蕉  ,30.05,37548,16.45,48739
108/05/05,A1 香蕉  ,31.65,41118,15.4,52743
108/05/07,A1 香蕉  ,32.35,35436,15.4,52743
108/05/08,A1 香蕉  ,29.65,38486,14.55,65050
108/05/09,A1 香蕉  ,30.25,27077,17.4,45417
108/05/10,A1 香蕉  ,30.05,33216,17,48193
108/05/11,A1 香蕉  ,30.3,32419,16.4,56176
108/05/12,A1 香蕉  ,31.95,30154,17.35,52957
108/05/14,A1 香蕉  ,33.6,28941,17.35,52957
108/05/15,A1 香蕉  ,32.65,34743,17.45,64709
108/05/17,A1 香蕉  ,35,27324,16.05,52500
108/05/18,A1 香蕉  ,35.2,34868,14.85,46662
108/05/19,A1 香蕉  ,37.85,35333,14.2,48663
108/05/21,A1 香蕉  ,38.85,31725,14.2,48663
108/05/22,A1 香蕉  ,37.4,32002,13.1,52127
108/05/23,A1 香蕉  ,37,27928,13,46051
108/05/24,A1 香蕉  ,35.2,34070,12.15,49519
108/05/25,A1 香蕉  ,34.8,29408,12.3,46986
108/05/26,A1 香蕉  ,35.7,30196,12.7,54443
108/05/28,A1 香蕉  ,34.95,36961,12.7,54443
108/05/29,A1 香蕉  ,32.8,33058,12.55,65282
108/05/30,A1 香蕉  ,35.65,24625,12.4,54297
108/05/31,A1 香蕉  ,33.65,32823,10.45,58135
108/06/01,A1 香蕉  ,34.35,31121,11.85,53053
108/06/02,A1 香蕉  ,33,43216,11.7,57750
108/06/04,A1 香蕉  ,33.85,37600,11.7,57750
108/06/05,A1 香蕉  ,35,30922,11.9,57117
108/06/06,A1 香蕉  ,34.6,31610,12.55,52074
108/06/07,A1 香蕉  ,35.85,27607,12.8,51172
108/06/08,A1 香蕉  ,37.95,17101,12.4,55448
108/06/11,A1 香蕉  ,32.05,27188,12.4,55448
108/06/12,A1 香蕉  ,35.05,36257,14.1,67931
108/06/13,A1 香蕉  ,33.8,25801,15.7,66963
108/06/14,A1 香蕉  ,32.15,30016,17.45,58572
108/06/15,A1 香蕉  ,33.2,27437,18.4,46775
108/06/16,A1 香蕉  ,33.45,42293,20.5,41920
108/06/18,A1 香蕉  ,30.8,39537,18.55,29120
108/06/19,A1 香蕉  ,33.35,30573,18.55,29120
108/06/20,A1 香蕉  ,32.05,24004,18.55,29120
108/06/21,A1 香蕉  ,32.25,25960,17.75,55186
108/06/22,A1 香蕉  ,27.65,28653,16.25,58923
108/06/23,A1 香蕉  ,27.45,30210,16.1,51141
108/06/25,A1 香蕉  ,28.65,26745,16.1,51141
108/06/26,A1 香蕉  ,27.65,31209,18.15,45294
108/06/27,A1 香蕉  ,25.7,28982,19.45,42760
108/06/28,A1 香蕉  ,24.4,33130,19.2,41404
108/06/29,A1 香蕉  ,22.95,28438,18.95,42087
108/06/30,A1 香蕉  ,24.05,33791,18.5,45180
108/07/02,A1 香蕉  ,23.45,37256,18.5,45180
108/07/03,A1 香蕉  ,23.7,36411,16.55,43140
108/07/04,A1 香蕉  ,21.6,31700,17.3,36924
108/07/05,A1 香蕉  ,24.15,28892,19.05,31629
108/07/06,A1 香蕉  ,23.5,28239,18.1,39915
108/07/07,A1 香蕉  ,23,32277,19.4,35193
108/07/09,A1 香蕉  ,22.5,29607,19.4,35193
108/07/10,A1 香蕉  ,23.85,27123,20.55,37484
108/07/11,A1 香蕉  ,20.15,28895,20.65,27171
108/07/12,A1 香蕉  ,22.05,27768,20.4,39248
108/07/13,A1 香蕉  ,22.65,25178,21.1,43408
108/07/14,A1 香蕉  ,23.35,28620,20.7,38675
108/07/16,A1 香蕉  ,22.7,34765,20.7,38675
108/07/17,A1 香蕉  ,24.65,33348,18.4,45830
108/07/18,A1 香蕉  ,27.35,25555,19.8,33077
108/07/19,A1 香蕉  ,26.35,26817,20.1,31456
108/07/20,A1 香蕉  ,22.05,28385,19.7,34130
108/07/21,A1 香蕉  ,24.75,26517,17.8,39240
108/07/23,A1 香蕉  ,24,28121,17.8,39240
108/07/24,A1 香蕉  ,24.05,29233,21.4,35804
108/07/25,A1 香蕉  ,25.4,22507,21.35,37884
108/07/26,A1 香蕉  ,25.25,28424,21.05,45773
