日期,平均地溫0cm(℃),平均地溫100cm(℃),平均地溫10cm(℃),平均地溫20cm(℃),平均地溫50cm(℃),平均地溫5cm(℃),平均氣壓(hPa),平均氣溫(℃),平均相對溼度( %),平均露點溫度(℃),平均風向(°),平均風速(ms),日最低氣壓(hPa),日最高氣壓(hPa),最低氣壓時間,最低氣溫(℃),最低氣溫時間,最低相對溼度( %),最低相對溼度時間,最大六十分鐘降水量(mm),最大六十分鐘降水量起始時間,最大十分鐘降水量(mm),最大十分鐘降水量起始時間,最大陣風風向(°),最大陣風風速(ms),最高氣壓時間,最高氣溫(℃),最高氣溫時間,海平面氣壓(hPa),累積日射量(MJm2),累積日照時數(hr),累積蒸發量(mm),累計雨量(mm)
2021-01-01,18.5,24.7,19.5,20.7,23.3,19.8,1019.9,17.2,59,9.3,40.0,4.4,1017.8,1022.1,2021-01-01 15:08:00,14.6,2021-01-01 00:31:00,50,2021-01-01 14:27:00,0.0,2021-01-01 00:00:00,0.0,2021-01-01 00:00:00,40.0,13.8,2021-01-01 08:26:00,20.6,2021-01-01 13:29:00,1023.1,17.57,8.7,0,0.0
2021-01-02,19.8,24.6,20.2,20.9,22.9,20.8,1018.1,19.3,63,12.2,50.0,5.0,1016.3,1019.6,2021-01-02 15:10:00,16.3,2021-01-02 05:39:00,54,2021-01-02 11:43:00,0.0,2021-01-02 00:00:00,0.0,2021-01-02 00:00:00,50.0,14.8,2021-01-02 08:46:00,23.1,2021-01-02 12:43:00,1021.3,17.87,8.9,0,0.0
2021-01-03,21.0,24.4,21.0,21.4,22.8,21.7,1017.6,20.9,68,14.8,50.0,4.7,1015.7,1019.4,2021-01-03 14:19:00,18.1,2021-01-03 05:53:00,56,2021-01-03 13:16:00,0.0,2021-01-03 00:00:00,0.0,2021-01-03 00:00:00,100.0,14.6,2021-01-03 09:15:00,24.4,2021-01-03 13:29:00,1020.8,18.11,9.2,0,0.0
2021-01-04,22.4,24.3,22.1,22.1,22.9,23.0,1016.2,22.1,65,15.2,50.0,3.1,1014.4,1017.8,2021-01-04 14:50:00,20.0,2021-01-04 04:53:00,48,2021-01-04 12:20:00,0.0,2021-01-04 00:00:00,0.0,2021-01-04 00:00:00,50.0,13.0,2021-01-04 08:54:00,26.5,2021-01-04 13:15:00,1019.4,17.17,8.8,0,0.0
2021-01-05,21.9,24.2,22.2,22.5,23.1,22.9,1015.1,21.3,75,16.5,50.0,3.2,1013.1,1016.9,2021-01-05 14:40:00,16.5,2021-01-05 04:53:00,55,2021-01-05 10:39:00,0.0,2021-01-05 00:00:00,0.0,2021-01-05 00:00:00,40.0,14.2,2021-01-05 09:01:00,26.7,2021-01-05 11:17:00,1018.3,11.42,7.9,0,0.0
2021-01-06,21.9,24.2,22.2,22.5,23.2,22.8,1014.6,21.0,68,14.8,50.0,5.2,1011.8,1016.9,2021-01-06 15:15:00,19.5,2021-01-06 00:53:00,56,2021-01-06 12:52:00,0.0,2021-01-06 00:00:00,0.0,2021-01-06 00:00:00,70.0,16.5,2021-01-06 08:26:00,23.9,2021-01-06 12:51:00,1017.8,17.73,8.7,0,0.0
2021-01-07,20.5,24.2,21.7,22.4,23.3,22.1,1015.1,19.1,70,13.6,50.0,6.1,1013.4,1017.3,2021-01-07 02:16:00,16.9,2021-01-07 22:53:00,64,2021-01-07 12:45:00,0.0,2021-01-07 00:00:00,0.0,2021-01-07 00:00:00,60.0,17.6,2021-01-07 21:26:00,21.1,2021-01-07 12:24:00,1018.2,8.87,7.6,0,0.0
2021-01-08,18.6,24.2,20.4,21.5,23.2,20.5,1018.0,15.9,69,10.2,50.0,6.0,1016.2,1019.7,2021-01-08 03:16:00,13.5,2021-01-08 23:40:00,57,2021-01-08 11:58:00,0.0,2021-01-08 00:00:00,0.0,2021-01-08 00:00:00,40.0,17.0,2021-01-08 21:02:00,19.5,2021-01-08 11:58:00,1021.2,11.65,7.0,0,0.0
2021-01-09,16.7,24.1,19.0,20.5,22.9,18.8,1019.0,14.2,71,9.0,50.0,5.9,1016.6,1021.2,2021-01-09 14:04:00,13.1,2021-01-09 23:53:00,62,2021-01-09 12:51:00,0.0,2021-01-09 00:00:00,0.0,2021-01-09 00:00:00,50.0,15.3,2021-01-09 09:01:00,16.1,2021-01-09 12:58:00,1022.1,7.17,6.9,0,0.0
2021-01-10,17.7,24.1,18.7,19.8,22.4,19.0,1019.1,16.5,63,9.5,60.0,5.2,1016.3,1020.9,2021-01-10 15:18:00,13.2,2021-01-10 00:11:00,50,2021-01-10 13:17:00,0.0,2021-01-10 00:00:00,0.0,2021-01-10 00:00:00,80.0,14.9,2021-01-10 09:01:00,20.2,2021-01-10 13:18:00,1022.3,17.79,8.2,0,0.0
