日期,市場,產品,上價,中價,下價,平均價(元/公斤),交易量(公斤)
2011-01-01,104 台北二,A1 香蕉,35.0,32.1,25.6,31.4,9645
2011-01-02,104 台北二,A1 香蕉,35.1,33.1,25.8,32.0,12230
2011-01-04,104 台北二,A1 香蕉,35.8,33.1,27.0,32.4,11976
2011-01-05,104 台北二,A1 香蕉,36.5,33.9,27.8,33.2,7520
2011-01-06,104 台北二,A1 香蕉,38.2,35.5,28.9,34.7,8160
2011-01-07,104 台北二,A1 香蕉,38.2,36.5,29.8,35.5,7152
2011-01-08,104 台北二,A1 香蕉,39.1,36.9,31.4,36.2,5850
2011-01-09,104 台北二,A1 香蕉,38.9,35.7,30.9,35.4,8235
2011-01-11,104 台北二,A1 香蕉,40.1,36.3,28.2,35.4,7320
2011-01-12,104 台北二,A1 香蕉,40.0,36.4,29.3,35.7,5730
2011-01-13,104 台北二,A1 香蕉,41.7,38.9,32.6,38.2,4419
2011-01-14,104 台北二,A1 香蕉,40.2,38.3,30.0,37.0,7477
2011-01-15,104 台北二,A1 香蕉,40.6,38.4,33.0,37.8,7689
2011-01-16,104 台北二,A1 香蕉,41.4,38.2,34.2,38.0,7638
2011-01-18,104 台北二,A1 香蕉,42.2,39.7,34.3,39.1,11571
2011-01-19,104 台北二,A1 香蕉,46.4,40.0,35.5,40.4,6440
2011-01-20,104 台北二,A1 香蕉,50.1,41.3,34.9,41.8,4545
2011-01-21,104 台北二,A1 香蕉,48.4,45.6,34.5,43.9,4062
2011-01-22,104 台北二,A1 香蕉,47.3,44.5,35.6,43.3,5090
2011-01-23,104 台北二,A1 香蕉,45.8,43.5,35.7,42.4,5357
2011-01-25,104 台北二,A1 香蕉,45.3,42.2,33.3,41.0,6635
2011-01-26,104 台北二,A1 香蕉,45.0,43.0,33.6,41.5,5460
2011-01-27,104 台北二,A1 香蕉,45.3,43.0,32.1,41.3,5050
2011-01-28,104 台北二,A1 香蕉,45.2,43.3,30.8,41.2,4863
2011-01-29,104 台北二,A1 香蕉,45.0,42.2,34.9,41.3,6214
