日期,guava_平均價,guava_交易量,emperorguava_平均價,banana_平均價,guava_前日平均價,guava_5日平均價
2011-01-07,41.2,10003,25.3,35.5,41.2,43.8
2011-01-08,44.4,13299,30.4,36.2,41.2,43.8
2011-01-09,44.4,13299,30.4,36.2,44.4,43.8
2011-01-10,44.4,13299,30.4,36.2,44.4,43.8
2011-01-11,44.4,13299,30.4,36.2,44.4,43.8
2011-01-12,44.4,13299,30.4,36.2,44.4,44.4
2011-01-13,44.4,13299,30.4,36.2,44.4,44.4
2011-01-14,47.9,8288,20.0,37.0,44.4,45.1
2011-01-15,45.8,14451,25.0,37.8,47.9,45.4
2011-01-16,45.8,14451,25.0,37.8,45.8,45.7
2011-01-17,45.8,14451,25.0,37.8,45.8,45.9
2011-01-18,41.8,11698,21.4,39.1,45.8,45.4
2011-01-19,36.3,11619,15.0,40.4,41.8,43.1
2011-01-20,36.3,11619,15.0,40.4,36.3,41.2
2011-01-21,31.1,9485,7.0,43.9,36.3,38.3
2011-01-22,31.1,9485,7.0,43.9,31.1,35.3
2011-01-23,36.1,14190,76.0,42.4,31.1,34.2
2011-01-24,36.1,14190,76.0,42.4,36.1,34.1
2011-01-25,30.5,11994,8.0,41.0,36.1,33.0
2011-01-26,30.5,11994,8.0,41.0,30.5,32.9
2011-01-27,27.2,10890,5.0,41.3,30.5,32.1
2011-01-28,27.2,10890,5.0,41.3,27.2,30.3
2011-01-29,22.8,13329,13.8,41.3,27.2,27.6
2011-01-30,22.8,13329,13.8,41.3,22.8,26.1
2011-01-31,22.8,13329,13.8,41.3,22.8,24.6
2011-02-01,22.8,13329,13.8,41.3,22.8,23.7
2011-02-02,22.8,13329,13.8,41.3,22.8,22.8
2011-02-03,22.8,13329,13.8,41.3,22.8,22.8
2011-02-04,22.8,13329,13.8,41.3,22.8,22.8
2011-02-05,22.8,13329,13.8,41.3,22.8,22.8
2011-02-06,22.8,13329,13.8,41.3,22.8,22.8
2011-02-07,22.8,13329,13.8,41.3,22.8,22.8
2011-02-08,22.8,13329,13.8,41.3,22.8,22.8
2011-02-09,16.8,25365,9.8,45.4,22.8,21.6
2011-02-10,17.8,16776,8.0,46.8,16.8,20.6
2011-02-11,19.6,11943,18.0,47.3,17.8,20.0
2011-02-12,23.1,12604,11.4,46.8,19.6,20.0
