日期,平均氣溫(℃),平均相對溼度( %),平均風向(°),最低氣壓時間,最低氣溫(℃),最低氣溫時間,最低相對溼度時間,最大六十分鐘降水量起始時間,最大十分鐘降水量起始時間,最高氣壓時間,最高氣溫(℃),最高氣溫時間,累積日照時數(hr),累積蒸發量(mm),累計雨量(mm)
2013-01-01,11.2,91,90.0,,9.1,2013-01-01 00:00:00,,,,,11.5,2013-01-01 00:00:00,0.5,0.7,0.0
2013-01-02,14.3,95,135.0,,8.9,2013-01-02 00:00:00,,,,,14.3,2013-01-02 00:00:00,2.2,0.0,2.5
2013-01-03,16.2,95,315.0,,13.3,2013-01-03 00:00:00,,,,,17.8,2013-01-03 00:00:00,1.9,0.3,0.0
2013-01-04,15.6,94,180.0,,12.3,2013-01-04 00:00:00,,,,,19.0,2013-01-04 00:00:00,3.8,0.8,0.0
2013-01-05,17.4,84,180.0,,12.1,2013-01-05 00:00:00,,,,,20.0,2013-01-05 00:00:00,5.8,1.4,0.0
2013-01-06,15.1,91,315.0,,11.3,2013-01-06 00:00:00,,,,,20.8,2013-01-06 00:00:00,4.3,1.4,0.0
2013-01-07,18.0,88,135.0,,12.5,2013-01-07 00:00:00,,,,,20.1,2013-01-07 00:00:00,6.5,1.4,0.0
2013-01-08,18.8,85,135.0,,15.8,2013-01-08 00:00:00,,,,,22.2,2013-01-08 00:00:00,0.3,0.0,3.4
2013-01-09,15.7,96,135.0,,14.4,2013-01-09 00:00:00,,,,,18.3,2013-01-09 00:00:00,0.0,0.2,4.6
2013-01-10,13.3,97,135.0,,11.7,2013-01-10 00:00:00,,,,,16.6,2013-01-10 00:00:00,0.0,0.8,0.0
2013-01-11,15.0,91,135.0,,10.2,2013-01-11 00:00:00,,,,,16.7,2013-01-11 00:00:00,3.1,0.8,2.1
2013-01-12,17.6,87,90.0,,11.8,2013-01-12 00:00:00,,,,,19.0,2013-01-12 00:00:00,3.9,2.3,12.2
2013-01-13,16.0,98,135.0,,14.8,2013-01-13 00:00:00,,,,,21.0,2013-01-13 00:00:00,0.0,0.9,0.1
2013-01-14,12.8,86,135.0,,8.2,2013-01-14 00:00:00,,,,,17.0,2013-01-14 00:00:00,7.1,1.7,0.0
2013-01-15,12.8,86,135.0,,5.7,2013-01-15 00:00:00,,,,,17.8,2013-01-15 00:00:00,7.8,1.8,0.0
2013-01-16,13.0,85,360.0,,7.2,2013-01-16 00:00:00,,,,,17.7,2013-01-16 00:00:00,7.1,1.7,0.0
2013-01-17,13.1,86,360.0,,7.5,2013-01-17 00:00:00,,,,,18.1,2013-01-17 00:00:00,7.9,1.6,0.0
2013-01-18,11.1,92,135.0,,7.9,2013-01-18 00:00:00,,,,,18.2,2013-01-18 00:00:00,4.3,0.5,0.0
2013-01-19,12.2,80,45.0,,8.2,2013-01-19 00:00:00,,,,,16.5,2013-01-19 00:00:00,7.2,1.3,0.0
2013-01-20,12.1,92,45.0,,8.2,2013-01-20 00:00:00,,,,,17.7,2013-01-20 00:00:00,7.8,1.7,0.0
2013-01-21,16.6,84,180.0,,9.9,2013-01-21 00:00:00,,,,,20.8,2013-01-21 00:00:00,7.6,1.9,0.0
2013-01-22,17.4,78,360.0,,11.0,2013-01-22 00:00:00,,,,,22.5,2013-01-22 00:00:00,6.7,1.8,0.0
2013-01-23,17.2,85,135.0,,12.7,2013-01-23 00:00:00,,,,,22.3,2013-01-23 00:00:00,4.1,1.4,0.0
2013-01-24,16.0,92,135.0,,14.6,2013-01-24 00:00:00,,,,,20.5,2013-01-24 00:00:00,4.1,1.4,0.0
2013-01-25,15.7,91,135.0,,14.2,2013-01-25 00:00:00,,,,,21.0,2013-01-25 00:00:00,1.3,1.2,0.0
2013-01-26,13.2,94,135.0,,10.3,2013-01-26 00:00:00,,,,,18.7,2013-01-26 00:00:00,5.7,0.7,0.2
2013-01-27,14.2,89,135.0,,11.7,2013-01-27 00:00:00,,,,,19.1,2013-01-27 00:00:00,0.7,1.9,0.0
2013-01-28,15.2,85,135.0,,10.5,2013-01-28 00:00:00,,,,,19.1,2013-01-28 00:00:00,4.4,2.4,0.0
2013-01-29,12.8,89,135.0,,9.0,2013-01-29 00:00:00,,,,,18.3,2013-01-29 00:00:00,4.1,1.0,0.0
2013-01-30,14.0,83,135.0,,7.0,2013-01-30 00:00:00,,,,,18.7,2013-01-30 00:00:00,8.0,1.1,0.0
