ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
01,940.5 ,1008.7 ,941.9 ,2021-06-01 21:19 ,939.1 ,2021-06-01 03:25 ,23.3 ,27.0 ,2021-06-01 12:59 ,20.6 ,2021-06-01 02:21 ,22.4 ,95 ,78 ,2021-06-01 16:10 ,0.9 ,220 ,8.9 ,230 ,2021-06-01 16:49 ,7.0 ,1.3 ,6.0 ,2021-06-01 19:12 ,7.0 ,2021-06-01 19:05 ,2.9 ,21.4 ,18.62 ,24.5 ,-2.0 ,... ,... ,8.0 
02,941.2 ,1009.3 ,942.7 ,2021-06-02 22:24 ,939.8 ,2021-06-02 15:59 ,24.2 ,28.5 ,2021-06-02 12:07 ,21.6 ,2021-06-02 01:51 ,22.7 ,92 ,68 ,2021-06-02 14:26 ,0.9 ,360 ,6.0 ,320 ,2021-06-02 14:13 ,0.5 ,0.2 ,0.5 ,2021-06-02 19:35 ,0.5 ,2021-06-02 19:35 ,3.4 ,25.0 ,16.26 ,13.5 ,-1.7 ,... ,... ,7.8 
03,939.7 ,1007.3 ,941.8 ,2021-06-03 00:01 ,937.9 ,2021-06-03 15:45 ,25.7 ,30.7 ,2021-06-03 14:16 ,22.7 ,2021-06-03 04:38 ,22.8 ,85 ,63 ,2021-06-03 13:33 ,1.0 ,240 ,6.0 ,310 ,2021-06-03 07:34 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,6.8 ,50.1 ,24.32 ,22.5 ,4.1 ,... ,... ,8.2 
04,937.6 ,1005.4 ,939.1 ,2021-06-04 09:05 ,936.0 ,2021-06-04 14:04 ,24.2 ,28.6 ,2021-06-04 11:03 ,21.1 ,2021-06-04 15:47 ,23.2 ,94 ,75 ,2021-06-04 10:47 ,1.6 ,330 ,12.3 ,340 ,2021-06-04 14:15 ,66.0 ,6.8 ,14.5 ,2021-06-04 14:32 ,43.5 ,2021-06-04 14:25 ,3.6 ,26.5 ,14.23 ,9.3 ,/ ,... ,... ,9.5 
05,936.7 ,1004.9 ,938.6 ,2021-06-05 22:32 ,935.7 ,2021-06-05 03:08 ,22.0 ,24.0 ,2021-06-05 13:22 ,19.0 ,2021-06-05 19:58 ,21.7 ,98 ,92 ,2021-06-05 13:29 ,1.2 ,340 ,12.7 ,20 ,2021-06-05 19:40 ,43.5 ,5.7 ,7.0 ,2021-06-05 05:07 ,13.0 ,2021-06-05 04:40 ,0.0 ,0.0 ,4.12 ,11.7 ,-0.3 ,... ,... ,10.0 
06,938.8 ,1007.4 ,941.9 ,2021-06-06 21:43 ,936.6 ,2021-06-06 02:15 ,21.0 ,21.7 ,2021-06-06 06:41 ,20.4 ,2021-06-06 00:01 ,20.9 ,100 ,99 ,2021-06-06 00:01 ,0.7 ,240 ,6.9 ,360 ,2021-06-06 08:14 ,7.5 ,12.7 ,2.0 ,2021-06-06 15:52 ,4.0 ,2021-06-06 15:24 ,0.0 ,0.0 ,3.98 ,6.6 ,-0.2 ,... ,... ,10.0 
07,942.5 ,1011.0 ,944.0 ,2021-06-07 22:28 ,940.7 ,2021-06-07 02:22 ,22.4 ,25.9 ,2021-06-07 12:38 ,20.2 ,2021-06-07 02:44 ,21.9 ,97 ,85 ,2021-06-07 12:35 ,0.8 ,40 ,7.7 ,10 ,2021-06-07 14:01 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,2.3 ,16.9 ,12.52 ,22.7 ,0.9 ,... ,... ,8.5 
08,943.2 ,1011.3 ,944.5 ,2021-06-08 10:22 ,941.5 ,2021-06-08 16:33 ,24.3 ,29.3 ,2021-06-08 16:06 ,21.0 ,2021-06-08 02:42 ,22.2 ,88 ,62 ,2021-06-08 11:47 ,1.3 ,210 ,5.3 ,200 ,2021-06-08 09:27 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,7.4 ,54.3 ,23.98 ,25.2 ,2.7 ,... ,... ,6.2 
09,941.9 ,1010.1 ,943.6 ,2021-06-09 09:22 ,940.2 ,2021-06-09 16:09 ,24.0 ,28.1 ,2021-06-09 15:09 ,21.6 ,2021-06-09 04:54 ,21.7 ,87 ,68 ,2021-06-09 15:15 ,1.0 ,20 ,8.4 ,360 ,2021-06-09 14:18 ,T ,0.7 ,T ,2021-06-09 09:48 ,T ,2021-06-09 09:48 ,5.5 ,40.4 ,17.13 ,15.5 ,-2.8 ,... ,... ,5.8 
10,940.5 ,1008.5 ,942.0 ,2021-06-10 21:54 ,938.8 ,2021-06-10 16:22 ,24.1 ,29.8 ,2021-06-10 14:05 ,20.9 ,2021-06-10 23:53 ,22.4 ,90 ,64 ,2021-06-10 13:51 ,1.0 ,60 ,6.2 ,350 ,2021-06-10 12:10 ,2.0 ,0.4 ,1.5 ,2021-06-10 16:04 ,2.0 ,2021-06-10 16:04 ,4.8 ,35.2 ,20.14 ,14.0 ,-3.0 ,... ,... ,8.2 
11,941.2 ,1009.2 ,943.6 ,2021-06-11 22:17 ,940.0 ,2021-06-11 02:51 ,24.2 ,28.4 ,2021-06-11 12:32 ,20.4 ,2021-06-11 00:23 ,22.7 ,92 ,76 ,2021-06-11 11:56 ,0.8 ,200 ,6.0 ,200 ,2021-06-11 10:14 ,0.5 ,0.0 ,0.5 ,2021-06-11 00:15 ,0.5 ,2021-06-11 00:15 ,4.2 ,30.8 ,16.59 ,25.7 ,1.5 ,... ,... ,5.3 
12,943.3 ,1011.3 ,945.3 ,2021-06-12 22:40 ,942.2 ,2021-06-12 16:33 ,24.8 ,29.2 ,2021-06-12 11:34 ,21.7 ,2021-06-12 03:30 ,22.1 ,86 ,60 ,2021-06-12 13:33 ,0.8 ,230 ,5.5 ,310 ,2021-06-12 14:21 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,7.8 ,57.2 ,23.10 ,27.7 ,3.1 ,... ,... ,4.7 
13,942.8 ,1010.8 ,945.0 ,2021-06-13 08:21 ,940.6 ,2021-06-13 17:23 ,25.0 ,28.9 ,2021-06-13 13:57 ,22.5 ,2021-06-13 02:11 ,22.7 ,87 ,71 ,2021-06-13 14:54 ,1.0 ,240 ,7.5 ,360 ,2021-06-13 09:30 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,2.5 ,18.3 ,16.23 ,24.8 ,2.7 ,... ,... ,6.0 
